dataset,detector,seed,verified_normals,verified_anomalies,auroc,auprc,split,design,label_fraction,trim,budget,n_calib,n_test,n_null,n_anomaly,random_pool,filtered_pool,method,repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_exact
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,primary,1.0,0.0,200,159,2159,1954,205,5864,159,filtered,200,0.9446275543836523,2.361048706572841e-17,0.4097560975609757,7.870162355242804e-18,1517.0,0.0,0.5583418628454453
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,primary,1.0,0.0,200,159,2159,1954,205,5864,159,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.005861996842617813
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,primary,1.0,0.0,200,159,2159,1954,205,5864,159,mixture_half,200,0.005,0.005000000000000001,0.0,0.0,0.7,0.7000000000000002,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,primary,1.0,0.0,1000,159,2159,1954,205,5864,159,filtered,200,0.9446275543836523,2.361048706572841e-17,0.4097560975609757,7.870162355242804e-18,1517.0,0.0,0.5583418628454453
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,primary,1.0,0.0,1000,159,2159,1954,205,5864,159,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.005861996842617813
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,primary,1.0,0.0,1000,159,2159,1954,205,5864,159,mixture_half,200,0.01,0.007053278933842965,0.0,0.0,1.37,0.9664032159918533,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,primary,0.25,0.0,200,200,2159,1954,205,1443,274,filtered,200,0.9797635812893537,6.0088740727236206e-05,0.06797560975609757,0.0005256521328255079,686.91,3.3524999297381757,0.3021632810406409
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,primary,0.25,0.0,200,200,2159,1954,205,1443,274,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.009107237249077211
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,primary,0.25,0.0,200,200,2159,1954,205,1443,274,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,primary,0.25,0.0,1000,274,2159,1954,205,1443,274,filtered,200,0.9796511627906974,1.5740324710485608e-17,0.06829268292682929,9.837702944053505e-19,688.0,0.0,0.30040941658137155
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,primary,0.25,0.0,1000,274,2159,1954,205,1443,274,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.006659082125706805
amazon,degree,0,7818,821,0.2212655201821961,0.05673152452395304,0,primary,0.25,0.0,1000,274,2159,1954,205,1443,274,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
