dataset,detector,seed,verified_normals,verified_anomalies,auroc,auprc,split,design,label_fraction,trim,budget,n_calib,n_test,n_null,n_anomaly,random_pool,filtered_pool,method,repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_exact
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,1.0,0.0,200,159,2159,1954,205,5864,159,filtered,200,0.9337094499294785,2.361048706572841e-17,0.4585365853658538,7.870162355242804e-18,1418.0,0.0,0.5992835209825998
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,1.0,0.0,200,159,2159,1954,205,5864,159,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.005306825160972305
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,1.0,0.0,200,159,2159,1954,205,5864,159,mixture_half,200,0.009928057553956836,0.007002535919930428,4.878048780487805e-05,3.440623870167301e-05,1.39,0.9804057718041728,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,1.0,0.0,1000,159,2159,1954,205,5864,159,filtered,200,0.9337094499294785,2.361048706572841e-17,0.4585365853658538,7.870162355242804e-18,1418.0,0.0,0.5992835209825998
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,1.0,0.0,1000,159,2159,1954,205,5864,159,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.005306825160972305
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,1.0,0.0,1000,159,2159,1954,205,5864,159,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,0.25,0.0,200,200,2159,1954,205,1443,274,filtered,200,0.9686084496022304,8.123366924375079e-05,0.10153658536585368,0.000559802030488861,662.55,2.6831294074430003,0.29583078485412534
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,0.25,0.0,200,200,2159,1954,205,1443,274,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0065307792798471554
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,0.25,0.0,200,200,2159,1954,205,1443,274,mixture_half,200,0.005,0.005,0.0,0.0,0.545,0.545,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,0.25,0.0,1000,274,2159,1954,205,1443,274,filtered,200,0.968229954614221,7.870162355242804e-18,0.10243902439024392,1.967540588810701e-18,661.0,0.0,0.2917093142272262
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,0.25,0.0,1000,274,2159,1954,205,1443,274,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0037772478204838944
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,0.25,0.0,1000,274,2159,1954,205,1443,274,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,0.5,0.0,200,200,2159,1954,205,2931,265,filtered,200,0.9533947674434232,0.00018804176225855438,0.27175609756097563,0.0018006595659863743,1192.875,3.154305803263614,0.46452547507848946
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,0.5,0.0,200,200,2159,1954,205,2931,265,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.00809742112683666
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,0.5,0.0,200,200,2159,1954,205,2931,265,mixture_half,200,0.005,0.005000000000000002,0.0,0.0,0.545,0.5449999999999999,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,0.5,0.0,1000,265,2159,1954,205,2931,265,filtered,200,0.9536256323777402,7.870162355242804e-18,0.26829268292682934,3.935081177621402e-18,1186.0,0.0,0.43961105424769703
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,0.5,0.0,1000,265,2159,1954,205,2931,265,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.005388178944610466
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,primary,0.5,0.0,1000,265,2159,1954,205,2931,265,mixture_half,200,0.015,0.008616625276509296,0.0,0.0,1.34,0.7698280170787482,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,calibration_only_trim,1.0,0.01,1000,159,2159,1954,205,5805,159,filtered,200,0.9337094499294785,2.361048706572841e-17,0.4585365853658538,7.870162355242804e-18,1418.0,0.0,0.5992835209825998
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,calibration_only_trim,1.0,0.01,1000,159,2159,1954,205,5805,159,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.01590930540121397
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,calibration_only_trim,1.0,0.01,1000,159,2159,1954,205,5805,159,mixture_half,200,0.00990150689905592,0.0069838314227407255,7.317073170731707e-05,5.442850834639386e-05,1.49,1.0549712420763135,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,calibration_only_trim,1.0,0.05,1000,159,2159,1954,205,5570,159,filtered,200,0.9337094499294785,2.361048706572841e-17,0.4585365853658538,7.870162355242804e-18,1418.0,0.0,0.5992835209825998
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,calibration_only_trim,1.0,0.05,1000,159,2159,1954,205,5570,159,random,200,0.06943029193072188,0.017939728059635344,0.0003902439024390244,0.00010579314430702455,9.73,2.517264108703103,0.0591939135606841
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,calibration_only_trim,1.0,0.05,1000,159,2159,1954,205,5570,159,mixture_half,200,0.3068175592459875,0.03244910273947211,0.0024390243902439024,0.0003280506143869905,46.35,4.979590253773637,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_verified,1.0,0.0,1000,163,2821,2000,821,5818,163,filtered,200,0.8026554013277009,1.5740324710485608e-17,0.39829476248477474,3.935081177621402e-18,1657.0,0.0,0.4985
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_verified,1.0,0.0,1000,163,2821,2000,821,5818,163,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.005082707908068169
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_verified,1.0,0.0,1000,163,2821,2000,821,5818,163,mixture_half,200,0.004829545454545454,0.004829545454545454,3.654080389768575e-05,3.654080389768575e-05,0.88,0.8799999999999998,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_verified,1.0,0.01,1000,169,2821,2000,821,5739,169,filtered,200,0.7860548271752086,0.0,0.4372716199756396,1.1805243532864205e-17,1678.0,0.0,0.476
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_verified,1.0,0.01,1000,169,2821,2000,821,5739,169,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.00532241426678624
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_verified,1.0,0.01,1000,169,2821,2000,821,5739,169,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_verified,1.0,0.05,1000,156,2821,2000,821,5427,156,filtered,200,0.7726505346088913,7.870162355242804e-18,0.49208282582216795,1.1805243532864205e-17,1777.0,0.0,0.59
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_verified,1.0,0.05,1000,156,2821,2000,821,5427,156,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.005469644978453588
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_verified,1.0,0.05,1000,156,2821,2000,821,5427,156,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.0,1000,224,2821,2000,821,9123,224,filtered,200,0.796148738379814,0.0,0.37393422655298414,0.0,1506.0,0.0,0.4365
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.0,1000,224,2821,2000,821,9123,224,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.011385650636926778
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.0,1000,224,2821,2000,821,9123,224,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.01,1000,223,2821,2000,821,9011,223,filtered,200,0.7914923291492328,7.870162355242804e-18,0.3641900121802681,7.870162355242804e-18,1434.0,0.0,0.4175
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.01,1000,223,2821,2000,821,9011,223,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.01029875538006948
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.01,1000,223,2821,2000,821,9011,223,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.05,1000,212,2821,2000,821,8566,212,filtered,200,0.7789046653144015,7.870162355242804e-18,0.39829476248477474,3.935081177621402e-18,1479.0,0.0,0.473
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.05,1000,212,2821,2000,821,8566,212,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.009490462048972834
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,0,enriched_both_trim_historical_unlabeled_as_normal,1.0,0.05,1000,212,2821,2000,821,8566,212,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,1.0,0.0,200,165,2159,1954,205,5864,165,filtered,200,0.9439592430858803,2.361048706572841e-17,0.375609756097561,0.0,1374.0,0.0,0.4887410440122825
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,1.0,0.0,200,165,2159,1954,205,5864,165,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.005759850969105785
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,1.0,0.0,200,165,2159,1954,205,5864,165,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,1.0,0.0,1000,165,2159,1954,205,5864,165,filtered,200,0.9439592430858803,2.361048706572841e-17,0.375609756097561,0.0,1374.0,0.0,0.4887410440122825
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,1.0,0.0,1000,165,2159,1954,205,5864,165,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.005759850969105785
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,1.0,0.0,1000,165,2159,1954,205,5864,165,mixture_half,200,0.005,0.005000000000000002,0.0,0.0,0.71,0.7099999999999997,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,0.25,0.0,200,200,2159,1954,205,1445,328,filtered,200,0.9738396254497107,6.810332538296753e-05,0.09695121951219512,0.0005617850142671825,758.78,2.764538181466105,0.25075502345794104
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,0.25,0.0,200,200,2159,1954,205,1445,328,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.01006393052376517
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,0.25,0.0,200,200,2159,1954,205,1445,328,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,0.25,0.0,1000,328,2159,1954,205,1445,328,filtered,200,0.9739243807040415,1.5740324710485608e-17,0.0975609756097561,0.0,767.0,0.0,0.23132036847492324
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,0.25,0.0,1000,328,2159,1954,205,1445,328,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.009568752333026441
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,0.25,0.0,1000,328,2159,1954,205,1445,328,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,0.5,0.0,200,200,2159,1954,205,2941,354,filtered,200,0.9677001839993851,7.621285683912009e-05,0.14824390243902436,0.0006640628254507475,940.04,2.193558866890187,0.395697636614386
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,0.5,0.0,200,200,2159,1954,205,2941,354,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.010383513164977482
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,0.5,0.0,200,200,2159,1954,205,2941,354,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,0.5,0.0,1000,354,2159,1954,205,2941,354,filtered,200,0.967091295116773,1.5740324710485608e-17,0.15121951219512192,1.967540588810701e-18,942.0,0.0,0.3889457523029683
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,0.5,0.0,1000,354,2159,1954,205,2941,354,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.009137879556609694
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,primary,0.5,0.0,1000,354,2159,1954,205,2941,354,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,calibration_only_trim,1.0,0.01,1000,165,2159,1954,205,5805,165,filtered,200,0.9439592430858803,2.361048706572841e-17,0.375609756097561,0.0,1374.0,0.0,0.4887410440122825
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,calibration_only_trim,1.0,0.01,1000,165,2159,1954,205,5805,165,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.01431595662098619
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,calibration_only_trim,1.0,0.01,1000,165,2159,1954,205,5805,165,mixture_half,200,0.004973262032085562,0.004973262032085562,2.4390243902439026e-05,2.4390243902439022e-05,0.935,0.935,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,calibration_only_trim,1.0,0.05,1000,165,2159,1954,205,5570,165,filtered,200,0.9439592430858803,2.361048706572841e-17,0.375609756097561,0.0,1374.0,0.0,0.4887410440122825
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,calibration_only_trim,1.0,0.05,1000,165,2159,1954,205,5570,165,random,200,0.03496875,0.01301620208676498,2.4390243902439026e-05,2.439024390243902e-05,4.93,1.8401648112773255,0.05215294106003491
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,calibration_only_trim,1.0,0.05,1000,165,2159,1954,205,5570,165,mixture_half,200,0.20459573884397578,0.028561352592596397,0.0003414634146341464,8.822874364425495e-05,31.745,4.4789569266464,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,enriched_both_trim_verified,1.0,0.0,1000,157,2821,2000,821,5818,157,filtered,200,0.8009621166566449,1.5740324710485608e-17,0.4031668696711327,3.935081177621402e-18,1663.0,0.0,0.486
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,enriched_both_trim_verified,1.0,0.0,1000,157,2821,2000,821,5818,157,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.006260853166220638
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,enriched_both_trim_verified,1.0,0.0,1000,157,2821,2000,821,5818,157,mixture_half,200,0.0,0.0,0.0,0.0,0.0,0.0,nan
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,enriched_both_trim_verified,1.0,0.01,1000,151,2821,2000,821,5739,151,filtered,200,0.8004881025015252,7.870162355242804e-18,0.39829476248477474,3.935081177621402e-18,1639.0,0.0,0.4725
amazon,dominant_pygod,0,7818,821,0.338727674572156,0.06577103109136602,1,enriched_both_trim_verified,1.0,0.01,1000,151,2821,2000,821,5739,151,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.008001758009300516
