dataset,detector,seed,verified_normals,verified_anomalies,auroc,auprc,split,design,label_fraction,trim,budget,n_calib,n_test,n_null,n_anomaly,random_pool,filtered_pool,method,repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_exact
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,filtered,200,0.7576372118199599,0.0001243974219405152,0.7365420560747663,0.0008348799840769139,1951.355,3.1757632525396007,0.5206423507925274
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.009407493124068187
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,mixture_half,200,0.03361481222467732,0.009439022044925402,0.00722741433021807,0.002037408502433488,10.625,3.014649637550926,nan
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,filtered,200,0.7579162410623084,7.870162355242804e-18,0.738317757009346,1.5740324710485608e-17,1958.0,0.0,0.5108790252393386
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,random,200,0.0016964285714285716,0.0016964285714285714,0.0002881619937694704,0.00028816199376947035,0.28,0.2799999999999999,0.00860820065071521
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,mixture_half,200,0.023774789798079548,0.006768288194533721,0.004096573208722741,0.0011798324322615575,4.525,1.3577053043526555,nan
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,filtered,200,0.7424628933424109,0.0002466470042496568,0.44411993769470404,0.002143295215174769,1108.13,6.139579601930591,0.2518635373548451
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,random,200,0.0027976190476190475,0.0027976190476190483,0.0005763239875389408,0.0005763239875389407,0.84,0.84,0.010729910244654969
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,mixture_half,200,0.01652566995521195,0.00666532525078255,0.0035046728971962616,0.0014171254736616726,5.035,2.0453695406427035,nan
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,filtered,200,0.744888888888889,7.870162355242804e-18,0.44704049844236765,3.935081177621402e-18,1125.0,0.0,0.2328111401218451
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,random,200,0.0033338909334225497,0.0023594168704963235,0.0005685358255451713,0.00040195317220200453,0.55,0.39025503837218334,0.009338512588433167
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,mixture_half,200,0.015706789903616687,0.005571112592553859,0.00264797507788162,0.0009409500204132514,2.94,1.0948173937365722,nan
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,0.5,0.0,200,200,2940,2298,642,3390,764,filtered,200,0.7483901188257042,0.00021502322998481085,0.560778816199377,0.0025855170036402117,1432.075,7.695648896270759,0.3478656072974375
tolokers,degree,0,9192,2566,0.5595743011137815,0.3018578800111707,0,primary,0.5,0.0,200,200,2940,2298,642,3390,764,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.009095538656114191
