dataset,detector,seed,verified_normals,verified_anomalies,auroc,auprc,split,design,label_fraction,trim,budget,n_calib,n_test,n_null,n_anomaly,random_pool,filtered_pool,method,repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_exact
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,filtered,200,0.7520136532237919,0.0006301711909859628,0.4279517133956386,0.003760575562723524,1113.84,12.56137983330585,0.26894901837330343
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,random,200,0.0028187919463087247,0.0028187919463087243,0.0005062305295950156,0.0005062305295950155,0.745,0.745,0.009691553541251475
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,1.0,0.0,200,200,2940,2298,642,6894,624,mixture_half,200,0.026867486446317864,0.008785414138107546,0.0060280373831775695,0.0020114901794021905,9.81,3.3396460408839674,nan
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,filtered,200,0.7535211267605634,0.0,0.43613707165109017,1.1805243532864205e-17,1136.0,0.0,0.2693646649260226
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.008873556660947315
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,1.0,0.0,1000,624,2940,2298,642,6894,624,mixture_half,200,0.026342230570119606,0.007482741107610196,0.0043535825545171335,0.001245141687516341,5.175,1.536955770411434,nan
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,filtered,200,0.7334127985944373,0.00038976420426482984,0.35581775700934576,0.0010357254921630136,857.94,3.7155495613318856,0.23078255071613665
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.010452219666744273
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,0.25,0.0,200,200,2940,2298,642,1704,660,mixture_half,200,0.020447445100711302,0.007617109984160538,0.004228971962616822,0.0015984026030268707,6.62,2.5423701994705215,nan
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,filtered,200,0.7375,0.0,0.3598130841121495,0.0,880.0,0.0,0.24194952132288947
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,random,200,0.0015555555555555557,0.0015555555555555555,0.00024143302180685357,0.00024143302180685351,0.225,0.22499999999999998,0.009115243215518851
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,0.25,0.0,1000,660,2940,2298,642,1704,660,mixture_half,200,0.03454790796722396,0.007619926491244141,0.005506230529595015,0.00121463800574779,5.63,1.2579258272786489,nan
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,0.5,0.0,200,200,2940,2298,642,3390,764,filtered,200,0.7380956044733793,0.0004743725233677726,0.3672585669781931,0.0014767160306155475,902.15,5.374711631857856,0.2505925430145297
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,0.5,0.0,200,200,2940,2298,642,3390,764,random,200,0.0028476821192052982,0.0028476821192052974,0.0005062305295950156,0.0005062305295950155,0.755,0.7550000000000001,0.00900190197256539
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,0.5,0.0,200,200,2940,2298,642,3390,764,mixture_half,200,0.029029397911891255,0.008975169918478852,0.005895638629283488,0.0018441357131471782,9.115,2.886088426752578,nan
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,0.5,0.0,1000,764,2940,2298,642,3390,764,filtered,200,0.7379619260918255,1.5740324710485608e-17,0.3644859813084112,0.0,893.0,0.0,0.25369886858137514
tolokers,dominant_pygod,3,9192,2566,0.5299249720350543,0.2873385904710285,0,primary,0.5,0.0,1000,764,2940,2298,642,3390,764,random,200,0.0,0.0,0.0,0.0,0.0,0.0,0.007280999213477645
