theta,q,method,repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse
0.0,1.0,selected_bh,2000,0.06928354270442602,0.0017149698359392482,0.5415125,0.006622816113143203,24.1555,0.31474782441104454
0.0,1.0,weighted_bh,2000,0.06928354270442602,0.0017149698359392482,0.5415125,0.006622816113143203,24.1555,0.31474782441104454
0.0,1.0,wcs_deterministic,2000,0.06928354270442602,0.0017149698359392482,0.5415125,0.006622816113143203,24.1555,0.31474782441104454
0.0,1.0,wcs_homogeneous,2000,0.06928354270442602,0.0017149698359392482,0.5415125,0.006622816113143203,24.1555,0.31474782441104454
0.0,1.0,weighted_by,2000,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.25,selected_bh,2000,0.06928354270442602,0.0017149698359392482,0.5415125,0.006622816113143203,24.1555,0.31474782441104454
0.0,0.25,weighted_bh,2000,0.047687424957176976,0.0017061852803259112,0.2039375,0.004558575117339322,9.105,0.21124227595245887
0.0,0.25,wcs_deterministic,2000,8.510638297872341e-05,8.51063829787234e-05,0.0004875,0.0004874999999999999,0.0235,0.023499999999999997
0.0,0.25,wcs_homogeneous,2000,0.056088866729814314,0.002071854623535452,0.1813625,0.004439427869306853,8.39,0.2117637172321264
0.0,0.25,weighted_by,2000,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,selected_bh,2000,0.06928354270442602,0.0017149698359392482,0.5415125,0.006622816113143203,24.1555,0.31474782441104454
0.0,0.05,weighted_bh,2000,0.06212867908726625,0.0019091212621856449,0.25132499999999997,0.004117467237966546,11.233,0.19033777800233834
0.0,0.05,wcs_deterministic,2000,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05,wcs_homogeneous,2000,0.07444746862037067,0.0024786775172086512,0.19491250000000002,0.004629807769429086,9.428,0.23069030540641328
0.0,0.05,weighted_by,2000,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,selected_bh,2000,0.05348656662852278,0.002027984592316084,0.17004999999999998,0.005456487916250717,8.1925,0.26580547050253595
2.0,1.0,weighted_bh,2000,0.05348656662852278,0.002027984592316084,0.17004999999999998,0.005456487916250717,8.1925,0.26580547050253595
2.0,1.0,wcs_deterministic,2000,0.05348656662852278,0.002027984592316084,0.17004999999999998,0.005456487916250717,8.1925,0.26580547050253595
2.0,1.0,wcs_homogeneous,2000,0.05348656662852278,0.002027984592316084,0.17004999999999998,0.005456487916250717,8.1925,0.26580547050253595
2.0,1.0,weighted_by,2000,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.25,selected_bh,2000,0.17064555208020243,0.0037576873896098405,0.3822375,0.006488982508365386,22.13,0.43425607557014645
2.0,0.25,weighted_bh,2000,0.0048759939696020995,0.0010628488546938126,0.007875,0.001687947502408011,0.584,0.1259440469076476
2.0,0.25,wcs_deterministic,2000,0.003640891575250895,0.0009096845213225184,0.005925000000000001,0.0014806395017583054,0.4355,0.10871673992430922
2.0,0.25,wcs_homogeneous,2000,0.005631196992608551,0.0011642590623051263,0.020212499999999998,0.001894199083242962,1.0685,0.1284139748994428
2.0,0.25,weighted_by,2000,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.05,selected_bh,2000,0.5732504568371674,0.004225679576932698,0.7927874999999999,0.004386950117968493,90.745,0.9068815824584272
2.0,0.05,weighted_bh,2000,0.0071435194233796,0.0006659436914486177,0.060962499999999996,0.002860469225314176,2.5445,0.11987157491347196
2.0,0.05,wcs_deterministic,2000,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.05,wcs_homogeneous,2000,0.003664760361221863,0.0005322121677998853,0.0327625,0.0019628784967163494,1.3615,0.08279695974654888
2.0,0.05,weighted_by,2000,0.0,0.0,0.0,0.0,0.0,0.0
