dataset,model,method,budget,discoveries,true_discoveries,fdp,power,nonempty,audit_labels,certificate_failure,bound_failure,true_discoveries_seed_sd
amazon,hgb_attributes,adaptive_degree,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
amazon,hgb_attributes,adaptive_degree,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
amazon,hgb_attributes,adaptive_degree,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
amazon,hgb_attributes,adaptive_score,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
amazon,hgb_attributes,adaptive_score,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
amazon,hgb_attributes,adaptive_score,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
amazon,hgb_attributes,fixed_degree_cs,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.002,0.0
amazon,hgb_attributes,fixed_degree_cs,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
amazon,hgb_attributes,fixed_degree_cs,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.008,0.0
amazon,hgb_attributes,uniform_fixed,250,85.566,83.678,0.005604293489142214,0.11292621107819815,0.254,250.0,0.0,0.008,35.24175988795111
amazon,hgb_attributes,uniform_fixed,500,214.26999999999998,209.902,0.016039931822013964,0.2834357243190143,0.8019999999999999,500.0,0.0,0.008,52.06811389367243
amazon,hgb_graph_features,adaptive_degree,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
amazon,hgb_graph_features,adaptive_score,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
amazon,hgb_graph_features,adaptive_score,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
amazon,hgb_graph_features,adaptive_score,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
amazon,hgb_graph_features,fixed_degree_cs,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.002,0.0
amazon,hgb_graph_features,fixed_degree_cs,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
amazon,hgb_graph_features,fixed_degree_cs,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.002,0.0
amazon,hgb_graph_features,fixed_score_cs,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
amazon,hgb_graph_features,fixed_score_cs,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.004,0.0
amazon,hgb_graph_features,fixed_score_cs,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.002,0.0
amazon,hgb_graph_features,uniform_fixed,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.01,0.0
amazon,hgb_graph_features,uniform_fixed,250,77.33000000000001,75.494,0.005464005824879851,0.10201164928331496,0.23000000000000004,250.0,0.0,0.01,28.578343082364544
amazon,hgb_graph_features,uniform_fixed,500,204.722,200.19400000000002,0.016750241644076413,0.270246853629888,0.764,500.0,0.0,0.006,41.56994004753381
tolokers,hgb_attributes,adaptive_degree,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
tolokers,hgb_attributes,adaptive_degree,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
tolokers,hgb_attributes,adaptive_degree,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
tolokers,hgb_attributes,adaptive_score,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
tolokers,hgb_attributes,adaptive_score,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.002,0.0
tolokers,hgb_attributes,adaptive_score,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.004,0.0
tolokers,hgb_attributes,fixed_degree_cs,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.004,0.0
tolokers,hgb_attributes,fixed_degree_cs,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
tolokers,hgb_attributes,fixed_degree_cs,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
tolokers,hgb_attributes,fixed_score_cs,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
tolokers,hgb_attributes,fixed_score_cs,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
tolokers,hgb_attributes,fixed_score_cs,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.006,0.0
tolokers,hgb_attributes,uniform_fixed,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.008,0.0
tolokers,hgb_attributes,uniform_fixed,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.022,0.0
tolokers,hgb_attributes,uniform_fixed,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.032,0.0
tolokers,hgb_graph_features,adaptive_degree,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
tolokers,hgb_graph_features,adaptive_degree,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
tolokers,hgb_graph_features,adaptive_degree,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
tolokers,hgb_graph_features,adaptive_score,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
tolokers,hgb_graph_features,adaptive_score,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
tolokers,hgb_graph_features,adaptive_score,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.002,0.0
tolokers,hgb_graph_features,fixed_degree_cs,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
tolokers,hgb_graph_features,fixed_degree_cs,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
tolokers,hgb_graph_features,fixed_degree_cs,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
tolokers,hgb_graph_features,fixed_score_cs,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.004,0.0
tolokers,hgb_graph_features,fixed_score_cs,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
tolokers,hgb_graph_features,fixed_score_cs,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
tolokers,hgb_graph_features,uniform_fixed,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.016,0.0
tolokers,hgb_graph_features,uniform_fixed,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.014000000000000002,0.0
tolokers,hgb_graph_features,uniform_fixed,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.03,0.0
weibo,hgb_attributes,adaptive_degree,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
weibo,hgb_attributes,adaptive_degree,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
weibo,hgb_attributes,adaptive_degree,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
weibo,hgb_attributes,adaptive_score,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
weibo,hgb_attributes,adaptive_score,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
weibo,hgb_attributes,adaptive_score,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
weibo,hgb_attributes,fixed_degree_cs,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.002,0.0
weibo,hgb_attributes,fixed_degree_cs,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
weibo,hgb_attributes,fixed_degree_cs,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
weibo,hgb_attributes,fixed_score_cs,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.004,0.0
weibo,hgb_attributes,fixed_score_cs,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.004,0.0
weibo,hgb_attributes,fixed_score_cs,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.002,0.0
weibo,hgb_attributes,uniform_fixed,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.004,0.0
weibo,hgb_attributes,uniform_fixed,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.01,0.0
weibo,hgb_attributes,uniform_fixed,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.02,0.0
weibo,hgb_graph_features,adaptive_degree,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
weibo,hgb_graph_features,adaptive_degree,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.002,0.0
weibo,hgb_graph_features,adaptive_degree,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
weibo,hgb_graph_features,adaptive_score,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.002,0.0
weibo,hgb_graph_features,adaptive_score,250,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
weibo,hgb_graph_features,adaptive_score,500,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.002,0.0
