phase,dataset,model,label_fraction,design,scenario,method,seed,fdp,power,discoveries,true_discoveries,nonempty,reference_labels,training_labels,n_reference
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,equal_alpha,0,0.05104604340504235,0.35924324324324325,71.28,66.46,0.9,2445.28,864.0,2282.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,equal_alpha,1,0.05791575553404222,0.5081967213114754,99.3,93.0,1.0,2444.68,864.0,2286.32
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,equal_alpha,2,0.06472798911711908,0.44808743169398907,88.92,82.0,1.0,2457.6,864.0,2293.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,equal_alpha,3,0.04613293035960019,0.42634408602150536,84.06,79.3,1.0,2446.48,864.0,2280.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,equal_alpha,4,0.05583530162569555,0.40108695652173915,78.58,73.8,1.0,2440.44,864.0,2285.84
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,equal_alpha,5,0.042095098295604386,0.35301075268817206,69.1,65.66,0.98,2451.78,864.0,2291.9
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,equal_alpha,6,0.032791368657961596,0.35776595744680845,69.96,67.26,1.0,2450.1,864.0,2279.7
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,equal_alpha,7,0.034676201886738124,0.332192513368984,65.16,62.12,1.0,2442.68,864.0,2266.82
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,equal_alpha,8,0.050955964510428046,0.2785945945945946,55.46,51.54,0.84,2444.08,864.0,2287.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,equal_alpha,9,0.04868347983641204,0.27623655913978495,54.74,51.38,0.86,2451.0,864.0,2284.5
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_reference,0,0.10953500680025088,0.7806486486486487,162.7,144.42,1.0,2445.28,864.0,2282.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_reference,1,0.11000547790891492,0.7911475409836066,162.94,144.78,1.0,2444.68,864.0,2286.32
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_reference,2,0.11490630133072349,0.7706010928961748,159.44,141.02,1.0,2457.6,864.0,2293.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_reference,3,0.09773737014642758,0.8398924731182795,173.46,156.22,1.0,2446.48,864.0,2280.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_reference,4,0.08528295607059669,0.7705434782608696,155.14,141.78,1.0,2440.44,864.0,2285.84
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_reference,5,0.08790990793624706,0.7810752688172043,159.46,145.28,1.0,2451.78,864.0,2291.9
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_reference,6,0.09323413257419988,0.7662765957446809,159.0,144.06,1.0,2450.1,864.0,2279.7
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_reference,7,0.11527259139501372,0.806096256684492,170.62,150.74,1.0,2442.68,864.0,2266.82
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_reference,8,0.10674697661976948,0.780864864864865,161.8,144.46,1.0,2444.08,864.0,2287.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_reference,9,0.09534208363510428,0.8036559139784946,165.54,149.48,1.0,2451.0,864.0,2284.5
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_stratum,0,0.08009464372139054,0.31232432432432433,63.42,57.78,1.0,2445.28,864.0,2282.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_stratum,1,0.05688494942679341,0.28360655737704915,55.62,51.9,1.0,2444.68,864.0,2286.32
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_stratum,2,0.08726824246180052,0.2595628415300546,52.22,47.5,1.0,2457.6,864.0,2293.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_stratum,3,0.07292821062726752,0.3618279569892473,72.9,67.3,1.0,2446.48,864.0,2280.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_stratum,4,0.06847176818510728,0.3139130434782609,62.18,57.76,1.0,2440.44,864.0,2285.84
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_stratum,5,0.05520501774030249,0.267741935483871,52.92,49.8,1.0,2451.78,864.0,2291.9
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_stratum,6,0.05466220649023264,0.35627659574468085,71.04,66.98,1.0,2450.1,864.0,2279.7
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_stratum,7,0.07866642534778469,0.34641711229946526,70.82,64.78,1.0,2442.68,864.0,2266.82
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_stratum,8,0.08795038819026885,0.30583783783783786,62.36,56.58,1.0,2444.08,864.0,2287.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,pooled_stratum,9,0.07002757696476375,0.32591397849462367,65.58,60.62,1.0,2451.0,864.0,2284.5
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,0,0.08009464372139054,0.31232432432432433,63.42,57.78,1.0,2445.28,864.0,2282.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,1,0.0573113886592028,0.2733333333333334,53.46,50.02,1.0,2444.68,864.0,2286.32
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,2,0.08726824246180052,0.2595628415300546,52.22,47.5,1.0,2457.6,864.0,2293.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,3,0.07292821062726752,0.3618279569892473,72.9,67.3,1.0,2446.48,864.0,2280.22
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,4,0.06847176818510728,0.3139130434782609,62.18,57.76,1.0,2440.44,864.0,2285.84
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,5,0.05520501774030249,0.267741935483871,52.92,49.8,1.0,2451.78,864.0,2291.9
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,6,0.05466220649023264,0.35627659574468085,71.04,66.98,1.0,2450.1,864.0,2279.7
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,7,0.0786055172636208,0.3381818181818182,69.06,63.24,1.0,2442.68,864.0,2266.82
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,8,0.08795038819026885,0.30583783783783786,62.36,56.58,1.0,2444.08,864.0,2287.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,size_alpha,9,0.07002757696476375,0.32591397849462367,65.58,60.62,1.0,2451.0,864.0,2284.5
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,0,0.10416507669773602,0.7778378378378379,161.0,143.9,1.0,2447.52,864.0,2216.38
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,1,0.09374803321633576,0.7793442622950819,157.68,142.62,1.0,2447.74,864.0,2217.66
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,uniform_counterfactual,2,0.10544453642405952,0.7640437158469945,156.48,139.82,1.0,2450.62,864.0,2219.48
