phase,dataset,model,label_fraction,design,scenario,mean,std,count,lower,upper,method,metric
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,0.022766482707531354,0.012697049499562957,10,0.013683560662567621,0.031849404752495085,size_alpha,fdp
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,0.022412662428284165,0.010814396408329967,10,0.014676509273680971,0.03014881558288736,size_alpha,fdp
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,0.028980264780162197,0.010779058009421033,10,0.021269391193264455,0.036691138367059936,size_alpha,fdp
acquisition,amazon,hgb_attributes,0.0,zero_exposure,moderate,-0.004451646965161723,0.004129548964408618,10,-0.007405748335395435,-0.0014975455949280117,size_alpha,fdp
acquisition,amazon,hgb_attributes,0.0,zero_exposure,neutral,0.0058699190784923805,0.004218468542344679,10,0.002852208474106111,0.00888762968287865,size_alpha,fdp
acquisition,amazon,hgb_attributes,0.0,zero_exposure,severe,-0.011986108367350166,0.004067599577988816,10,-0.014895893816187828,-0.009076322918512505,size_alpha,fdp
acquisition,amazon,hgb_graph_features,0.0,exposure_80,moderate,0.029297185905707523,0.011690477977807513,10,0.020934321750184948,0.0376600500612301,size_alpha,fdp
acquisition,amazon,hgb_graph_features,0.0,exposure_80,neutral,0.031015544189138877,0.009310292949290774,10,0.024355361831253735,0.037675726547024016,size_alpha,fdp
acquisition,amazon,hgb_graph_features,0.0,exposure_80,severe,0.03544468696765484,0.008231625044063584,10,0.02955613714502288,0.041333236790286804,size_alpha,fdp
acquisition,amazon,hgb_graph_features,0.0,zero_exposure,moderate,-0.0034920420956799786,0.006388002047692734,10,-0.008061743475851722,0.0010776592844917651,size_alpha,fdp
acquisition,amazon,hgb_graph_features,0.0,zero_exposure,neutral,0.0058192974816381115,0.006883947005426739,10,0.0008948184509700169,0.010743776512306206,size_alpha,fdp
acquisition,amazon,hgb_graph_features,0.0,zero_exposure,severe,-0.013234750224231737,0.0035969099565728337,10,-0.015807824601820758,-0.010661675846642717,size_alpha,fdp
acquisition,tfinance,hgb_attributes,0.0,exposure_80,moderate,-0.012170196522638007,0.00712336854595616,10,-0.01726594740576196,-0.007074445639514056,size_alpha,fdp
acquisition,tfinance,hgb_attributes,0.0,exposure_80,neutral,-0.02070295495492465,0.0037290427791632176,10,-0.0233705514596591,-0.0180353584501902,size_alpha,fdp
acquisition,tfinance,hgb_attributes,0.0,exposure_80,severe,0.024107981644016997,0.018008630431460632,10,0.011225383497798164,0.03699057979023583,size_alpha,fdp
acquisition,tfinance,hgb_attributes,0.0,zero_exposure,moderate,-0.004478624617551605,0.0029559242664244437,10,-0.006593165455064602,-0.0023640837800386083,size_alpha,fdp
acquisition,tfinance,hgb_attributes,0.0,zero_exposure,neutral,-0.007091633370090009,0.0021828395738398947,10,-0.00865314273386244,-0.0055301240063175775,size_alpha,fdp
acquisition,tfinance,hgb_attributes,0.0,zero_exposure,severe,-0.001711147711531142,0.011560167679067028,10,-0.009980793494930612,0.0065584980718683275,size_alpha,fdp
acquisition,tfinance,hgb_graph_features,0.0,exposure_80,moderate,-0.016900212891446796,0.0051794230196092255,10,-0.020605348917467688,-0.013195076865425905,size_alpha,fdp
acquisition,tfinance,hgb_graph_features,0.0,exposure_80,neutral,-0.024180502162993802,0.004246525418459738,10,-0.027218283447468943,-0.02114272087851866,size_alpha,fdp
acquisition,tfinance,hgb_graph_features,0.0,exposure_80,severe,0.013344911185026986,0.02466474443198668,10,-0.004299184078396185,0.03098900644845016,size_alpha,fdp
acquisition,tfinance,hgb_graph_features,0.0,zero_exposure,moderate,-0.007872084495135769,0.0019198910921252139,10,-0.009245491846599101,-0.0064986771436724355,size_alpha,fdp
acquisition,tfinance,hgb_graph_features,0.0,zero_exposure,neutral,-0.0063013040340949514,0.001749986266883059,10,-0.007553168795463571,-0.005049439272726332,size_alpha,fdp
acquisition,tfinance,hgb_graph_features,0.0,zero_exposure,severe,-0.010301275363308349,0.011028362724357949,10,-0.01819049079972726,-0.002412059926889438,size_alpha,fdp
acquisition,weibo_gadbench,hgb_attributes,0.0,exposure_80,moderate,0.0038678560327495884,0.02398873903468146,10,-0.01329265410123785,0.021028366166737027,size_alpha,fdp
acquisition,weibo_gadbench,hgb_attributes,0.0,exposure_80,neutral,-0.013999512417541249,0.01621205596973404,10,-0.025596918615473432,-0.002402106219609063,size_alpha,fdp
acquisition,weibo_gadbench,hgb_attributes,0.0,exposure_80,severe,0.018405160190686505,0.022722761602189414,10,0.0021502757558352625,0.03466004462553775,size_alpha,fdp
acquisition,weibo_gadbench,hgb_attributes,0.0,zero_exposure,moderate,0.01845332245030987,0.022817883959360755,10,0.0021303915803439037,0.03477625332027584,size_alpha,fdp
acquisition,weibo_gadbench,hgb_attributes,0.0,zero_exposure,neutral,0.0006324300122630483,0.02477770018076237,10,-0.0170924689261159,0.018357328950641995,size_alpha,fdp
acquisition,weibo_gadbench,hgb_attributes,0.0,zero_exposure,severe,0.02568551236345354,0.023947007186313384,10,0.008554855395395126,0.04281616933151195,size_alpha,fdp
acquisition,weibo_gadbench,hgb_graph_features,0.0,exposure_80,moderate,-0.002091873192508415,0.01554662143248235,10,-0.013213256198746212,0.009029509813729382,size_alpha,fdp
acquisition,weibo_gadbench,hgb_graph_features,0.0,exposure_80,neutral,-0.006011176008878277,0.017973279759256604,10,-0.018868485807605254,0.006846133789848701,size_alpha,fdp
acquisition,weibo_gadbench,hgb_graph_features,0.0,exposure_80,severe,0.01337032161165288,0.011318150447640302,10,0.005273804526118421,0.021466838697187338,size_alpha,fdp
acquisition,weibo_gadbench,hgb_graph_features,0.0,zero_exposure,moderate,0.0035606179803087242,0.013836063971660107,10,-0.006337105933270237,0.013458341893887685,size_alpha,fdp
acquisition,weibo_gadbench,hgb_graph_features,0.0,zero_exposure,neutral,-0.002848341655249261,0.02004926798355955,10,-0.017190723966945126,0.011494040656446602,size_alpha,fdp
acquisition,weibo_gadbench,hgb_graph_features,0.0,zero_exposure,severe,0.01327664278511188,0.009519265803206552,10,0.006466970253017687,0.020086315317206074,size_alpha,fdp
allocation,amazon,hgb_attributes,0.25,exposure_80,uniform,0.018930375954876726,0.01978354448603464,10,0.004778080782213983,0.033082671127539466,size_alpha,fdp
allocation,amazon,hgb_attributes,0.25,zero_exposure,uniform,0.03271784294560834,0.0150445783462604,10,0.02195559992819424,0.04348008596302244,size_alpha,fdp
allocation,amazon,hgb_attributes,0.5,exposure_80,uniform,0.023708964275575818,0.020806253989900405,10,0.00882506679652087,0.03859286175463077,size_alpha,fdp
allocation,amazon,hgb_attributes,0.5,zero_exposure,uniform,0.036332565737816264,0.013551948949333209,10,0.02663808546754886,0.04602704600808367,size_alpha,fdp
allocation,amazon,hgb_attributes,1.0,exposure_80,uniform,0.01665295445300926,0.017294902757892996,10,0.004280926327059412,0.029024982578959108,size_alpha,fdp
allocation,amazon,hgb_attributes,1.0,zero_exposure,uniform,0.043881510652138196,0.013502889898393534,10,0.034222125112760855,0.05354089619151554,size_alpha,fdp
allocation,amazon,hgb_graph_features,0.25,exposure_80,uniform,0.027226251041361817,0.03221000534073514,10,0.004184601279514942,0.05026790080320869,size_alpha,fdp
allocation,amazon,hgb_graph_features,0.25,zero_exposure,uniform,0.026573168556217924,0.018978839227403402,10,0.012996524847587947,0.0401498122648479,size_alpha,fdp
allocation,amazon,hgb_graph_features,0.5,exposure_80,uniform,0.02937700174262378,0.024397447690358932,10,0.011924119049267476,0.04682988443598009,size_alpha,fdp
allocation,amazon,hgb_graph_features,0.5,zero_exposure,uniform,0.035567755435069466,0.010783010740539768,10,0.027854054234668493,0.04328145663547044,size_alpha,fdp
allocation,amazon,hgb_graph_features,1.0,exposure_80,uniform,0.03946112182530871,0.03285334400855188,10,0.015959255304561167,0.06296298834605626,size_alpha,fdp
allocation,amazon,hgb_graph_features,1.0,zero_exposure,uniform,0.04163883702722383,0.015592433616331308,10,0.030484681958892087,0.052792992095555574,size_alpha,fdp
allocation,tfinance,hgb_attributes,0.25,exposure_80,uniform,-0.02271943959241897,0.008524563280957999,10,-0.02881754480583622,-0.016621334379001717,size_alpha,fdp
allocation,tfinance,hgb_attributes,0.25,zero_exposure,uniform,0.00539422182367707,0.00312799197517245,10,0.0031565911624166386,0.007631852484937502,size_alpha,fdp
allocation,tfinance,hgb_attributes,0.5,exposure_80,uniform,-0.02083853985055333,0.006855551355703209,10,-0.025742705857092173,-0.015934373844014485,size_alpha,fdp
allocation,tfinance,hgb_attributes,0.5,zero_exposure,uniform,0.010882629781847081,0.0022896012614798955,10,0.009244747707528292,0.01252051185616587,size_alpha,fdp
allocation,tfinance,hgb_attributes,1.0,exposure_80,uniform,-0.02144848742641011,0.005193917654568698,10,-0.025163992289648787,-0.017732982563171434,size_alpha,fdp
allocation,tfinance,hgb_attributes,1.0,zero_exposure,uniform,0.017658049487767974,0.003807940899244689,10,0.014934012667965143,0.020382086307570806,size_alpha,fdp
allocation,tfinance,hgb_graph_features,0.25,exposure_80,uniform,-0.025930217448462745,0.005590144916680359,10,-0.029929166219986845,-0.021931268676938644,size_alpha,fdp
allocation,tfinance,hgb_graph_features,0.25,zero_exposure,uniform,0.005002775230250922,0.0024248411537056104,10,0.003268148365065739,0.006737402095436104,size_alpha,fdp
allocation,tfinance,hgb_graph_features,0.5,exposure_80,uniform,-0.023832829543772374,0.004574641660560489,10,-0.02710533104799543,-0.020560328039549318,size_alpha,fdp
allocation,tfinance,hgb_graph_features,0.5,zero_exposure,uniform,0.011641272653818764,0.004676112131487355,10,0.00829618354746608,0.014986361760171448,size_alpha,fdp
allocation,tfinance,hgb_graph_features,1.0,exposure_80,uniform,-0.025146915514749717,0.00390701295060463,10,-0.027941824210681563,-0.022352006818817872,size_alpha,fdp
allocation,tfinance,hgb_graph_features,1.0,zero_exposure,uniform,0.0187426356002716,0.0027920146740936457,10,0.016745348621587275,0.020739922578955926,size_alpha,fdp
allocation,weibo_gadbench,hgb_attributes,0.25,exposure_80,uniform,-0.01584127527065779,0.007056793611027223,10,-0.020889401314315777,-0.010793149226999801,size_alpha,fdp
allocation,weibo_gadbench,hgb_attributes,0.25,zero_exposure,uniform,-0.014279555720580872,0.007753613674997047,10,-0.019826156809218592,-0.00873295463194315,size_alpha,fdp
allocation,weibo_gadbench,hgb_attributes,0.5,exposure_80,uniform,-0.017971598838484232,0.008923070556694248,10,-0.024354778983678965,-0.011588418693289498,size_alpha,fdp
allocation,weibo_gadbench,hgb_attributes,0.5,zero_exposure,uniform,-0.01601052714355754,0.008865402963395457,10,-0.022352454377635278,-0.009668599909479806,size_alpha,fdp
allocation,weibo_gadbench,hgb_attributes,1.0,exposure_80,uniform,-0.01781501205913126,0.004730229986936834,10,-0.021198814747116053,-0.01443120937114647,size_alpha,fdp
allocation,weibo_gadbench,hgb_attributes,1.0,zero_exposure,uniform,-0.009987410163310005,0.006099042638398547,10,-0.01435040243449795,-0.005624417892122061,size_alpha,fdp
allocation,weibo_gadbench,hgb_graph_features,0.25,exposure_80,uniform,-0.01835433411524831,0.009230618186258784,10,-0.024957520581166945,-0.011751147649329679,size_alpha,fdp
allocation,weibo_gadbench,hgb_graph_features,0.25,zero_exposure,uniform,-0.017640561387836918,0.009051583548131745,10,-0.024115674188963414,-0.011165448586710421,size_alpha,fdp
allocation,weibo_gadbench,hgb_graph_features,0.5,exposure_80,uniform,-0.014491804920356793,0.003461431886271388,10,-0.016967964124748096,-0.01201564571596549,size_alpha,fdp
allocation,weibo_gadbench,hgb_graph_features,0.5,zero_exposure,uniform,-0.013470057053910318,0.005016976893268893,10,-0.01705898612160547,-0.009881127986215165,size_alpha,fdp
allocation,weibo_gadbench,hgb_graph_features,1.0,exposure_80,uniform,-0.01628410348957169,0.004948923206374532,10,-0.019824349882370196,-0.012743857096773184,size_alpha,fdp
allocation,weibo_gadbench,hgb_graph_features,1.0,zero_exposure,uniform,-0.006284164990292214,0.0021932643683102867,10,-0.007853131802782364,-0.0047151981778020624,size_alpha,fdp
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,0.022729929592706807,0.012795911944232002,10,0.01357628561520793,0.03188357357020569,pooled_stratum,fdp
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,0.04306554585230416,0.013807554620140322,10,0.033188216300219626,0.052942875404388696,pooled_stratum,fdp
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,0.028980264780162197,0.010779058009421033,10,0.021269391193264455,0.036691138367059936,pooled_stratum,fdp
acquisition,amazon,hgb_attributes,0.0,zero_exposure,moderate,0.03221814831197367,0.006800740896248916,10,0.02735319134612488,0.03708310527782246,pooled_stratum,fdp
acquisition,amazon,hgb_attributes,0.0,zero_exposure,neutral,0.04165329395021137,0.012414709920696307,10,0.032772345472818744,0.050534242427603994,pooled_stratum,fdp
acquisition,amazon,hgb_attributes,0.0,zero_exposure,severe,-0.00541975877872732,0.008290142100146421,10,-0.011350169181545211,0.0005106516240905717,pooled_stratum,fdp
acquisition,amazon,hgb_graph_features,0.0,exposure_80,moderate,0.029517297814513253,0.012097807826388267,10,0.02086304743880045,0.03817154819022606,pooled_stratum,fdp
acquisition,amazon,hgb_graph_features,0.0,exposure_80,neutral,0.051878791407450366,0.01346482452713035,10,0.04224663619428448,0.06151094662061625,pooled_stratum,fdp
acquisition,amazon,hgb_graph_features,0.0,exposure_80,severe,0.03544468696765484,0.008231625044063584,10,0.02955613714502288,0.041333236790286804,pooled_stratum,fdp
acquisition,amazon,hgb_graph_features,0.0,zero_exposure,moderate,0.03335331362647482,0.009642034259021102,10,0.026455817831678333,0.04025080942127131,pooled_stratum,fdp
acquisition,amazon,hgb_graph_features,0.0,zero_exposure,neutral,0.04269308591117888,0.01139838571698087,10,0.03453917197161923,0.05084699985073853,pooled_stratum,fdp
acquisition,amazon,hgb_graph_features,0.0,zero_exposure,severe,-0.007349775951632986,0.006890525487030204,10,-0.01227896094454692,-0.0024205909587190523,pooled_stratum,fdp
acquisition,tfinance,hgb_attributes,0.0,exposure_80,moderate,0.05714510889118728,0.012706793672365595,10,0.048055216284916207,0.06623500149745835,pooled_stratum,fdp
acquisition,tfinance,hgb_attributes,0.0,exposure_80,neutral,0.059245598988260095,0.01127161902187233,10,0.051182368479493416,0.06730882949702677,pooled_stratum,fdp
acquisition,tfinance,hgb_attributes,0.0,exposure_80,severe,0.024107981644016997,0.018008630431460632,10,0.011225383497798164,0.03699057979023583,pooled_stratum,fdp
acquisition,tfinance,hgb_attributes,0.0,zero_exposure,moderate,0.05235254676189303,0.010225986109951178,10,0.04503731697777936,0.0596677765460067,pooled_stratum,fdp
acquisition,tfinance,hgb_attributes,0.0,zero_exposure,neutral,0.05050905442702412,0.010271929637868025,10,0.043160958622930484,0.05785715023111776,pooled_stratum,fdp
acquisition,tfinance,hgb_attributes,0.0,zero_exposure,severe,0.010789553806811803,0.01559035302085256,10,-0.00036311289317569016,0.021942220506799295,pooled_stratum,fdp
acquisition,tfinance,hgb_graph_features,0.0,exposure_80,moderate,0.05873766373082997,0.006513823858247426,10,0.054077954849556194,0.06339737261210375,pooled_stratum,fdp
acquisition,tfinance,hgb_graph_features,0.0,exposure_80,neutral,0.05984554501694661,0.006995236303765067,10,0.05484145441815157,0.06484963561574165,pooled_stratum,fdp
acquisition,tfinance,hgb_graph_features,0.0,exposure_80,severe,0.013344911185026986,0.02466474443198668,10,-0.004299184078396185,0.03098900644845016,pooled_stratum,fdp
acquisition,tfinance,hgb_graph_features,0.0,zero_exposure,moderate,0.05485214472316015,0.003971367661714935,10,0.0520111994402038,0.0576930900061165,pooled_stratum,fdp
acquisition,tfinance,hgb_graph_features,0.0,zero_exposure,neutral,0.05510013688332133,0.004308683285809865,10,0.05201789053917687,0.058182383227465787,pooled_stratum,fdp
acquisition,tfinance,hgb_graph_features,0.0,zero_exposure,severe,0.021199074583700617,0.01195415192593792,10,0.012647589448458405,0.02975055971894283,pooled_stratum,fdp
acquisition,weibo_gadbench,hgb_attributes,0.0,exposure_80,moderate,0.0038678560327495884,0.02398873903468146,10,-0.01329265410123785,0.021028366166737027,pooled_stratum,fdp
acquisition,weibo_gadbench,hgb_attributes,0.0,exposure_80,neutral,0.04811187307911752,0.019129523152571003,10,0.03442743658400013,0.0617963095742349,pooled_stratum,fdp
acquisition,weibo_gadbench,hgb_attributes,0.0,exposure_80,severe,0.018405160190686505,0.022722761602189414,10,0.0021502757558352625,0.03466004462553775,pooled_stratum,fdp
acquisition,weibo_gadbench,hgb_attributes,0.0,zero_exposure,moderate,0.01845332245030987,0.022817883959360755,10,0.0021303915803439037,0.03477625332027584,pooled_stratum,fdp
acquisition,weibo_gadbench,hgb_attributes,0.0,zero_exposure,neutral,0.037918796470844916,0.03094011676421017,10,0.015785570272028433,0.0600520226696614,pooled_stratum,fdp
acquisition,weibo_gadbench,hgb_attributes,0.0,zero_exposure,severe,0.02568551236345354,0.023947007186313384,10,0.008554855395395126,0.04281616933151195,pooled_stratum,fdp
acquisition,weibo_gadbench,hgb_graph_features,0.0,exposure_80,moderate,-0.002091873192508415,0.01554662143248235,10,-0.013213256198746212,0.009029509813729382,pooled_stratum,fdp
acquisition,weibo_gadbench,hgb_graph_features,0.0,exposure_80,neutral,0.03616461956778952,0.020984971491844816,10,0.021152875289500807,0.05117636384607823,pooled_stratum,fdp
