dataset,model,method,budget,discoveries,true_discoveries,fdp,power,unreviewed_recall,audit_labels,reviewed_anomalies,abstain,certificate_failure,simultaneous_bound_failure,true_discoveries_seed_sd,power_seed_sd
amazon,dominant_degree_normalized,score_degree_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,11.1235,1.0,0.0,0.0005,0.0,0.0
amazon,dominant_degree_normalized,score_degree_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,28.746999999999996,1.0,0.0,0.0005,0.0,0.0
amazon,dominant_degree_normalized,score_degree_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,57.782500000000006,1.0,0.0,0.0005,0.0,0.0
amazon,dominant_degree_normalized,score_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,11.487,1.0,0.0,0.001,0.0,0.0
amazon,dominant_degree_normalized,score_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,28.7425,1.0,0.0,0.0,0.0,0.0
amazon,dominant_degree_normalized,score_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,57.783500000000004,1.0,0.0,0.0025,0.0,0.0
amazon,dominant_degree_normalized,uniform_candidates,100,0.0,0.0,0.0,0.0,0.0,100.0,9.6995,1.0,0.0,0.016,0.0,0.0
amazon,dominant_degree_normalized,uniform_candidates,250,0.0,0.0,0.0,0.0,0.0,250.0,24.273,1.0,0.0,0.0195,0.0,0.0
amazon,dominant_degree_normalized,uniform_candidates,500,0.0,0.0,0.0,0.0,0.0,500.0,48.143,1.0,0.0,0.0125,0.0,0.0
amazon,dominant_degree_normalized,uniform_graph,100,0.0,0.0,0.0,0.0,0.0,100.0,9.375499999999999,1.0,0.0,0.007000000000000001,0.0,0.0
amazon,dominant_degree_normalized,uniform_graph,250,0.0,0.0,0.0,0.0,0.0,250.0,23.580000000000002,1.0,0.0,0.010499999999999999,0.0,0.0
amazon,dominant_degree_normalized,uniform_graph,500,0.0,0.0,0.0,0.0,0.0,500.0,47.488,1.0,0.0,0.016,0.0,0.0
amazon,dominant_pygod,score_degree_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,1.3325,1.0,0.0,0.0,0.0,0.0
amazon,dominant_pygod,score_degree_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,3.686,1.0,0.0,0.0,0.0,0.0
amazon,dominant_pygod,score_degree_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,9.0075,1.0,0.0,0.0,0.0,0.0
amazon,dominant_pygod,score_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,1.3225000000000002,1.0,0.0,0.0015,0.0,0.0
amazon,dominant_pygod,score_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,3.7215,1.0,0.0,0.0025,0.0,0.0
amazon,dominant_pygod,score_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,8.834,1.0,0.0,0.001,0.0,0.0
amazon,dominant_pygod,uniform_candidates,100,0.0,0.0,0.0,0.0,0.0,100.0,2.4225000000000003,1.0,0.0,0.014000000000000002,0.0,0.0
amazon,dominant_pygod,uniform_candidates,250,0.0,0.0,0.0,0.0,0.0,250.0,5.9975000000000005,1.0,0.0,0.014000000000000002,0.0,0.0
amazon,dominant_pygod,uniform_candidates,500,0.0,0.0,0.0,0.0,0.0,500.0,11.92,1.0,0.0,0.007000000000000001,0.0,0.0
amazon,dominant_pygod,uniform_graph,100,0.0,0.0,0.0,0.0,0.0,100.0,9.541500000000001,1.0,0.0,0.005,0.0,0.0
amazon,dominant_pygod,uniform_graph,250,0.0,0.0,0.0,0.0,0.0,250.0,23.770500000000002,1.0,0.0,0.0115,0.0,0.0
amazon,dominant_pygod,uniform_graph,500,0.0,0.0,0.0,0.0,0.0,500.0,47.589,1.0,0.0,0.013000000000000001,0.0,0.0
amazon,gae,score_degree_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,39.971000000000004,1.0,0.0,0.0,0.0,0.0
amazon,gae,score_degree_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,100.17,1.0,0.0,0.0,0.0,0.0
amazon,gae,score_degree_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,194.395,1.0,0.0,0.0,0.0,0.0
amazon,gae,score_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,40.159,1.0,0.0,0.001,0.0,0.0
amazon,gae,score_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,100.0215,1.0,0.0,0.0045,0.0,0.0
amazon,gae,score_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,194.5525,1.0,0.0,0.004,0.0,0.0
amazon,gae,uniform_candidates,100,0.0,0.0,0.0,0.0,0.0,100.0,34.208999999999996,1.0,0.0,0.019,0.0,0.0
amazon,gae,uniform_candidates,250,0.0,0.0,0.0,0.0,0.0,250.0,85.556,1.0,0.0,0.0205,0.0,0.0
amazon,gae,uniform_candidates,500,0.0,0.0,0.0,0.0,0.0,500.0,170.476,1.0,0.0,0.0185,0.0,0.0
amazon,gae,uniform_graph,100,0.0,0.0,0.0,0.0,0.0,100.0,9.53,1.0,0.0,0.006,0.0,0.0
amazon,gae,uniform_graph,250,0.0,0.0,0.0,0.0,0.0,250.0,23.788999999999998,1.0,0.0,0.01,0.0,0.0
amazon,gae,uniform_graph,500,0.0,0.0,0.0,0.0,0.0,500.0,47.2025,1.0,0.0,0.011,0.0,0.0
amazon,isolation_forest,score_degree_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,25.878500000000003,1.0,0.0,0.0,0.0,0.0
amazon,isolation_forest,score_degree_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,68.6405,1.0,0.0,0.0025,0.0,0.0
amazon,isolation_forest,score_degree_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,146.5535,1.0,0.0,0.0005,0.0,0.0
amazon,isolation_forest,score_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,26.696999999999996,1.0,0.0,0.002,0.0,0.0
amazon,isolation_forest,score_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,68.2985,1.0,0.0,0.002,0.0,0.0
amazon,isolation_forest,score_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,146.528,1.0,0.0,0.0045,0.0,0.0
amazon,isolation_forest,uniform_candidates,100,0.0,0.0,0.0,0.0,0.0,100.0,29.663999999999998,1.0,0.0,0.016,0.0,0.0
amazon,isolation_forest,uniform_candidates,250,0.0,0.0,0.0,0.0,0.0,250.0,74.137,1.0,0.0,0.023,0.0,0.0
amazon,isolation_forest,uniform_candidates,500,0.0,0.0,0.0,0.0,0.0,500.0,148.245,1.0,0.0,0.023,0.0,0.0
amazon,isolation_forest,uniform_graph,100,0.0,0.0,0.0,0.0,0.0,100.0,9.4735,1.0,0.0,0.0085,0.0,0.0
amazon,isolation_forest,uniform_graph,250,0.0,0.0,0.0,0.0,0.0,250.0,23.903,1.0,0.0,0.013000000000000001,0.0,0.0
amazon,isolation_forest,uniform_graph,500,0.0,0.0,0.0,0.0,0.0,500.0,47.6175,1.0,0.0,0.0115,0.0,0.0
tolokers,dominant_degree_normalized,score_degree_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,22.952,1.0,0.0,0.0,0.0,0.0
tolokers,dominant_degree_normalized,score_degree_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,58.2125,1.0,0.0,0.0,0.0,0.0
tolokers,dominant_degree_normalized,score_degree_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,114.224,1.0,0.0,0.0,0.0,0.0
tolokers,dominant_degree_normalized,score_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,23.3855,1.0,0.0,0.0005,0.0,0.0
tolokers,dominant_degree_normalized,score_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,58.145,1.0,0.0,0.002,0.0,0.0
tolokers,dominant_degree_normalized,score_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,114.026,1.0,0.0,0.0005,0.0,0.0
tolokers,dominant_degree_normalized,uniform_candidates,100,0.0,0.0,0.0,0.0,0.0,100.0,22.272,1.0,0.0,0.012,0.0,0.0
tolokers,dominant_degree_normalized,uniform_candidates,250,0.0,0.0,0.0,0.0,0.0,250.0,55.967499999999994,1.0,0.0,0.026500000000000003,0.0,0.0
tolokers,dominant_degree_normalized,uniform_candidates,500,0.0,0.0,0.0,0.0,0.0,500.0,111.86300000000001,1.0,0.0,0.02,0.0,0.0
