dataset,model,seed,n,fdp,power,true_discoveries
amazon,dominant_pygod,0,25,1.0,0.0,0
amazon,dominant_pygod,0,50,1.0,0.0,0
amazon,dominant_pygod,0,100,1.0,0.0,0
amazon,dominant_pygod,0,200,0.99,0.00243605359317905,2
amazon,dominant_pygod,0,400,0.9875,0.0060901339829476245,5
amazon,dominant_pygod,0,800,0.98375,0.015834348355663823,13
amazon,dominant_pygod,0,1600,0.976875,0.04506699147381242,37
amazon,dominant_pygod,0,1727,0.9768384481760278,0.048721071863580996,40
amazon,dominant_pygod,1,25,1.0,0.0,0
amazon,dominant_pygod,1,50,1.0,0.0,0
amazon,dominant_pygod,1,100,1.0,0.0,0
amazon,dominant_pygod,1,200,0.99,0.00243605359317905,2
amazon,dominant_pygod,1,400,0.9875,0.0060901339829476245,5
amazon,dominant_pygod,1,800,0.97875,0.020706455542021926,17
amazon,dominant_pygod,1,1600,0.975,0.048721071863580996,40
amazon,dominant_pygod,1,1727,0.9751013317892299,0.05237515225334957,43
amazon,dominant_pygod,2,25,1.0,0.0,0
amazon,dominant_pygod,2,50,1.0,0.0,0
amazon,dominant_pygod,2,100,1.0,0.0,0
amazon,dominant_pygod,2,200,0.99,0.00243605359317905,2
amazon,dominant_pygod,2,400,0.9875,0.0060901339829476245,5
amazon,dominant_pygod,2,800,0.98125,0.018270401948842874,15
amazon,dominant_pygod,2,1600,0.976875,0.04506699147381242,37
amazon,dominant_pygod,2,1727,0.9768384481760278,0.048721071863580996,40
amazon,dominant_pygod,3,25,1.0,0.0,0
amazon,dominant_pygod,3,50,1.0,0.0,0
amazon,dominant_pygod,3,100,1.0,0.0,0
amazon,dominant_pygod,3,200,0.99,0.00243605359317905,2
amazon,dominant_pygod,3,400,0.9875,0.0060901339829476245,5
amazon,dominant_pygod,3,800,0.97875,0.020706455542021926,17
amazon,dominant_pygod,3,1600,0.975,0.048721071863580996,40
amazon,dominant_pygod,3,1727,0.9756803705848291,0.05115712545676005,42
amazon,dominant_pygod,4,25,1.0,0.0,0
amazon,dominant_pygod,4,50,1.0,0.0,0
amazon,dominant_pygod,4,100,1.0,0.0,0
amazon,dominant_pygod,4,200,0.99,0.00243605359317905,2
amazon,dominant_pygod,4,400,0.9875,0.0060901339829476245,5
amazon,dominant_pygod,4,800,0.97875,0.020706455542021926,17
amazon,dominant_pygod,4,1600,0.97625,0.04628501827040195,38
amazon,dominant_pygod,4,1727,0.9756803705848291,0.05115712545676005,42
amazon,dominant_pygod,5,25,1.0,0.0,0
