dataset,model,label_fraction,method,fdp,power,discoveries,n_calib,reference_labels,fdp_seed_sd,power_seed_sd,discoveries_seed_sd,n_calib_seed_sd,reference_labels_seed_sd
amazon,hgb_attributes,0.25,filtered,0.09288563123665207,0.6789639452731209,144.07999999999998,207.32,1466.8600000000001,0.046795625377284565,0.11277563691053895,23.588170293131636,13.176477357607972,21.64605173133322
amazon,hgb_attributes,0.25,full_reference,0.09089376794801292,0.7787026101565055,159.16,1326.82,1466.8600000000001,0.018635254664864095,0.014979585691946698,5.3239918190103275,18.2482754131879,21.64605173133322
amazon,hgb_attributes,0.25,matched_random,0.06308718673202514,0.5911555020780417,120.2077,207.32,1466.8600000000001,0.009963119134563993,0.04697474956833172,9.352554565464988,13.176477357607972,21.64605173133322
amazon,hgb_attributes,0.5,filtered,0.13979185304942157,0.7695877470719548,172.0,238.95999999999998,2922.7799999999997,0.06943810108297532,0.06066232837062445,28.855194025031647,12.92638988873365,18.56123798553199
amazon,hgb_attributes,0.5,full_reference,0.08855822731673389,0.7793593359312982,158.76,2643.98,2922.7799999999997,0.016060628880837848,0.01838379091884382,4.836711463151151,15.041114024935366,18.56123798553199
amazon,hgb_attributes,0.5,matched_random,0.06922303063784749,0.6221944947652646,126.9479,238.95999999999998,2922.7799999999997,0.009451932316264306,0.0349002183210872,7.214945051765807,12.92638988873365,18.56123798553199
amazon,hgb_graph_features,0.25,filtered,0.08504102315932902,0.6745924430818043,140.62,207.32,1466.8600000000001,0.03779380150156694,0.07713343302253962,20.846198694246393,13.176477357607972,21.64605173133322
amazon,hgb_graph_features,0.25,full_reference,0.08910270402545903,0.7775863278806721,158.7,1326.82,1466.8600000000001,0.02476879547216143,0.017864801834565684,6.4161255183067185,18.2482754131879,21.64605173133322
amazon,hgb_graph_features,0.25,matched_random,0.06530053555565153,0.6011192721889669,122.51689999999999,207.32,1466.8600000000001,0.013325463134427585,0.06681476200310373,13.458064624355664,13.176477357607972,21.64605173133322
amazon,hgb_graph_features,0.5,filtered,0.11760768987631846,0.7564526163232145,162.8,238.95999999999998,2922.7799999999997,0.0637466398961414,0.0836561331508595,28.98198674272617,12.92638988873365,18.56123798553199
amazon,hgb_graph_features,0.5,full_reference,0.09068444061702308,0.7905305694087756,161.38,2643.98,2922.7799999999997,0.021805036922767206,0.018037405335698867,5.401604699839981,15.041114024935366,18.56123798553199
amazon,hgb_graph_features,0.5,matched_random,0.07211548967935712,0.6261082340968995,128.2751,238.95999999999998,2922.7799999999997,0.010856639490965913,0.034450811014661666,7.450301969271674,12.92638988873365,18.56123798553199
tolokers,hgb_attributes,0.25,filtered,0.02787280701754386,0.0018652849740932623,3.44,442.76000000000005,1987.0400000000002,0.05940679783072874,0.004321088741277795,7.313184440903065,14.0604409603682,21.345371603438736
tolokers,hgb_attributes,0.25,full_reference,0.009411764705882352,0.00031088082901554396,0.33999999999999997,1549.6799999999998,1987.0400000000002,0.02976261327217298,0.0009830915005704804,1.0751744044572489,17.737393019018096,21.345371603438736
tolokers,hgb_attributes,0.25,matched_random,0.0008867603425020875,3.9635993026682966e-05,0.0859,442.76000000000005,1987.0400000000002,0.001732515603870259,6.336913208192389e-05,0.15441966627775536,14.0604409603682,21.345371603438736
tolokers,hgb_attributes,0.5,filtered,0.0571875887247831,0.002970587527959958,5.9,640.1600000000001,3978.34,0.10075271721138523,0.005489569228186723,10.982511350121863,20.868860374570843,25.581078076491508
tolokers,hgb_attributes,0.5,full_reference,0.0,0.0,0.0,3108.7200000000003,3978.34,0.0,0.0,0.0,24.987143360803294,25.581078076491508
tolokers,hgb_attributes,0.5,matched_random,0.0007021608111107589,3.208796199604843e-05,0.0517,640.1600000000001,3978.34,0.0010751100097826888,4.3317955637935354e-05,0.07436404447790015,20.868860374570843,25.581078076491508
tolokers,hgb_graph_features,0.25,filtered,0.0,0.0,0.0,442.76000000000005,1987.0400000000002,0.0,0.0,0.0,14.0604409603682,21.345371603438736
tolokers,hgb_graph_features,0.25,full_reference,0.010305882352941175,0.00106849705322009,0.8400000000000001,1549.6799999999998,1987.0400000000002,0.021828678285548207,0.00229005452976862,1.810586154321915,17.737393019018096,21.345371603438736
tolokers,hgb_graph_features,0.25,matched_random,0.0034503221993432117,0.000680114603958458,0.6459,442.76000000000005,1987.0400000000002,0.0031073305149808975,0.0006556303223281679,0.6304362598849925,14.0604409603682,21.345371603438736
tolokers,hgb_graph_features,0.5,filtered,0.004888888888888888,0.0011785095320623901,0.9,640.1600000000001,3978.34,0.01546002411637874,0.0037267743655363867,2.8460498941515415,20.868860374570843,25.581078076491508
tolokers,hgb_graph_features,0.5,full_reference,0.023494949494949492,0.0013119738477760001,1.1199999999999999,3108.7200000000003,3978.34,0.034741836516956934,0.0017586903482295748,1.5554920621962545,24.987143360803294,25.581078076491508
tolokers,hgb_graph_features,0.5,matched_random,0.004582466394050981,0.0007520931595514783,0.6738,640.1600000000001,3978.34,0.003491467106479673,0.0006076713035510969,0.5236378731740307,20.868860374570843,25.581078076491508
