dataset,model,budget,discoveries,true_discoveries,fdp,power,audit_labels,abstain,certificate_failure,bound_failure,true_discoveries_seed_sd,audit_labels_seed_sd
amazon,dominant_degree_normalized,100,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
amazon,dominant_degree_normalized,250,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0
amazon,dominant_degree_normalized,500,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
amazon,dominant_pygod,100,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
amazon,dominant_pygod,250,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0
amazon,dominant_pygod,500,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
amazon,gae,100,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
amazon,gae,250,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0
amazon,gae,500,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
amazon,hgb_attributes,100,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
amazon,hgb_attributes,250,6.710500000000001,6.5755,0.0007331403757491393,0.008890422277310833,57.6,0.9635,0.0,0.001,3.1195089090004746,3.5023801430836516
amazon,hgb_attributes,500,136.997,134.108,0.011652366030827766,0.18102321060082904,173.9,0.44400000000000006,0.0,0.004,21.946190532502186,9.100671525894237
amazon,hgb_graph_features,100,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
amazon,hgb_graph_features,250,6.1645,6.027,0.0007584952566595519,0.008131616116421273,57.55,0.966,0.0,0.0,2.028513686859859,1.7865236261148827
amazon,hgb_graph_features,500,128.1395,125.322,0.01148116280946687,0.16910550565246102,171.25,0.475,0.0,0.006,20.319944252985646,8.080325901018266
amazon,isolation_forest,100,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
amazon,isolation_forest,250,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0
amazon,isolation_forest,500,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
tolokers,dominant_degree_normalized,100,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
tolokers,dominant_degree_normalized,250,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0
tolokers,dominant_degree_normalized,500,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
tolokers,dominant_pygod,100,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
tolokers,dominant_pygod,250,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0
tolokers,dominant_pygod,500,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
tolokers,gae,100,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
tolokers,gae,250,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0
tolokers,gae,500,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
tolokers,hgb_attributes,100,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
tolokers,hgb_attributes,250,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0
tolokers,hgb_attributes,500,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
tolokers,hgb_graph_features,100,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
tolokers,hgb_graph_features,250,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0
tolokers,hgb_graph_features,500,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
tolokers,isolation_forest,100,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
tolokers,isolation_forest,250,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0
tolokers,isolation_forest,500,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
