dataset,model,label_fraction,removed,method,seed,fdp,power,discoveries,nonempty,n_calib,pool_size
amazon,hgb_attributes,0.25,0.0,exposure,0,0.11440989780053575,0.7902702702702704,165.8,1.0,1347.2,1347.2
amazon,hgb_attributes,0.25,0.0,exposure,1,0.11263648589764708,0.7879781420765026,162.8,1.0,1318.2,1318.2
amazon,hgb_attributes,0.25,0.0,exposure,2,0.09822586391914123,0.7584699453551913,154.0,1.0,1333.6,1333.6
amazon,hgb_attributes,0.25,0.0,exposure,3,0.06359798164716284,0.7892473118279569,158.0,1.0,1347.6,1347.6
amazon,hgb_attributes,0.25,0.0,exposure,4,0.07456247222915766,0.7532608695652174,150.0,1.0,1352.6,1352.6
amazon,hgb_attributes,0.25,0.0,exposure,5,0.08185470548168398,0.7795698924731183,158.0,1.0,1318.6,1318.6
amazon,hgb_attributes,0.25,0.0,exposure,6,0.08907810873668434,0.7648936170212767,158.0,1.0,1299.6,1299.6
amazon,hgb_attributes,0.25,0.0,exposure,7,0.11193527323168832,0.7967914438502673,168.2,1.0,1303.8,1303.8
amazon,hgb_attributes,0.25,0.0,exposure,8,0.0940276875289358,0.7772972972972974,158.8,1.0,1325.0,1325.0
amazon,hgb_attributes,0.25,0.0,exposure,9,0.06860920300749256,0.789247311827957,158.0,1.0,1322.0,1322.0
amazon,hgb_attributes,0.25,0.0,random,0,0.11440989780053575,0.7902702702702704,165.8,1.0,1347.2,1347.2
amazon,hgb_attributes,0.25,0.0,random,1,0.11263648589764708,0.7879781420765026,162.8,1.0,1318.2,1318.2
amazon,hgb_attributes,0.25,0.0,random,2,0.09822586391914123,0.7584699453551913,154.0,1.0,1333.6,1333.6
amazon,hgb_attributes,0.25,0.0,random,3,0.06359798164716284,0.7892473118279569,158.0,1.0,1347.6,1347.6
amazon,hgb_attributes,0.25,0.0,random,4,0.07456247222915766,0.7532608695652174,150.0,1.0,1352.6,1352.6
amazon,hgb_attributes,0.25,0.0,random,5,0.08185470548168398,0.7795698924731183,158.0,1.0,1318.6,1318.6
amazon,hgb_attributes,0.25,0.0,random,6,0.08907810873668434,0.7648936170212767,158.0,1.0,1299.6,1299.6
amazon,hgb_attributes,0.25,0.0,random,7,0.11193527323168832,0.7967914438502673,168.2,1.0,1303.8,1303.8
amazon,hgb_attributes,0.25,0.0,random,8,0.0940276875289358,0.7772972972972974,158.8,1.0,1325.0,1325.0
amazon,hgb_attributes,0.25,0.0,random,9,0.06860920300749256,0.789247311827957,158.0,1.0,1322.0,1322.0
amazon,hgb_attributes,0.25,0.05,exposure,0,0.11829782862285572,0.7891891891891893,166.4,1.0,1280.6,1347.2
amazon,hgb_attributes,0.25,0.05,exposure,1,0.11642606134035569,0.7901639344262295,164.2,1.0,1253.0,1318.2
amazon,hgb_attributes,0.25,0.05,exposure,2,0.10615650963815071,0.7617486338797814,156.0,1.0,1267.4,1333.6
amazon,hgb_attributes,0.25,0.05,exposure,3,0.06723643009270923,0.8053763440860214,161.6,1.0,1280.6,1347.6
amazon,hgb_attributes,0.25,0.05,exposure,4,0.07444132788100744,0.7543478260869566,150.2,1.0,1285.4,1352.6
amazon,hgb_attributes,0.25,0.05,exposure,5,0.08740737117798437,0.7827956989247312,159.6,1.0,1253.2,1318.6
amazon,hgb_attributes,0.25,0.05,exposure,6,0.0814254229383032,0.7606382978723405,155.8,1.0,1234.8,1299.6
amazon,hgb_attributes,0.25,0.05,exposure,7,0.1238136592590191,0.8032085561497325,171.6,1.0,1239.2,1303.8
amazon,hgb_attributes,0.25,0.05,exposure,8,0.0968332716779218,0.7783783783783784,159.6,1.0,1259.2,1325.0
amazon,hgb_attributes,0.25,0.05,exposure,9,0.08253005940363756,0.7978494623655914,162.2,1.0,1256.2,1322.0
amazon,hgb_attributes,0.25,0.05,random,0,0.10909385460923333,0.782572972972973,163.12,1.0,1280.6,1347.2
amazon,hgb_attributes,0.25,0.05,random,1,0.11458983144804553,0.7899453551912567,163.68800000000002,1.0,1253.0,1318.2
amazon,hgb_attributes,0.25,0.05,random,2,0.09903528598722314,0.7588852459016395,154.24,1.0,1267.4,1333.6
amazon,hgb_attributes,0.25,0.05,random,3,0.06093701865202755,0.7827526881720429,156.272,1.0,1280.6,1347.6
amazon,hgb_attributes,0.25,0.05,random,4,0.07552436186733796,0.7539782608695653,150.32,1.0,1285.4,1352.6
amazon,hgb_attributes,0.25,0.05,random,5,0.0775183359330911,0.772,155.76799999999997,1.0,1253.2,1318.6
amazon,hgb_attributes,0.25,0.05,random,6,0.08545786291058692,0.7627021276595745,156.93200000000002,1.0,1234.8,1299.6
amazon,hgb_attributes,0.25,0.05,random,7,0.11273927371424246,0.7942887700534759,167.924,1.0,1239.2,1303.8
amazon,hgb_attributes,0.25,0.05,random,8,0.09304926222881901,0.7784,158.868,1.0,1259.2,1325.0
amazon,hgb_attributes,0.25,0.05,random,9,0.0713977128818817,0.790494623655914,158.73200000000003,1.0,1256.2,1322.0
amazon,hgb_attributes,0.25,0.1,exposure,0,0.12959225159225157,0.7924324324324324,169.2,1.0,1213.0,1347.2
amazon,hgb_attributes,0.25,0.1,exposure,1,0.13587787913914443,0.8032786885245902,170.6,1.0,1187.0,1318.2
amazon,hgb_attributes,0.25,0.1,exposure,2,0.1135890340709865,0.7650273224043715,158.0,1.0,1200.8,1333.6
amazon,hgb_attributes,0.25,0.1,exposure,3,0.07787631623481614,0.8225806451612903,166.8,1.0,1213.2,1347.6
amazon,hgb_attributes,0.25,0.1,exposure,4,0.0787477283834156,0.7565217391304349,151.4,1.0,1218.0,1352.6
amazon,hgb_attributes,0.25,0.1,exposure,5,0.10766343118627805,0.8086021505376344,168.8,1.0,1187.2,1318.6
amazon,hgb_attributes,0.25,0.1,exposure,6,0.09450649956550042,0.7691489361702127,159.8,1.0,1170.0,1299.6
amazon,hgb_attributes,0.25,0.1,exposure,7,0.13063264674926084,0.8096256684491978,174.6,1.0,1173.8,1303.8
amazon,hgb_attributes,0.25,0.1,exposure,8,0.10026845204641752,0.7783783783783784,160.2,1.0,1193.0,1325.0
