dataset,model,label_fraction,removed,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,nonempty_mean,nonempty_std,n_calib_mean,n_calib_std,pool_size_mean,pool_size_std
amazon,hgb_attributes,0.25,0.0,exposure,0.09089376794801296,0.018635254664864095,0.7787026101565055,0.014979585691946682,159.16,5.3239918190103275,1.0,0.0,1326.82,18.2482754131879,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.0,random,0.09089376794801296,0.018635254664864095,0.7787026101565055,0.014979585691946682,159.16,5.3239918190103275,1.0,0.0,1326.82,18.2482754131879,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.05,exposure,0.09545679420319449,0.01985705934508743,0.7823696321358952,0.018285579962272015,160.72,6.012727242182945,1.0,0.0,1260.96,17.376305706334694,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.05,random,0.08993428002324887,0.018719775291903096,0.7766020044476443,0.014144846117016826,158.5864,5.133036251143714,1.0,0.0,1260.96,17.376305706334694,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.1,exposure,0.10528346886082143,0.021833514845494253,0.7905595961188543,0.02207580790829004,164.24,7.000825348168277,1.0,0.0,1194.6200000000001,16.474748354173222,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.1,random,0.08915849162574378,0.018870993036675998,0.7745172299482336,0.013352413810665065,158.06040000000002,5.174140297887391,1.0,0.0,1194.6200000000001,16.474748354173222,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.2,exposure,0.11095836267557994,0.02023637588066891,0.7934775099166759,0.02207998024840111,165.9,7.171703656268387,1.0,0.0,1061.84,14.629893293451513,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.2,random,0.08829234187738084,0.019011688349167895,0.7726320108457062,0.013009821345803325,157.5788,5.302112970840546,1.0,0.0,1061.84,14.629893293451513,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.4,exposure,0.12951632303324562,0.024271145385430553,0.8064406720006861,0.02587385278741127,172.3,9.162362625921817,1.0,0.0,796.44,10.968561133226808,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.4,random,0.08580259045853751,0.017044029294136037,0.7664113731958241,0.012508180086534277,156.0208,5.043153440281407,1.0,0.0,796.44,10.968561133226808,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.6,exposure,0.12038316715314215,0.0260836823976348,0.7941861202389173,0.026983453414194624,168.32,9.425827402526645,1.0,0.0,531.1600000000001,7.373707042970687,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.6,random,0.08269959644760369,0.014678385886637741,0.745570052007678,0.03161543923523991,151.6936,7.643237057105516,0.9907999999999999,0.022314917780613824,531.1600000000001,7.373707042970687,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.8,exposure,0.10034215748580351,0.028910503997705766,0.7375226661362783,0.0671405567246775,154.3384,16.602229804724683,0.96,0.08432740427115674,265.76,3.7139975468190447,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.8,random,0.07371333268517977,0.013873363526157013,0.6438647651044538,0.05523305467776689,131.52280000000002,11.651120773937958,0.8752000000000001,0.07952749349892922,265.76,3.7139975468190447,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.9,exposure,0.08843365793717241,0.04157189740955846,0.48494273739658345,0.08749121262054464,107.7136,26.027651975884762,0.5988,0.09335333119093524,133.1,1.79691092959247,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.9,random,0.06313754635344508,0.010166135079257007,0.4096246205745772,0.04082952614190709,87.1928,8.845875935523097,0.5132,0.054391175754896146,133.1,1.79691092959247,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.97,exposure,0.002111765215318372,0.003269352962338088,0.003061677076335987,0.004705160646763702,1.6863999999999997,2.6482867921230384,0.0032,0.004917090377222873,40.339999999999996,0.5337498373666164,1326.82,18.2482754131879
amazon,hgb_attributes,0.25,0.97,random,0.0005010507767215395,0.001056399215564828,0.0007564029460679497,0.0015946374502061771,0.37160000000000004,0.7836517367073491,0.0008,0.0016865480854231355,40.339999999999996,0.5337498373666164,1326.82,18.2482754131879
amazon,hgb_attributes,0.5,0.0,exposure,0.08855822731673393,0.01606062888083784,0.7793593359312982,0.018383790918843814,158.76,4.836711463151151,1.0,0.0,2643.98,15.041114024935366,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.0,random,0.08855822731673393,0.01606062888083784,0.7793593359312982,0.018383790918843814,158.76,4.836711463151151,1.0,0.0,2643.98,15.041114024935366,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.05,exposure,0.09621098581528292,0.014040359333146358,0.7851770384343725,0.02196573476286906,161.26,5.862915467391443,1.0,0.0,2512.2200000000003,14.30973250778806,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.05,random,0.08894910276338429,0.015427467053610283,0.7788256534853798,0.01847904244906048,158.718,4.84235617580258,1.0,0.0,2512.2200000000003,14.30973250778806,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.1,exposure,0.10677756701495027,0.012993190964700444,0.7929720816447834,0.023564028655234232,164.7736,6.650690243208677,1.0,0.0,2380.02,13.571358729978966,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.1,random,0.0884677506195658,0.014870700452917184,0.7785897128618378,0.018894583242832223,158.5808,4.867812394814652,1.0,0.0,2380.02,13.571358729978966,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.2,exposure,0.11917327165977169,0.012460775905991395,0.7991871600688584,0.023789246968480893,168.42000000000002,7.113961234392864,1.0,0.0,2115.54,12.080489320479556,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.2,random,0.08818703374608941,0.015210993593630701,0.7775766405221518,0.018248548253031308,158.3476,4.79116017497038,1.0,0.0,2115.54,12.080489320479556,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.4,exposure,0.13112264489917164,0.01753755926391539,0.806093131575303,0.023666421687143006,172.28,7.731723970470985,1.0,0.0,1586.8,9.03769882215598,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.4,random,0.08692141801712788,0.01431062413812728,0.7756262351212035,0.017954547392546087,157.7696,4.6700944363518415,1.0,0.0,1586.8,9.03769882215598,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.6,exposure,0.14462779953926494,0.022362556456777066,0.8124208099413923,0.026537840230533124,176.64000000000001,10.199259232360404,1.0,0.0,1057.9,6.042994107044693,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.6,random,0.08456360071071808,0.01297690532457151,0.7693910835116125,0.01649882517803844,156.22840000000002,4.371508745400278,0.998,0.0063245553203367276,1057.9,6.042994107044693,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.8,exposure,0.13649822617080262,0.017444670504228106,0.8051292090365567,0.024829705377510936,174.1008,7.9936812379111855,1.0,0.0,529.1600000000001,3.000444411527536,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.8,random,0.08055819327671822,0.012154953727344264,0.743651362103267,0.02668417507860482,150.8896,6.234010287661279,0.9872,0.023232161615599486,529.1600000000001,3.000444411527536,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.9,exposure,0.14921951128686073,0.0539663513334808,0.7704284886737585,0.06596731272283489,173.752,24.187357285252236,0.9628,0.07870168712013456,264.9,1.5092308563562544,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.9,random,0.07445616715094239,0.00950494352979605,0.6503232993651143,0.05147492160195878,132.8732,10.111122157747323,0.8808,0.07411222721131935,264.9,1.5092308563562544,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.97,exposure,0.059573184893803345,0.04608721909801846,0.13617071572989323,0.09697420335589539,42.2896,32.35031445218972,0.1512,0.10626256788414881,79.8,0.44221663871405387,2643.98,15.041114024935366
amazon,hgb_attributes,0.5,0.97,random,0.011475905997834952,0.0034858060302651963,0.02834861672736373,0.009040823880111258,8.314,2.5994421623793738,0.0316,0.009879271228182777,79.8,0.44221663871405387,2643.98,15.041114024935366
amazon,hgb_attributes,1.0,0.0,exposure,0.0917413826655223,0.015605253360957754,0.7831292769794211,0.022328238674953187,160.0,5.933707853348432,1.0,0.0,5275.5,5.169354139757052,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.0,random,0.0917413826655223,0.015605253360957754,0.7831292769794211,0.022328238674953187,160.0,5.933707853348432,1.0,0.0,5275.5,5.169354139757052,5275.5,5.169354139757052
