dataset,model,label_fraction,design,method,fdp,power,discoveries,nonempty,n_reference,cal_low,cal_high
amazon,hgb_attributes,0.25,exposure_80,filtered_low,0.11024359798057452,0.7933682016568017,165.76,1.0,1326.82,1121.74,205.08
amazon,hgb_attributes,0.25,exposure_80,full_random,0.09089376794801292,0.7787026101565055,159.16,1.0,1326.82,1121.74,205.08
amazon,hgb_attributes,0.25,exposure_80,stratified,0.036130329636668165,0.5303161785085008,102.36,0.9400000000000001,1326.82,1121.74,205.08
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,0.09304390875861732,0.6790732348906072,144.12,0.9,1326.82,207.32,1119.5
amazon,hgb_attributes,0.25,zero_exposure,full_random,0.09089376794801292,0.7787026101565055,159.16,1.0,1326.82,207.32,1119.5
amazon,hgb_attributes,0.25,zero_exposure,stratified,0.03949910368501216,0.5673843644188636,109.85999999999999,0.9800000000000001,1326.82,207.32,1119.5
amazon,hgb_attributes,0.5,exposure_80,filtered_low,0.1135527290027329,0.7972491575531488,166.95999999999998,1.0,2643.98,2241.94,402.04
amazon,hgb_attributes,0.5,exposure_80,full_random,0.08855822731673388,0.7793593359312982,158.76,1.0,2643.98,2241.94,402.04
amazon,hgb_attributes,0.5,exposure_80,stratified,0.03943942039669819,0.5813904460128032,112.04,1.0,2643.98,2241.94,402.04
amazon,hgb_attributes,0.5,zero_exposure,filtered_low,0.13978502306387972,0.7698063263069274,172.04000000000002,0.9800000000000001,2643.98,238.95999999999998,2405.02
amazon,hgb_attributes,0.5,zero_exposure,full_random,0.08855822731673388,0.7793593359312982,158.76,1.0,2643.98,238.95999999999998,2405.02
amazon,hgb_attributes,0.5,zero_exposure,stratified,0.04212027411950959,0.6509636369899918,126.17999999999999,1.0,2643.98,238.95999999999998,2405.02
amazon,hgb_attributes,1.0,exposure_80,filtered_low,0.11839201725652124,0.8002909680747535,168.4,1.0,5275.5,4502.58,772.92
amazon,hgb_attributes,1.0,exposure_80,full_random,0.09174138266552226,0.7831292769794211,160.0,1.0,5275.5,4502.58,772.92
amazon,hgb_attributes,1.0,exposure_80,stratified,0.037643239029220496,0.6365531769923061,122.67999999999999,1.0,5275.5,4502.58,772.92
amazon,hgb_attributes,1.0,zero_exposure,filtered_low,0.19809103693921856,0.8069378842918201,195.0,0.9800000000000001,5275.5,215.44,5060.06
amazon,hgb_attributes,1.0,zero_exposure,full_random,0.09174138266552226,0.7831292769794211,160.0,1.0,5275.5,215.44,5060.06
amazon,hgb_attributes,1.0,zero_exposure,stratified,0.04386766152657519,0.694413461080781,134.78,1.0,5275.5,215.44,5060.06
amazon,hgb_graph_features,0.25,exposure_80,filtered_low,0.12736367432058635,0.8134243039055477,173.12,1.0,1326.82,1121.74,205.08
amazon,hgb_graph_features,0.25,exposure_80,full_random,0.08910270402545901,0.7775863278806721,158.7,1.0,1326.82,1121.74,205.08
amazon,hgb_graph_features,0.25,exposure_80,stratified,0.03756253729539761,0.5085444174975572,98.28,0.9,1326.82,1121.74,205.08
amazon,hgb_graph_features,0.25,zero_exposure,filtered_low,0.08504102315932899,0.6745924430818043,140.62,0.9,1326.82,207.32,1119.5
amazon,hgb_graph_features,0.25,zero_exposure,full_random,0.08910270402545901,0.7775863278806721,158.7,1.0,1326.82,207.32,1119.5
amazon,hgb_graph_features,0.25,zero_exposure,stratified,0.04688459304043519,0.5722261087476369,111.46,0.96,1326.82,207.32,1119.5
amazon,hgb_graph_features,0.5,exposure_80,filtered_low,0.1317990260868231,0.8137272453728643,174.06,1.0,2643.98,2241.94,402.04
amazon,hgb_graph_features,0.5,exposure_80,full_random,0.09068444061702308,0.7905305694087756,161.38,1.0,2643.98,2241.94,402.04
amazon,hgb_graph_features,0.5,exposure_80,stratified,0.04037171487309334,0.5793934577419005,111.74000000000001,1.0,2643.98,2241.94,402.04
amazon,hgb_graph_features,0.5,zero_exposure,filtered_low,0.11760768987631845,0.7564526163232145,162.8,0.9800000000000001,2643.98,238.95999999999998,2405.02
amazon,hgb_graph_features,0.5,zero_exposure,full_random,0.09068444061702308,0.7905305694087756,161.38,1.0,2643.98,238.95999999999998,2405.02
amazon,hgb_graph_features,0.5,zero_exposure,stratified,0.0446875741918918,0.6646943685337446,129.14000000000001,1.0,2643.98,238.95999999999998,2405.02
amazon,hgb_graph_features,1.0,exposure_80,filtered_low,0.13892238763544462,0.8178479710411095,176.26,1.0,5275.5,4502.58,772.92
amazon,hgb_graph_features,1.0,exposure_80,full_random,0.09148362113048976,0.7927919017577001,161.94,1.0,5275.5,4502.58,772.92
amazon,hgb_graph_features,1.0,exposure_80,stratified,0.03397198360446491,0.6393834004419382,122.75999999999999,1.0,5275.5,4502.58,772.92
amazon,hgb_graph_features,1.0,zero_exposure,filtered_low,0.1553453649403574,0.791231138163735,178.48,0.9800000000000001,5275.5,215.44,5060.06
amazon,hgb_graph_features,1.0,zero_exposure,full_random,0.09148362113048976,0.7927919017577001,161.94,1.0,5275.5,215.44,5060.06
amazon,hgb_graph_features,1.0,zero_exposure,stratified,0.04636437413067168,0.6970225107458102,135.62,1.0,5275.5,215.44,5060.06
tfinance,hgb_attributes,0.25,exposure_80,filtered_low,0.1190924877081803,0.6646283844456049,306.74,1.0,6343.219999999999,5292.9800000000005,1050.24
tfinance,hgb_attributes,0.25,exposure_80,full_random,0.09299338257119834,0.6504172131434698,291.15999999999997,1.0,6343.219999999999,5292.9800000000005,1050.24
tfinance,hgb_attributes,0.25,exposure_80,stratified,0.03664690489063555,0.6233307934773494,262.5,1.0,6343.219999999999,5292.9800000000005,1050.24
tfinance,hgb_attributes,0.25,zero_exposure,filtered_low,0.06715856134200704,0.6265190409930973,272.84000000000003,1.0,6343.219999999999,2903.46,3439.7599999999998
tfinance,hgb_attributes,0.25,zero_exposure,full_random,0.09299338257119834,0.6504172131434698,291.15999999999997,1.0,6343.219999999999,2903.46,3439.7599999999998
tfinance,hgb_attributes,0.25,zero_exposure,stratified,0.0455073890914299,0.6330184253868553,269.1,1.0,6343.219999999999,2903.46,3439.7599999999998
tfinance,hgb_attributes,0.5,exposure_80,filtered_low,0.12652431394353442,0.6686255709661739,310.9,1.0,12677.74,10574.619999999999,2103.12
tfinance,hgb_attributes,0.5,exposure_80,full_random,0.09327769117446817,0.650620853500384,291.24,1.0,12677.74,10574.619999999999,2103.12
tfinance,hgb_attributes,0.5,exposure_80,stratified,0.03687508272430684,0.6276859411994534,264.32,1.0,12677.74,10574.619999999999,2103.12
tfinance,hgb_attributes,0.5,zero_exposure,filtered_low,0.0670618611623823,0.626277088934281,272.58000000000004,1.0,12677.74,4896.12,7781.62
tfinance,hgb_attributes,0.5,zero_exposure,full_random,0.09327769117446817,0.650620853500384,291.24,1.0,12677.74,4896.12,7781.62
tfinance,hgb_attributes,0.5,zero_exposure,stratified,0.04524165112349892,0.6330096073901925,268.91999999999996,1.0,12677.74,4896.12,7781.62
tfinance,hgb_attributes,1.0,exposure_80,filtered_low,0.1376577015476502,0.6754852826342365,317.9,1.0,25349.6,21152.280000000002,4197.320000000001
tfinance,hgb_attributes,1.0,exposure_80,full_random,0.09460681308179197,0.6521402797346368,292.26,1.0,25349.6,21152.280000000002,4197.320000000001
tfinance,hgb_attributes,1.0,exposure_80,stratified,0.03687154705785617,0.6287426521543215,264.74,1.0,25349.6,21152.280000000002,4197.320000000001
tfinance,hgb_attributes,1.0,zero_exposure,filtered_low,0.07127470498630598,0.6326889050007198,276.41999999999996,1.0,25349.6,7769.160000000001,17580.44
tfinance,hgb_attributes,1.0,zero_exposure,full_random,0.09460681308179197,0.6521402797346368,292.26,1.0,25349.6,7769.160000000001,17580.44
tfinance,hgb_attributes,1.0,zero_exposure,stratified,0.04512684405743516,0.6288544502937894,267.1,1.0,25349.6,7769.160000000001,17580.44
tfinance,hgb_graph_features,0.25,exposure_80,filtered_low,0.18182861731081368,0.8273964409242783,411.36,1.0,6343.219999999999,5292.9800000000005,1050.24
tfinance,hgb_graph_features,0.25,exposure_80,full_random,0.09220753813158017,0.7869877097392484,351.82,1.0,6343.219999999999,5292.9800000000005,1050.24
tfinance,hgb_graph_features,0.25,exposure_80,stratified,0.038310486510788,0.7307809501940055,308.24,1.0,6343.219999999999,5292.9800000000005,1050.24
tfinance,hgb_graph_features,0.25,zero_exposure,filtered_low,0.1226532368902457,0.8026501927594267,372.3,1.0,6343.219999999999,2903.46,3439.7599999999998
tfinance,hgb_graph_features,0.25,zero_exposure,full_random,0.09220753813158017,0.7869877097392484,351.82,1.0,6343.219999999999,2903.46,3439.7599999999998
tfinance,hgb_graph_features,0.25,zero_exposure,stratified,0.04341100487727957,0.7435141492196362,315.28000000000003,1.0,6343.219999999999,2903.46,3439.7599999999998
tfinance,hgb_graph_features,0.5,exposure_80,filtered_low,0.19162695720052902,0.8302149512168002,417.28000000000003,1.0,12677.74,10574.619999999999,2103.12
tfinance,hgb_graph_features,0.5,exposure_80,full_random,0.09503375506337558,0.7889561155915674,353.71999999999997,1.0,12677.74,10574.619999999999,2103.12
tfinance,hgb_graph_features,0.5,exposure_80,stratified,0.037876456317670434,0.7369500045310742,310.62,1.0,12677.74,10574.619999999999,2103.12
tfinance,hgb_graph_features,0.5,zero_exposure,filtered_low,0.12176241571067073,0.8025075313342155,371.64,1.0,12677.74,4896.12,7781.62
tfinance,hgb_graph_features,0.5,zero_exposure,full_random,0.09503375506337558,0.7889561155915674,353.71999999999997,1.0,12677.74,4896.12,7781.62
tfinance,hgb_graph_features,0.5,zero_exposure,stratified,0.04413903362962235,0.7508721846250295,318.54,1.0,12677.74,4896.12,7781.62
tfinance,hgb_graph_features,1.0,exposure_80,filtered_low,0.20203140201715186,0.8336646009594361,424.43999999999994,1.0,25349.6,21152.280000000002,4197.320000000001
tfinance,hgb_graph_features,1.0,exposure_80,full_random,0.09857464821037719,0.7915712403396788,356.24,1.0,25349.6,21152.280000000002,4197.320000000001
tfinance,hgb_graph_features,1.0,exposure_80,stratified,0.03835580771802414,0.7381818113180996,311.28,1.0,25349.6,21152.280000000002,4197.320000000001
tfinance,hgb_graph_features,1.0,zero_exposure,filtered_low,0.1209521012409422,0.8037863825293867,371.52,1.0,25349.6,7769.160000000001,17580.44
tfinance,hgb_graph_features,1.0,zero_exposure,full_random,0.09857464821037719,0.7915712403396788,356.24,1.0,25349.6,7769.160000000001,17580.44
tfinance,hgb_graph_features,1.0,zero_exposure,stratified,0.045784640576022204,0.7532928270288253,320.14,1.0,25349.6,7769.160000000001,17580.44
tolokers,hgb_attributes,0.25,exposure_80,filtered_low,0.0,0.0,0.0,0.0,1549.6799999999998,1276.56,273.12
tolokers,hgb_attributes,0.25,exposure_80,full_random,0.00941176470588235,0.00031088082901554,0.33999999999999997,0.02,1549.6799999999998,1276.56,273.12
tolokers,hgb_attributes,0.25,exposure_80,stratified,0.0,0.0,0.0,0.0,1549.6799999999998,1276.56,273.12
tolokers,hgb_attributes,0.25,zero_exposure,filtered_low,0.027872807017543848,0.00186528497409325,3.44,0.04,1549.6799999999998,442.76000000000005,1106.92
tolokers,hgb_attributes,0.25,zero_exposure,full_random,0.00941176470588235,0.00031088082901554,0.33999999999999997,0.02,1549.6799999999998,442.76000000000005,1106.92
tolokers,hgb_attributes,0.25,zero_exposure,stratified,0.0,0.0,0.0,0.0,1549.6799999999998,442.76000000000005,1106.92
tolokers,hgb_attributes,0.5,exposure_80,filtered_low,0.0,0.0,0.0,0.0,3108.7200000000003,2570.56,538.1600000000001
tolokers,hgb_attributes,0.5,exposure_80,full_random,0.0,0.0,0.0,0.0,3108.7200000000003,2570.56,538.1600000000001
tolokers,hgb_attributes,0.5,exposure_80,stratified,0.0,0.0,0.0,0.0,3108.7200000000003,2570.56,538.1600000000001
