dataset,model,label_fraction,design,method,seed,fdp,power,discoveries,true_discoveries,nonempty,reference_labels,training_labels,n_reference,cal_low,cal_high,test_low,test_high
amazon,hgb_attributes,0.25,exposure_80,filtered_low,0,0.1289166389166389,0.7935135135135135,169.4,146.8,1.0,1491.6,864.0,1347.2,1138.0,209.2,1551.6,392.4
amazon,hgb_attributes,0.25,exposure_80,filtered_low,1,0.13538629976446753,0.8021857923497269,170.4,146.8,1.0,1448.6,864.0,1318.2,1110.8,207.4,1562.0,382.0
amazon,hgb_attributes,0.25,exposure_80,filtered_low,2,0.11729793239082667,0.7672131147540984,159.2,140.4,1.0,1472.6,864.0,1333.6,1126.2,207.4,1560.4,383.6
amazon,hgb_attributes,0.25,exposure_80,filtered_low,3,0.09187253495594054,0.8301075268817204,171.2,154.4,1.0,1500.0,864.0,1347.6,1138.4,209.2,1553.6,390.4
amazon,hgb_attributes,0.25,exposure_80,filtered_low,4,0.08773620559334845,0.7684782608695653,155.2,141.4,1.0,1487.2,864.0,1352.6,1134.2,218.4,1580.4,363.6
amazon,hgb_attributes,0.25,exposure_80,filtered_low,5,0.11244285320269902,0.8086021505376344,169.6,150.4,1.0,1468.2,864.0,1318.6,1115.6,203.0,1552.0,392.0
amazon,hgb_attributes,0.25,exposure_80,filtered_low,6,0.09662276480173018,0.7691489361702127,160.2,144.6,1.0,1433.6,864.0,1299.6,1105.8,193.8,1555.4,388.6
amazon,hgb_attributes,0.25,exposure_80,filtered_low,7,0.1410508358645321,0.8149732620320856,177.8,152.4,1.0,1443.0,864.0,1303.8,1105.8,198.0,1554.2,388.8
amazon,hgb_attributes,0.25,exposure_80,filtered_low,8,0.10492564897811787,0.7794594594594595,161.2,144.2,1.0,1461.8,864.0,1325.0,1125.4,199.6,1549.8,393.2
amazon,hgb_attributes,0.25,exposure_80,filtered_low,9,0.08618426533744442,0.8,163.4,148.8,1.0,1462.0,864.0,1322.0,1117.2,204.8,1560.6,382.4
amazon,hgb_attributes,0.25,exposure_80,full_random,0,0.11440989780053576,0.7902702702702703,165.8,146.2,1.0,1491.6,864.0,1347.2,1138.0,209.2,1551.6,392.4
amazon,hgb_attributes,0.25,exposure_80,full_random,1,0.11263648589764708,0.7879781420765027,162.8,144.2,1.0,1448.6,864.0,1318.2,1110.8,207.4,1562.0,382.0
amazon,hgb_attributes,0.25,exposure_80,full_random,2,0.09822586391914123,0.7584699453551913,154.0,138.8,1.0,1472.6,864.0,1333.6,1126.2,207.4,1560.4,383.6
amazon,hgb_attributes,0.25,exposure_80,full_random,3,0.06359798164716284,0.789247311827957,158.0,146.8,1.0,1500.0,864.0,1347.6,1138.4,209.2,1553.6,390.4
amazon,hgb_attributes,0.25,exposure_80,full_random,4,0.07456247222915766,0.7532608695652174,150.0,138.6,1.0,1487.2,864.0,1352.6,1134.2,218.4,1580.4,363.6
amazon,hgb_attributes,0.25,exposure_80,full_random,5,0.08185470548168397,0.7795698924731183,158.0,145.0,1.0,1468.2,864.0,1318.6,1115.6,203.0,1552.0,392.0
amazon,hgb_attributes,0.25,exposure_80,full_random,6,0.08907810873668436,0.7648936170212766,158.0,143.8,1.0,1433.6,864.0,1299.6,1105.8,193.8,1555.4,388.6
amazon,hgb_attributes,0.25,exposure_80,full_random,7,0.11193527323168831,0.7967914438502673,168.2,149.0,1.0,1443.0,864.0,1303.8,1105.8,198.0,1554.2,388.8
amazon,hgb_attributes,0.25,exposure_80,full_random,8,0.0940276875289358,0.7772972972972972,158.8,143.8,1.0,1461.8,864.0,1325.0,1125.4,199.6,1549.8,393.2
amazon,hgb_attributes,0.25,exposure_80,full_random,9,0.06860920300749254,0.789247311827957,158.0,146.8,1.0,1462.0,864.0,1322.0,1117.2,204.8,1560.6,382.4
amazon,hgb_attributes,0.25,exposure_80,stratified,0,0.03895192383474409,0.56,108.4,103.6,1.0,1491.6,864.0,1347.2,1138.0,209.2,1551.6,392.4
amazon,hgb_attributes,0.25,exposure_80,stratified,1,0.04187734843753542,0.6131147540983607,117.6,112.2,1.0,1448.6,864.0,1318.2,1110.8,207.4,1562.0,382.0
amazon,hgb_attributes,0.25,exposure_80,stratified,2,0.053053453638560025,0.644808743169399,124.8,118.0,1.0,1472.6,864.0,1333.6,1126.2,207.4,1560.4,383.6
amazon,hgb_attributes,0.25,exposure_80,stratified,3,0.022519509476031215,0.4247311827956989,82.4,79.0,0.8,1500.0,864.0,1347.6,1138.4,209.2,1553.6,390.4
amazon,hgb_attributes,0.25,exposure_80,stratified,4,0.041093114853035864,0.6521739130434783,125.0,120.0,1.0,1487.2,864.0,1352.6,1134.2,218.4,1580.4,363.6
amazon,hgb_attributes,0.25,exposure_80,stratified,5,0.04146728573692182,0.4870967741935484,93.8,90.6,1.0,1468.2,864.0,1318.6,1115.6,203.0,1552.0,392.0
amazon,hgb_attributes,0.25,exposure_80,stratified,6,0.034168914079394055,0.47659574468085103,93.6,89.6,0.8,1433.6,864.0,1299.6,1105.8,193.8,1555.4,388.6
amazon,hgb_attributes,0.25,exposure_80,stratified,7,0.03331856255659431,0.6427807486631016,124.6,120.2,1.0,1443.0,864.0,1303.8,1105.8,198.0,1554.2,388.8
amazon,hgb_attributes,0.25,exposure_80,stratified,8,0.033652762553443974,0.5459459459459459,104.6,101.0,1.0,1461.8,864.0,1325.0,1125.4,199.6,1549.8,393.2
amazon,hgb_attributes,0.25,exposure_80,stratified,9,0.0212004212004212,0.25591397849462366,48.8,47.6,0.8,1462.0,864.0,1322.0,1117.2,204.8,1560.6,382.4
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,0,0.09228135242366742,0.7632432432432432,158.4,141.2,1.0,1491.6,864.0,1347.2,208.2,1139.0,307.4,1636.6
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,1,0.12700869519318608,0.7573770491803279,164.2,138.6,1.0,1448.6,864.0,1318.2,199.4,1118.8,306.6,1637.4
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,2,0.05158540193499306,0.7071038251366121,136.6,129.4,1.0,1472.6,864.0,1333.6,209.6,1124.0,288.2,1655.8
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,3,0.09749979007562593,0.7333333333333334,156.2,136.4,1.0,1500.0,864.0,1347.6,206.0,1141.6,291.2,1652.8
amazon,hgb_attributes,0.25,zero_exposure,filtered_low,4,0.05317940746360922,0.7119565217391305,138.4,131.0,1.0,1487.2,864.0,1352.6,221.2,1131.4,313.2,1630.8
