dataset,model,label_fraction,design,method,seed,fdp,power,discoveries,true_discoveries,nonempty,reference_labels,training_labels,n_reference,cal_low,cal_high,test_low,test_high
tfinance,hgb_attributes,0.25,exposure_80,filtered_low,0,0.09272419059483927,0.650990099009901,290.6,263.0,1.0,6601.6,3936.0,6307.8,5265.6,1042.2,7083.0,1773.0
tfinance,hgb_attributes,0.25,exposure_80,filtered_low,1,0.11733863620046306,0.6643564356435644,305.0,268.4,1.0,6644.8,3936.0,6346.2,5291.8,1054.4,7066.2,1788.8
tfinance,hgb_attributes,0.25,exposure_80,filtered_low,2,0.12599703970889192,0.6671568627450981,311.8,272.2,1.0,6646.0,3936.0,6350.0,5295.8,1054.2,7104.0,1751.0
tfinance,hgb_attributes,0.25,exposure_80,filtered_low,3,0.10646490655709136,0.664179104477612,299.0,267.0,1.0,6669.0,3936.0,6367.2,5319.8,1047.4,7077.4,1777.6
tfinance,hgb_attributes,0.25,exposure_80,filtered_low,4,0.12766065538423582,0.6596059113300493,308.0,267.8,1.0,6626.0,3936.0,6327.8,5267.4,1060.4,7083.6,1771.4
tfinance,hgb_attributes,0.25,exposure_80,filtered_low,5,0.13124983309898414,0.6770370370370371,317.4,274.2,1.0,6634.6,3936.0,6334.8,5278.4,1056.4,7081.4,1773.6
tfinance,hgb_attributes,0.25,exposure_80,filtered_low,6,0.11575647598818309,0.654054054054054,301.4,266.2,1.0,6619.6,3936.0,6311.8,5272.0,1039.8,7101.2,1753.8
tfinance,hgb_attributes,0.25,exposure_80,filtered_low,7,0.12322683448828442,0.6699507389162561,310.6,272.0,1.0,6680.4,3936.0,6370.8,5329.2,1041.6,7076.6,1778.4
tfinance,hgb_attributes,0.25,exposure_80,filtered_low,8,0.1382328919858944,0.6732673267326732,317.0,272.0,1.0,6662.2,3936.0,6364.4,5305.0,1059.4,7073.8,1781.2
tfinance,hgb_attributes,0.25,exposure_80,filtered_low,9,0.11227341307493599,0.665686274509804,306.6,271.6,1.0,6662.8,3936.0,6351.4,5304.8,1046.6,7068.4,1787.6
tfinance,hgb_attributes,0.25,exposure_80,full_random,0,0.09060119537009907,0.6465346534653464,288.0,261.2,1.0,6601.6,3936.0,6307.8,5265.6,1042.2,7083.0,1773.0
tfinance,hgb_attributes,0.25,exposure_80,full_random,1,0.07450537154381984,0.651980198019802,284.8,263.4,1.0,6644.8,3936.0,6346.2,5291.8,1054.4,7066.2,1788.8
tfinance,hgb_attributes,0.25,exposure_80,full_random,2,0.10763505412261558,0.6563725490196078,300.4,267.8,1.0,6646.0,3936.0,6350.0,5295.8,1054.2,7104.0,1751.0
tfinance,hgb_attributes,0.25,exposure_80,full_random,3,0.0846415632069848,0.6502487562189054,285.6,261.4,1.0,6669.0,3936.0,6367.2,5319.8,1047.4,7077.4,1777.6
tfinance,hgb_attributes,0.25,exposure_80,full_random,4,0.09244878558374506,0.6330049261083743,283.8,257.0,1.0,6626.0,3936.0,6327.8,5267.4,1060.4,7083.6,1771.4
tfinance,hgb_attributes,0.25,exposure_80,full_random,5,0.12509591944848805,0.6745679012345679,313.0,273.2,1.0,6634.6,3936.0,6334.8,5278.4,1056.4,7081.4,1773.6
tfinance,hgb_attributes,0.25,exposure_80,full_random,6,0.07919825233442339,0.6412776412776413,283.6,261.0,1.0,6619.6,3936.0,6311.8,5272.0,1039.8,7101.2,1753.8
tfinance,hgb_attributes,0.25,exposure_80,full_random,7,0.10552302019552788,0.6556650246305418,297.6,266.2,1.0,6680.4,3936.0,6370.8,5329.2,1041.6,7076.6,1778.4
tfinance,hgb_attributes,0.25,exposure_80,full_random,8,0.08599006611334523,0.6410891089108911,283.6,259.0,1.0,6662.2,3936.0,6364.4,5305.0,1059.4,7073.8,1781.2
tfinance,hgb_attributes,0.25,exposure_80,full_random,9,0.08429459779293509,0.6534313725490196,291.2,266.6,1.0,6662.8,3936.0,6351.4,5304.8,1046.6,7068.4,1787.6
tfinance,hgb_attributes,0.25,exposure_80,stratified,0,0.046379651475139824,0.6361386138613861,269.8,257.0,1.0,6601.6,3936.0,6307.8,5265.6,1042.2,7083.0,1773.0
tfinance,hgb_attributes,0.25,exposure_80,stratified,1,0.037626076806058624,0.6232673267326733,262.0,251.8,1.0,6644.8,3936.0,6346.2,5291.8,1054.4,7066.2,1788.8
tfinance,hgb_attributes,0.25,exposure_80,stratified,2,0.05358653858162745,0.6426470588235295,277.2,262.2,1.0,6646.0,3936.0,6350.0,5295.8,1054.2,7104.0,1751.0
