dataset,model,method,fdp,power,discoveries,n_calib,fdp_seed_sd,power_seed_sd,discoveries_seed_sd,n_calib_seed_sd
amazon,hgb_attributes,filtered,0.19229675054237705,0.8090609100902739,193.94,143.22,0.08725843419695437,0.06006071039691518,33.3232051279585,5.074949370300263
amazon,hgb_attributes,full_reference,0.09174138266552226,0.7831292769794211,160.0,5275.5,0.015605253360957758,0.022328238674953187,5.933707853348432,5.169354139757052
amazon,hgb_attributes,matched_random,0.06693993729136917,0.4949589644871729,103.49270000000001,143.22,0.008866531692837503,0.03363025605512557,7.355189718075864,5.074949370300263
amazon,hgb_graph_features,filtered,0.15432788061348504,0.8014703214074315,180.02,143.22,0.09424167230510458,0.08106315901783082,36.18218714597925,5.074949370300263
amazon,hgb_graph_features,full_reference,0.09148362113048976,0.7927919017577001,161.94,5275.5,0.019394692609000647,0.022202317312921136,5.977030106071813,5.169354139757052
amazon,hgb_graph_features,matched_random,0.06577507535822685,0.5002977012904116,104.2911,143.22,0.007815296445198081,0.04861601172685938,9.602351083053682,5.074949370300263
tolokers,hgb_attributes,filtered,0.06502564520976362,0.0036365931366271836,6.0,559.86,0.09244360445653121,0.005782058219312936,9.48214696738619,6.588238678804026
tolokers,hgb_attributes,full_reference,0.0,0.0,0.0,6203.7,0.0,0.0,0.0,8.895067297228428
tolokers,hgb_attributes,matched_random,0.0004751890400075144,2.930416626754588e-05,0.0418,559.86,0.0004634534538308988,3.087862359602835e-05,0.041893515806944,6.588238678804026
tolokers,hgb_graph_features,filtered,0.0048000000000000004,0.001317157712305026,1.0,559.86,0.015178932768808221,0.004165218408540673,3.162277660168379,6.588238678804026
tolokers,hgb_graph_features,full_reference,0.02633333333333333,0.00079126765872979,0.66,6203.7,0.04270050741306634,0.0018260779012006726,1.3922004964164547,8.895067297228428
tolokers,hgb_graph_features,matched_random,0.004654296569725373,0.0008218915840785598,0.7479,559.86,0.0032820248691768704,0.00066039427888718,0.5780823566855428,6.588238678804026
