dataset,model,budget,method,discoveries,true_discoveries,fdp,power,abstain,reviewed_anomalies,certificate_failure,discoveries_seed_sd,true_discoveries_seed_sd,fdp_seed_sd,power_seed_sd,abstain_seed_sd,reviewed_anomalies_seed_sd,certificate_failure_seed_sd
amazon,hgb_attributes,100,score_degree_strata,0.0,0.0,0.0,0.0,1.0,71.55199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.4942120552511404,0.0
amazon,hgb_attributes,100,score_strata,0.0,0.0,0.0,0.0,1.0,71.453,0.0,0.0,0.0,0.0,0.0,0.0,0.46879396090156594,0.0
amazon,hgb_attributes,100,uniform_candidates,0.0,0.0,0.0,0.0,1.0,43.173,0.0,0.0,0.0,0.0,0.0,0.0,0.669557067520512,0.0
amazon,hgb_attributes,100,uniform_graph,0.0,0.0,0.0,0.0,1.0,9.5015,0.0,0.0,0.0,0.0,0.0,0.0,0.17432488825944106,0.0
amazon,hgb_attributes,250,score_degree_strata,0.0,0.0,0.0,0.0,1.0,173.231,0.0,0.0,0.0,0.0,0.0,0.0,1.343324648441735,0.0
amazon,hgb_attributes,250,score_strata,0.0,0.0,0.0,0.0,1.0,171.68699999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.1860888106152379,0.0
amazon,hgb_attributes,250,uniform_candidates,88.99199999999999,87.0055,0.005891266517484379,0.11753047617653804,0.736,108.18350000000001,0.0,26.788247340122037,26.54615837973966,0.0009578402578437364,0.03614622661604206,0.0799930552541212,1.4751592192784537,0.0
amazon,hgb_attributes,250,uniform_graph,0.0,0.0,0.0,0.0,1.0,23.659,0.0,0.0,0.0,0.0,0.0,0.0,0.3235463216020591,0.0
amazon,hgb_attributes,500,score_degree_strata,0.0,0.0,0.0,0.0,1.0,334.6585,0.0,0.0,0.0,0.0,0.0,0.0,2.418910510034536,0.0
amazon,hgb_attributes,500,score_strata,4.880000000000001,4.705,0.001434426229508195,0.006329990007354534,0.96,334.084,0.0,6.538360310930835,6.369044058743998,0.001408893233262702,0.008549600397031698,0.053593117302711775,2.3183217109701495,0.0
amazon,hgb_attributes,500,uniform_candidates,216.0185,211.51999999999998,0.016490024702311385,0.2856270326539049,0.19250000000000003,216.33049999999997,0.0,40.8029512174739,40.96355080366502,0.0015675398885927041,0.056163748344845506,0.1573080841321683,2.8334622029516394,0.0
amazon,hgb_attributes,500,uniform_graph,0.0,0.0,0.0,0.0,1.0,47.6055,0.0,0.0,0.0,0.0,0.0,0.0,0.7861384172721184,0.0
amazon,hgb_graph_features,100,score_degree_strata,0.0,0.0,0.0,0.0,1.0,71.61749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.4558828431369913,0.0
amazon,hgb_graph_features,100,score_strata,0.0,0.0,0.0,0.0,1.0,71.557,0.0,0.0,0.0,0.0,0.0,0.0,0.5446313738055649,0.0
amazon,hgb_graph_features,100,uniform_candidates,0.0,0.0,0.0,0.0,1.0,43.537,0.0,0.0,0.0,0.0,0.0,0.0,1.0038929779170238,0.0
amazon,hgb_graph_features,100,uniform_graph,0.0,0.0,0.0,0.0,1.0,9.614,0.0,0.0,0.0,0.0,0.0,0.0,0.25269436963344544,0.0
amazon,hgb_graph_features,250,score_degree_strata,0.0,0.0,0.0,0.0,1.0,173.5975,0.0,0.0,0.0,0.0,0.0,0.0,1.2917693507571553,0.0
amazon,hgb_graph_features,250,score_strata,0.0,0.0,0.0,0.0,1.0,172.1815,0.0,0.0,0.0,0.0,0.0,0.0,1.2238306209965852,0.0
amazon,hgb_graph_features,250,uniform_candidates,88.3775,86.2675,0.0062666823665190625,0.11634951589818594,0.7375,108.826,0.0,18.766750480866715,18.73945173661409,0.0005897229096831837,0.024860812758063462,0.05603818142818145,2.233523374998939,0.0
amazon,hgb_graph_features,250,uniform_graph,0.0,0.0,0.0,0.0,1.0,23.750999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.34645666716376194,0.0
amazon,hgb_graph_features,500,score_degree_strata,0.0,0.0,0.0,0.0,1.0,335.51300000000003,0.0,0.0,0.0,0.0,0.0,0.0,3.0911695018049206,0.0
amazon,hgb_graph_features,500,score_strata,10.553,10.2175,0.0027499999999999964,0.013830727935430557,0.9135,335.033,0.0,10.983952992130535,10.769414058650854,0.0018851914540327882,0.01466638654220095,0.0900324015748405,3.076846509731105,0.0
amazon,hgb_graph_features,500,uniform_candidates,207.373,202.775,0.016958257502862346,0.27359222166159436,0.23000000000000004,217.7605,0.0,37.798110784652835,38.066441987077745,0.001439445318761358,0.05094922140084941,0.1298289472943363,4.295174585767411,0.0
amazon,hgb_graph_features,500,uniform_graph,0.0,0.0,0.0,0.0,1.0,47.301,0.0,0.0,0.0,0.0,0.0,0.0,0.7609270661502348,0.0
tolokers,hgb_attributes,100,score_degree_strata,0.0,0.0,0.0,0.0,1.0,38.108999999999995,0.0,0.0,0.0,0.0,0.0,0.0,2.8679665657434423,0.0
tolokers,hgb_attributes,100,score_strata,0.0,0.0,0.0,0.0,1.0,37.957499999999996,0.0,0.0,0.0,0.0,0.0,0.0,2.8204149123449516,0.0
tolokers,hgb_attributes,100,uniform_candidates,0.0,0.0,0.0,0.0,1.0,37.28,0.0,0.0,0.0,0.0,0.0,0.0,1.5728389053625997,0.0
tolokers,hgb_attributes,100,uniform_graph,0.0,0.0,0.0,0.0,1.0,21.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.2831376775430021,0.0
tolokers,hgb_attributes,250,score_degree_strata,0.0,0.0,0.0,0.0,1.0,93.90299999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.472378577033674,0.0
tolokers,hgb_attributes,250,score_strata,0.0,0.0,0.0,0.0,1.0,94.0995,0.0,0.0,0.0,0.0,0.0,0.0,6.070123763153433,0.0
tolokers,hgb_attributes,250,uniform_candidates,0.0,0.0,0.0,0.0,1.0,93.6285,0.0,0.0,0.0,0.0,0.0,0.0,3.9309873300341356,0.0
tolokers,hgb_attributes,250,uniform_graph,0.0,0.0,0.0,0.0,1.0,54.7515,0.0,0.0,0.0,0.0,0.0,0.0,0.6932213451224145,0.0
tolokers,hgb_attributes,500,score_degree_strata,0.0,0.0,0.0,0.0,1.0,185.42249999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.295841438813143,0.0
tolokers,hgb_attributes,500,score_strata,0.0,0.0,0.0,0.0,1.0,185.30599999999998,0.0,0.0,0.0,0.0,0.0,0.0,9.88258563782216,0.0
tolokers,hgb_attributes,500,uniform_candidates,0.0,0.0,0.0,0.0,1.0,187.32750000000001,0.0,0.0,0.0,0.0,0.0,0.0,8.006262219177078,0.0
tolokers,hgb_attributes,500,uniform_graph,0.0,0.0,0.0,0.0,1.0,109.109,0.0,0.0,0.0,0.0,0.0,0.0,0.8378703161388793,0.0
tolokers,hgb_graph_features,100,score_degree_strata,0.0,0.0,0.0,0.0,1.0,57.8015,0.0,0.0,0.0,0.0,0.0,0.0,2.656808915054131,0.0
tolokers,hgb_graph_features,100,score_strata,0.0,0.0,0.0,0.0,1.0,57.791,0.0,0.0,0.0,0.0,0.0,0.0,2.6141514450731003,0.0
tolokers,hgb_graph_features,100,uniform_candidates,0.0,0.0,0.0,0.0,1.0,48.4005,0.0,0.0,0.0,0.0,0.0,0.0,1.3714012501412167,0.0
tolokers,hgb_graph_features,100,uniform_graph,0.0,0.0,0.0,0.0,1.0,21.835,0.0,0.0,0.0,0.0,0.0,0.0,0.37051015880509675,0.0
tolokers,hgb_graph_features,250,score_degree_strata,0.0,0.0,0.0,0.0,1.0,141.7395,0.0,0.0,0.0,0.0,0.0,0.0,5.409469808688388,0.0
tolokers,hgb_graph_features,250,score_strata,0.0,0.0,0.0,0.0,1.0,141.619,0.0,0.0,0.0,0.0,0.0,0.0,5.497267401981539,0.0
