dataset,model,seed,training_labels,training_anomalies,n_deploy,auroc,average_precision,n,fdp,power,true_discoveries
amazon,hgb_attributes,0,864,81,7775,0.9672622409189575,0.8908511460812414,25,0.0,0.033783783783783786,25
amazon,hgb_attributes,0,864,81,7775,0.9672622409189575,0.8908511460812414,50,0.02,0.06621621621621622,49
amazon,hgb_attributes,0,864,81,7775,0.9672622409189575,0.8908511460812414,100,0.02,0.13243243243243244,98
amazon,hgb_attributes,0,864,81,7775,0.9672622409189575,0.8908511460812414,200,0.01,0.26756756756756755,198
amazon,hgb_attributes,0,864,81,7775,0.9672622409189575,0.8908511460812414,400,0.0175,0.5310810810810811,393
amazon,hgb_attributes,0,864,81,7775,0.9672622409189575,0.8908511460812414,800,0.2175,0.845945945945946,626
amazon,hgb_attributes,0,864,81,7775,0.9672622409189575,0.8908511460812414,1555,0.5543408360128618,0.9364864864864865,693
amazon,hgb_attributes,0,864,81,7775,0.9672622409189575,0.8908511460812414,1600,0.566875,0.9364864864864865,693
amazon,hgb_graph_features,0,864,81,7775,0.9736399085652817,0.9102909729292117,25,0.0,0.033783783783783786,25
amazon,hgb_graph_features,0,864,81,7775,0.9736399085652817,0.9102909729292117,50,0.0,0.06756756756756757,50
amazon,hgb_graph_features,0,864,81,7775,0.9736399085652817,0.9102909729292117,100,0.01,0.13378378378378378,99
amazon,hgb_graph_features,0,864,81,7775,0.9736399085652817,0.9102909729292117,200,0.015,0.2662162162162162,197
amazon,hgb_graph_features,0,864,81,7775,0.9736399085652817,0.9102909729292117,400,0.015,0.5324324324324324,394
amazon,hgb_graph_features,0,864,81,7775,0.9736399085652817,0.9102909729292117,800,0.19125,0.8743243243243243,647
amazon,hgb_graph_features,0,864,81,7775,0.9736399085652817,0.9102909729292117,1555,0.5485530546623795,0.9486486486486486,702
amazon,hgb_graph_features,0,864,81,7775,0.9736399085652817,0.9102909729292117,1600,0.560625,0.95,703
amazon,hgb_attributes,1,864,90,7775,0.969407363991514,0.8947945655061792,25,0.0,0.03419972640218878,25
amazon,hgb_attributes,1,864,90,7775,0.969407363991514,0.8947945655061792,50,0.0,0.06839945280437756,50
amazon,hgb_attributes,1,864,90,7775,0.969407363991514,0.8947945655061792,100,0.01,0.1354309165526676,99
amazon,hgb_attributes,1,864,90,7775,0.969407363991514,0.8947945655061792,200,0.005,0.2722298221614227,199
amazon,hgb_attributes,1,864,90,7775,0.969407363991514,0.8947945655061792,400,0.0175,0.5376196990424077,393
amazon,hgb_attributes,1,864,90,7775,0.969407363991514,0.8947945655061792,800,0.2275,0.8454172366621067,618
amazon,hgb_attributes,1,864,90,7775,0.969407363991514,0.8947945655061792,1555,0.5594855305466238,0.9370725034199726,685
amazon,hgb_attributes,1,864,90,7775,0.969407363991514,0.8947945655061792,1600,0.571875,0.9370725034199726,685
amazon,hgb_graph_features,1,864,90,7775,0.971343697734234,0.8996058776047311,25,0.0,0.03419972640218878,25
amazon,hgb_graph_features,1,864,90,7775,0.971343697734234,0.8996058776047311,50,0.02,0.06703146374829001,49
amazon,hgb_graph_features,1,864,90,7775,0.971343697734234,0.8996058776047311,100,0.02,0.13406292749658003,98
amazon,hgb_graph_features,1,864,90,7775,0.971343697734234,0.8996058776047311,200,0.03,0.265389876880985,194
amazon,hgb_graph_features,1,864,90,7775,0.971343697734234,0.8996058776047311,400,0.02,0.5362517099863201,392
amazon,hgb_graph_features,1,864,90,7775,0.971343697734234,0.8996058776047311,800,0.2125,0.8618331053351573,630
amazon,hgb_graph_features,1,864,90,7775,0.971343697734234,0.8996058776047311,1555,0.5588424437299035,0.9384404924760602,686
amazon,hgb_graph_features,1,864,90,7775,0.971343697734234,0.8996058776047311,1600,0.570625,0.9398084815321477,687
amazon,hgb_attributes,2,864,89,7775,0.9680567807899794,0.8941498009866664,25,0.0,0.03415300546448088,25
amazon,hgb_attributes,2,864,89,7775,0.9680567807899794,0.8941498009866664,50,0.0,0.06830601092896176,50
amazon,hgb_attributes,2,864,89,7775,0.9680567807899794,0.8941498009866664,100,0.0,0.1366120218579235,100
amazon,hgb_attributes,2,864,89,7775,0.9680567807899794,0.8941498009866664,200,0.0,0.273224043715847,200
amazon,hgb_attributes,2,864,89,7775,0.9680567807899794,0.8941498009866664,400,0.02,0.5355191256830601,392
amazon,hgb_attributes,2,864,89,7775,0.9680567807899794,0.8941498009866664,800,0.235,0.8360655737704918,612
amazon,hgb_attributes,2,864,89,7775,0.9680567807899794,0.8941498009866664,1555,0.5614147909967846,0.9316939890710383,682
amazon,hgb_attributes,2,864,89,7775,0.9680567807899794,0.8941498009866664,1600,0.57375,0.9316939890710383,682
amazon,hgb_graph_features,2,864,89,7775,0.9672085564941046,0.8882331750393806,25,0.0,0.03415300546448088,25
amazon,hgb_graph_features,2,864,89,7775,0.9672085564941046,0.8882331750393806,50,0.0,0.06830601092896176,50
amazon,hgb_graph_features,2,864,89,7775,0.9672085564941046,0.8882331750393806,100,0.02,0.13387978142076504,98
amazon,hgb_graph_features,2,864,89,7775,0.9672085564941046,0.8882331750393806,200,0.015,0.2691256830601093,197
amazon,hgb_graph_features,2,864,89,7775,0.9672085564941046,0.8882331750393806,400,0.02,0.5355191256830601,392
amazon,hgb_graph_features,2,864,89,7775,0.9672085564941046,0.8882331750393806,800,0.235,0.8360655737704918,612
amazon,hgb_graph_features,2,864,89,7775,0.9672085564941046,0.8882331750393806,1555,0.5620578778135048,0.930327868852459,681
amazon,hgb_graph_features,2,864,89,7775,0.9672085564941046,0.8882331750393806,1600,0.57375,0.9316939890710383,682
amazon,hgb_attributes,3,864,76,7775,0.9722667952304124,0.9078420428363194,25,0.0,0.03355704697986577,25
amazon,hgb_attributes,3,864,76,7775,0.9722667952304124,0.9078420428363194,50,0.0,0.06711409395973154,50
amazon,hgb_attributes,3,864,76,7775,0.9722667952304124,0.9078420428363194,100,0.0,0.1342281879194631,100
amazon,hgb_attributes,3,864,76,7775,0.9722667952304124,0.9078420428363194,200,0.01,0.2657718120805369,198
amazon,hgb_attributes,3,864,76,7775,0.9722667952304124,0.9078420428363194,400,0.0125,0.5302013422818792,395
