dataset,model,seed,training_labels,training_anomalies,n_deploy,auroc,average_precision
tfinance,hgb_attributes,0,3936,188,35421,0.9453969736993214,0.8006841189403228
tfinance,hgb_graph_features,0,3936,188,35421,0.9629052420577145,0.879231676299466
tfinance,hgb_attributes,1,3936,187,35421,0.9371807457886745,0.7882118636621863
tfinance,hgb_graph_features,1,3936,187,35421,0.9578462161406203,0.8798722515247898
tfinance,hgb_attributes,2,3936,171,35421,0.9397075616034688,0.7953787174353191
tfinance,hgb_graph_features,2,3936,171,35421,0.964538327243058,0.8722427257371241
tfinance,hgb_attributes,3,3936,194,35421,0.9391331897200454,0.7925817553641686
tfinance,hgb_graph_features,3,3936,194,35421,0.9603062728969611,0.8797625599296945
tfinance,hgb_attributes,4,3936,179,35421,0.9405691978519678,0.7868049523743423
tfinance,hgb_graph_features,4,3936,179,35421,0.9623772973116366,0.8763105141778352
tfinance,hgb_attributes,5,3936,183,35421,0.9378210557726943,0.7956342426207289
tfinance,hgb_graph_features,5,3936,183,35421,0.9612360617572496,0.8802527105240983
tfinance,hgb_attributes,6,3936,175,35421,0.9356784923618292,0.7968169354076684
tfinance,hgb_graph_features,6,3936,175,35421,0.9631047559316727,0.8759714372175561
tfinance,hgb_attributes,7,3936,177,35421,0.9459595124135883,0.7987509747736194
tfinance,hgb_graph_features,7,3936,177,35421,0.962903582431297,0.8843044337401884
tfinance,hgb_attributes,8,3936,187,35421,0.9378228603625044,0.7940173690634512
tfinance,hgb_graph_features,8,3936,187,35421,0.9619239493835496,0.8872142384504483
tfinance,hgb_attributes,9,3936,173,35421,0.9433486028243263,0.7949964627581321
tfinance,hgb_graph_features,9,3936,173,35421,0.9628875841445421,0.8820588581067701
