dataset,model,label_fraction,removed,method,seed,fdp,power,discoveries,nonempty,n_calib,pool_size
tfinance,hgb_attributes,0.25,0.0,exposure,0,0.09060119537009907,0.6465346534653464,288.0,1.0,6307.8,6307.8
tfinance,hgb_attributes,0.25,0.0,exposure,1,0.07450537154381982,0.651980198019802,284.8,1.0,6346.2,6346.2
tfinance,hgb_attributes,0.25,0.0,exposure,2,0.10763505412261558,0.6563725490196078,300.4,1.0,6350.0,6350.0
tfinance,hgb_attributes,0.25,0.0,exposure,3,0.0846415632069848,0.6502487562189054,285.6,1.0,6367.2,6367.2
tfinance,hgb_attributes,0.25,0.0,exposure,4,0.09244878558374506,0.6330049261083743,283.8,1.0,6327.8,6327.8
tfinance,hgb_attributes,0.25,0.0,exposure,5,0.12509591944848805,0.6745679012345679,313.0,1.0,6334.8,6334.8
tfinance,hgb_attributes,0.25,0.0,exposure,6,0.0791982523344234,0.6412776412776413,283.6,1.0,6311.8,6311.8
tfinance,hgb_attributes,0.25,0.0,exposure,7,0.10552302019552788,0.6556650246305418,297.6,1.0,6370.8,6370.8
tfinance,hgb_attributes,0.25,0.0,exposure,8,0.08599006611334523,0.6410891089108912,283.6,1.0,6364.4,6364.4
tfinance,hgb_attributes,0.25,0.0,exposure,9,0.08429459779293509,0.6534313725490196,291.2,1.0,6351.4,6351.4
tfinance,hgb_attributes,0.25,0.0,random,0,0.09060119537009907,0.6465346534653464,288.0,1.0,6307.8,6307.8
tfinance,hgb_attributes,0.25,0.0,random,1,0.07450537154381982,0.651980198019802,284.8,1.0,6346.2,6346.2
tfinance,hgb_attributes,0.25,0.0,random,2,0.10763505412261558,0.6563725490196078,300.4,1.0,6350.0,6350.0
tfinance,hgb_attributes,0.25,0.0,random,3,0.0846415632069848,0.6502487562189054,285.6,1.0,6367.2,6367.2
tfinance,hgb_attributes,0.25,0.0,random,4,0.09244878558374506,0.6330049261083743,283.8,1.0,6327.8,6327.8
tfinance,hgb_attributes,0.25,0.0,random,5,0.12509591944848805,0.6745679012345679,313.0,1.0,6334.8,6334.8
tfinance,hgb_attributes,0.25,0.0,random,6,0.0791982523344234,0.6412776412776413,283.6,1.0,6311.8,6311.8
tfinance,hgb_attributes,0.25,0.0,random,7,0.10552302019552788,0.6556650246305418,297.6,1.0,6370.8,6370.8
tfinance,hgb_attributes,0.25,0.0,random,8,0.08599006611334523,0.6410891089108912,283.6,1.0,6364.4,6364.4
tfinance,hgb_attributes,0.25,0.0,random,9,0.08429459779293509,0.6534313725490196,291.2,1.0,6351.4,6351.4
tfinance,hgb_attributes,0.25,0.05,exposure,0,0.0921497912177249,0.6495049504950494,289.8,1.0,5992.8,6307.8
tfinance,hgb_attributes,0.25,0.05,exposure,1,0.10668370400539637,0.6603960396039604,299.6,1.0,6029.2,6346.2
tfinance,hgb_attributes,0.25,0.05,exposure,2,0.12199198195940866,0.663235294117647,308.4,1.0,6032.8,6350.0
tfinance,hgb_attributes,0.25,0.05,exposure,3,0.11366064722462288,0.6686567164179105,303.4,1.0,6049.6,6367.2
tfinance,hgb_attributes,0.25,0.05,exposure,4,0.11099816219302956,0.6487684729064039,297.4,1.0,6012.0,6327.8
