dataset,model,seed,training_labels,training_anomalies,n_deploy,auroc,average_precision
weibo,hgb_attributes,0,840,26,7565,0.9220035573537279,0.30835278522672904
weibo,hgb_graph_features,0,840,26,7565,0.9493309319475479,0.3483321327590724
weibo,hgb_attributes,1,840,35,7565,0.9180876083106194,0.2741330870107511
weibo,hgb_graph_features,1,840,35,7565,0.9433494804979017,0.3294298965207352
weibo,hgb_attributes,2,840,35,7565,0.9386189004019558,0.29099730411858926
weibo,hgb_graph_features,2,840,35,7565,0.9464620298585555,0.31868514419339167
weibo,hgb_attributes,3,840,26,7565,0.9288828137498258,0.3044751839317888
weibo,hgb_graph_features,3,840,26,7565,0.949123649005472,0.34447220137658063
weibo,hgb_attributes,4,840,40,7565,0.9269396545920798,0.2645145758102109
weibo,hgb_graph_features,4,840,40,7565,0.9489732995961773,0.31627072940277196
weibo,hgb_attributes,5,840,28,7565,0.9316490256866398,0.30713138936830253
weibo,hgb_graph_features,5,840,28,7565,0.9475124963551396,0.3391243121780102
weibo,hgb_attributes,6,840,36,7565,0.9276345593117713,0.29201734360877046
weibo,hgb_graph_features,6,840,36,7565,0.9526445992320902,0.34127203906206355
weibo,hgb_attributes,7,840,26,7565,0.9299263242455675,0.29523351112161195
weibo,hgb_graph_features,7,840,26,7565,0.9484592254670747,0.36628615117719465
weibo,hgb_attributes,8,840,40,7565,0.9290536871366472,0.28627096605371566
weibo,hgb_graph_features,8,840,40,7565,0.9460173341244033,0.3337444500114902
weibo,hgb_attributes,9,840,36,7565,0.9355758481627167,0.2988483237940609
weibo,hgb_graph_features,9,840,36,7565,0.9507179540371118,0.3406368608514371
