dataset,model,seed,training_labels,training_anomalies,n_deploy,auroc,average_precision
weibo_gadbench,hgb_attributes,0,840,78,7565,0.9796119389041991,0.8907500086209207
weibo_gadbench,hgb_graph_features,0,840,78,7565,0.9932351814657386,0.9493823410247083
weibo_gadbench,hgb_attributes,1,840,88,7565,0.9832398012206413,0.8986223157712495
weibo_gadbench,hgb_graph_features,1,840,88,7565,0.992914044933205,0.9543194006044418
weibo_gadbench,hgb_attributes,2,840,87,7565,0.9850956079530354,0.9015850106407608
weibo_gadbench,hgb_graph_features,2,840,87,7565,0.994532212572174,0.9564430669053084
weibo_gadbench,hgb_attributes,3,840,78,7565,0.9829187724788641,0.8978205684214586
weibo_gadbench,hgb_graph_features,3,840,78,7565,0.9925614461207903,0.9433425457220947
weibo_gadbench,hgb_attributes,4,840,88,7565,0.9827866900969333,0.8956118810476023
weibo_gadbench,hgb_graph_features,4,840,88,7565,0.9941452676530054,0.9592241698472145
weibo_gadbench,hgb_attributes,5,840,68,7565,0.9831206577974871,0.9094648080965558
weibo_gadbench,hgb_graph_features,5,840,68,7565,0.9926130820399114,0.9573766912655997
weibo_gadbench,hgb_attributes,6,840,95,7565,0.980436995354096,0.8884261674200927
weibo_gadbench,hgb_graph_features,6,840,95,7565,0.9930819989120447,0.9567216274979743
weibo_gadbench,hgb_attributes,7,840,83,7565,0.9807049583826539,0.8958986144782797
weibo_gadbench,hgb_graph_features,7,840,83,7565,0.9944856546981568,0.9619574333247397
weibo_gadbench,hgb_attributes,8,840,91,7565,0.9842605885622974,0.9101193043348064
weibo_gadbench,hgb_graph_features,8,840,91,7565,0.992670652806186,0.9496978353333039
weibo_gadbench,hgb_attributes,9,840,84,7565,0.9820742004219473,0.9029398974037619
weibo_gadbench,hgb_graph_features,9,840,84,7565,0.9929302387523363,0.9519489087633792
