dataset,model,label_fraction,removed,method,seed,fdp,power,discoveries,nonempty,n_calib,pool_size
weibo_gadbench,hgb_attributes,0.25,0.0,exposure,0,0.0882876776362008,0.6333333333333333,137.6,1.0,1265.2,1265.2
weibo_gadbench,hgb_attributes,0.25,0.0,exposure,1,0.0770457544715238,0.635897435897436,135.0,1.0,1276.0,1276.0
weibo_gadbench,hgb_attributes,0.25,0.0,exposure,2,0.09749789629231001,0.6112820512820514,132.2,1.0,1287.0,1287.0
weibo_gadbench,hgb_attributes,0.25,0.0,exposure,3,0.09985263558351941,0.6666666666666667,147.0,1.0,1292.0,1292.0
weibo_gadbench,hgb_attributes,0.25,0.0,exposure,4,0.08601200669712783,0.6820512820512821,145.6,1.0,1255.8,1255.8
weibo_gadbench,hgb_attributes,0.25,0.0,exposure,5,0.0894439720130163,0.696,153.2,1.0,1243.8,1243.8
weibo_gadbench,hgb_attributes,0.25,0.0,exposure,6,0.10119181754507978,0.6404145077720207,137.6,1.0,1274.0,1274.0
weibo_gadbench,hgb_attributes,0.25,0.0,exposure,7,0.08468092997709938,0.6255102040816326,134.0,1.0,1265.8,1265.8
weibo_gadbench,hgb_attributes,0.25,0.0,exposure,8,0.11634795731008123,0.7494845360824742,165.2,1.0,1284.6,1284.6
weibo_gadbench,hgb_attributes,0.25,0.0,exposure,9,0.09236889484596023,0.6959183673469388,150.4,1.0,1234.8,1234.8
weibo_gadbench,hgb_attributes,0.25,0.0,random,0,0.0882876776362008,0.6333333333333333,137.6,1.0,1265.2,1265.2
weibo_gadbench,hgb_attributes,0.25,0.0,random,1,0.0770457544715238,0.635897435897436,135.0,1.0,1276.0,1276.0
weibo_gadbench,hgb_attributes,0.25,0.0,random,2,0.09749789629231001,0.6112820512820514,132.2,1.0,1287.0,1287.0
weibo_gadbench,hgb_attributes,0.25,0.0,random,3,0.09985263558351941,0.6666666666666667,147.0,1.0,1292.0,1292.0
weibo_gadbench,hgb_attributes,0.25,0.0,random,4,0.08601200669712783,0.6820512820512821,145.6,1.0,1255.8,1255.8
weibo_gadbench,hgb_attributes,0.25,0.0,random,5,0.0894439720130163,0.696,153.2,1.0,1243.8,1243.8
weibo_gadbench,hgb_attributes,0.25,0.0,random,6,0.10119181754507978,0.6404145077720207,137.6,1.0,1274.0,1274.0
weibo_gadbench,hgb_attributes,0.25,0.0,random,7,0.08468092997709938,0.6255102040816326,134.0,1.0,1265.8,1265.8
weibo_gadbench,hgb_attributes,0.25,0.0,random,8,0.11634795731008123,0.7494845360824742,165.2,1.0,1284.6,1284.6
weibo_gadbench,hgb_attributes,0.25,0.0,random,9,0.09236889484596023,0.6959183673469388,150.4,1.0,1234.8,1234.8
weibo_gadbench,hgb_attributes,0.25,0.05,exposure,0,0.13871997047640408,0.7294949494949494,168.44,1.0,1202.6,1265.2
weibo_gadbench,hgb_attributes,0.25,0.05,exposure,1,0.1596202089745619,0.7435897435897436,173.4,1.0,1212.8,1276.0
weibo_gadbench,hgb_attributes,0.25,0.05,exposure,2,0.17874385318045788,0.7687384615384614,183.304,1.0,1223.2,1287.0
weibo_gadbench,hgb_attributes,0.25,0.05,exposure,3,0.18312451050382988,0.7777777777777779,189.6,1.0,1227.6,1292.0
weibo_gadbench,hgb_attributes,0.25,0.05,exposure,4,0.16134682040886483,0.7619897435897436,177.832,1.0,1193.4,1255.8
weibo_gadbench,hgb_attributes,0.25,0.05,exposure,5,0.16776746979865134,0.78424,189.94400000000002,1.0,1182.0,1243.8
weibo_gadbench,hgb_attributes,0.25,0.05,exposure,6,0.14490632961318312,0.6785077720207254,154.304,1.0,1210.8,1274.0
weibo_gadbench,hgb_attributes,0.25,0.05,exposure,7,0.15152408250933175,0.7469795918367347,173.32,1.0,1203.0,1265.8
weibo_gadbench,hgb_attributes,0.25,0.05,exposure,8,0.168518592292988,0.8164948453608247,191.6,1.0,1221.0,1284.6
weibo_gadbench,hgb_attributes,0.25,0.05,exposure,9,0.1447360541728032,0.7530612244897958,173.4,1.0,1173.6,1234.8
weibo_gadbench,hgb_attributes,0.25,0.05,random,0,0.09309941304067194,0.642,140.368,1.0,1202.6,1265.2
weibo_gadbench,hgb_attributes,0.25,0.05,random,1,0.07648495586609974,0.6369641025641026,135.192,1.0,1212.8,1276.0
weibo_gadbench,hgb_attributes,0.25,0.05,random,2,0.08759771270386638,0.5860102564102565,125.48400000000001,1.0,1223.2,1287.0
weibo_gadbench,hgb_attributes,0.25,0.05,random,3,0.1016604837882076,0.6708888888888889,148.276,1.0,1227.6,1292.0
weibo_gadbench,hgb_attributes,0.25,0.05,random,4,0.08621189171898008,0.6796923076923077,145.208,1.0,1193.4,1255.8
weibo_gadbench,hgb_attributes,0.25,0.05,random,5,0.08806102155418363,0.69438,152.584,1.0,1182.0,1243.8
weibo_gadbench,hgb_attributes,0.25,0.05,random,6,0.1005104805766408,0.6420932642487046,137.852,1.0,1210.8,1274.0
weibo_gadbench,hgb_attributes,0.25,0.05,random,7,0.08673393327928619,0.627734693877551,134.936,1.0,1203.0,1265.8
weibo_gadbench,hgb_attributes,0.25,0.05,random,8,0.11521379571634764,0.7481443298969073,164.66,1.0,1221.0,1284.6
weibo_gadbench,hgb_attributes,0.25,0.05,random,9,0.09308083188212161,0.6949183673469388,150.324,1.0,1173.6,1234.8
