dataset,condition,method,variant,classifier,method_key,seed,alpha,n_calib,n_train,n_test,n_test_null,n_test_alt,p_floor,bh_min_rank,in_matched_frame,frame_exact_match_frozen,jitter_scale,frac_unique_test_scores,max_tied_block,n_discoveries,realized_fdr,power,score_auroc,clf_partition_auc
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,0,0.1,2794,2000,10206,9456,750,0.00035778175313059033,37,True,False,0.0,0.9984322947285911,2,826,0.09200968523002422,1.0,0.9999937958262831,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,0,0.1,2794,2000,10206,9456,750,0.00035778175313059033,37,True,False,0.0,0.9961787184009406,2,826,0.09200968523002422,1.0,0.9999937958262831,0.5379151724475798
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,0,0.1,2794,2000,10206,9456,750,0.00035778175313059033,37,True,False,0.0,0.9932392710170488,4,821,0.08647990255785627,1.0,1.0,0.5818371301195375
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,0,0.1,2794,2000,10206,9456,750,0.00035778175313059033,37,True,False,0.0,0.9959827552420145,2,646,0.07430340557275542,0.7973333333333333,0.9923068245910885,0.5572445375269449
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,0,0.1,2794,2000,10206,9456,750,0.00035778175313059033,37,True,False,0.0,0.9932392710170488,3,835,0.10179640718562874,1.0,1.0,0.5819273466588282
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,1,0.1,2839,2000,10161,9411,750,0.00035211267605633805,36,True,False,0.0,0.9984253518354492,2,840,0.10714285714285714,1.0,0.9999975914709737,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,1,0.1,2839,2000,10161,9411,750,0.00035211267605633805,36,True,False,0.0,0.9957681330577699,2,840,0.10714285714285714,1.0,0.9999975914709737,0.5418232949512843
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,1,0.1,2839,2000,10161,9411,750,0.00035211267605633805,36,True,False,0.0,0.9924220057080996,3,853,0.12075029308323564,1.0,1.0,0.5782857002263557
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,1,0.1,2839,2000,10161,9411,750,0.00035211267605633805,36,True,False,0.0,0.995571302037201,3,743,0.11709286675639301,0.8746666666666667,0.9922154925087663,0.5443481448676312
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,1,0.1,2839,2000,10161,9411,750,0.00035211267605633805,36,True,False,0.0,0.9928156677492372,3,850,0.11764705882352941,1.0,1.0,0.5796281862021455
