method,seed,n_ensemble,n_discoveries,realized_fdr,power
our_conformal_bh,0,1,152,0.13157894736842105,0.176
our_conformal_bh,1,1,141,0.07801418439716312,0.17333333333333334
our_conformal_bh,2,1,123,0.0975609756097561,0.148
our_conformal_bh,3,1,0,0.0,0.0
our_conformal_bh,4,1,0,0.0,0.0
our_conformal_bh,5,1,0,0.0,0.0
our_conformal_bh,6,1,134,0.08208955223880597,0.164
our_conformal_bh,7,1,0,0.0,0.0
our_conformal_bh,8,1,233,0.1630901287553648,0.26
our_conformal_bh,9,1,129,0.13953488372093023,0.148
our_conformal_bh,10,1,0,0.0,0.0
our_conformal_bh,11,1,0,0.0,0.0
our_conformal_bh,12,1,0,0.0,0.0
our_conformal_bh,13,1,0,0.0,0.0
our_conformal_bh,14,1,122,0.09016393442622951,0.148
our_conformal_bh,15,1,0,0.0,0.0
our_conformal_bh,16,1,182,0.16483516483516483,0.20266666666666666
our_conformal_bh,17,1,0,0.0,0.0
our_conformal_bh,18,1,0,0.0,0.0
our_conformal_bh,19,1,0,0.0,0.0
our_conformal_bh_adversarial,0,1,119,0.11764705882352941,0.14
our_conformal_bh_adversarial,1,1,0,0.0,0.0
our_conformal_bh_adversarial,2,1,137,0.12408759124087591,0.16
our_conformal_bh_adversarial,3,1,0,0.0,0.0
our_conformal_bh_adversarial,4,1,0,0.0,0.0
our_conformal_bh_adversarial,5,1,154,0.08441558441558442,0.188
our_conformal_bh_adversarial,6,1,159,0.10062893081761007,0.19066666666666668
our_conformal_bh_adversarial,7,1,142,0.07746478873239436,0.17466666666666666
our_conformal_bh_adversarial,8,1,149,0.12080536912751678,0.17466666666666666
our_conformal_bh_adversarial,9,1,0,0.0,0.0
our_conformal_bh_adversarial,10,1,151,0.13245033112582782,0.17466666666666666
our_conformal_bh_adversarial,11,1,0,0.0,0.0
our_conformal_bh_adversarial,12,1,0,0.0,0.0
our_conformal_bh_adversarial,13,1,0,0.0,0.0
our_conformal_bh_adversarial,14,1,178,0.12921348314606743,0.20666666666666667
our_conformal_bh_adversarial,15,1,0,0.0,0.0
our_conformal_bh_adversarial,16,1,0,0.0,0.0
our_conformal_bh_adversarial,17,1,0,0.0,0.0
our_conformal_bh_adversarial,18,1,0,0.0,0.0
our_conformal_bh_adversarial,19,1,120,0.15,0.136
ensemble_baseline,0,5,750,0.48533333333333334,0.5146666666666667
ensemble_baseline,1,5,750,0.49866666666666665,0.5013333333333333
ensemble_baseline,2,5,750,0.468,0.532
ensemble_baseline,3,5,750,0.512,0.488
ensemble_baseline,4,5,750,0.49733333333333335,0.5026666666666667
ensemble_baseline,5,5,750,0.45066666666666666,0.5493333333333333
ensemble_baseline,6,5,750,0.488,0.512
ensemble_baseline,7,5,750,0.4666666666666667,0.5333333333333333
ensemble_baseline,8,5,750,0.49066666666666664,0.5093333333333333
ensemble_baseline,9,5,750,0.496,0.504
ensemble_baseline,10,5,750,0.5093333333333333,0.49066666666666664
ensemble_baseline,11,5,750,0.5026666666666667,0.49733333333333335
ensemble_baseline,12,5,750,0.468,0.532
ensemble_baseline,13,5,750,0.5013333333333333,0.49866666666666665
ensemble_baseline,14,5,750,0.4866666666666667,0.5133333333333333
ensemble_baseline,15,5,750,0.49466666666666664,0.5053333333333333
ensemble_baseline,16,5,750,0.49066666666666664,0.5093333333333333
ensemble_baseline,17,5,750,0.49733333333333335,0.5026666666666667
ensemble_baseline,18,5,750,0.5066666666666667,0.49333333333333335
ensemble_baseline,19,5,750,0.49866666666666665,0.5013333333333333
naive_threshold,0,1,750,0.48533333333333334,0.5146666666666667
naive_threshold,1,1,750,0.49866666666666665,0.5013333333333333
naive_threshold,2,1,750,0.468,0.532
naive_threshold,3,1,750,0.5133333333333333,0.4866666666666667
naive_threshold,4,1,750,0.49733333333333335,0.5026666666666667
naive_threshold,5,1,750,0.45066666666666666,0.5493333333333333
naive_threshold,6,1,750,0.488,0.512
naive_threshold,7,1,750,0.4666666666666667,0.5333333333333333
naive_threshold,8,1,750,0.49066666666666664,0.5093333333333333
naive_threshold,9,1,750,0.496,0.504
naive_threshold,10,1,750,0.5093333333333333,0.49066666666666664
naive_threshold,11,1,750,0.5013333333333333,0.49866666666666665
naive_threshold,12,1,750,0.468,0.532
naive_threshold,13,1,750,0.5013333333333333,0.49866666666666665
naive_threshold,14,1,750,0.4693333333333333,0.5306666666666666
naive_threshold,15,1,750,0.49333333333333335,0.5066666666666667
naive_threshold,16,1,750,0.49066666666666664,0.5093333333333333
naive_threshold,17,1,750,0.49733333333333335,0.5026666666666667
naive_threshold,18,1,750,0.5066666666666667,0.49333333333333335
naive_threshold,19,1,750,0.49866666666666665,0.5013333333333333
