method,seed,n_ensemble,calib_frac,n_calib,n_discoveries,realized_fdr,power
our_conformal_bh_contaminated_calib0.4,0,1,0.4,1242,152,0.13157894736842105,0.176
our_conformal_bh_contaminated_calib0.4,1,1,0.4,1262,141,0.07801418439716312,0.17333333333333334
our_conformal_bh_contaminated_calib0.4,2,1,0.4,1293,123,0.0975609756097561,0.148
our_conformal_bh_contaminated_calib0.4,3,1,0.4,1289,0,0.0,0.0
our_conformal_bh_contaminated_calib0.4,4,1,0.4,1271,0,0.0,0.0
our_conformal_bh_contaminated_calib0.4,5,1,0.4,1250,0,0.0,0.0
our_conformal_bh_contaminated_calib0.4,6,1,0.4,1283,134,0.08208955223880597,0.164
our_conformal_bh_contaminated_calib0.4,7,1,0.4,1292,0,0.0,0.0
our_conformal_bh_contaminated_calib0.4,8,1,0.4,1274,233,0.1630901287553648,0.26
our_conformal_bh_contaminated_calib0.4,9,1,0.4,1266,129,0.13953488372093023,0.148
our_conformal_bh_contaminated_calib0.4,10,1,0.4,1293,0,0.0,0.0
our_conformal_bh_contaminated_calib0.4,11,1,0.4,1321,0,0.0,0.0
our_conformal_bh_contaminated_calib0.4,12,1,0.4,1270,0,0.0,0.0
our_conformal_bh_contaminated_calib0.4,13,1,0.4,1252,0,0.0,0.0
our_conformal_bh_contaminated_calib0.4,14,1,0.4,1244,122,0.09016393442622951,0.148
our_conformal_bh_contaminated_calib0.4,15,1,0.4,1294,0,0.0,0.0
our_conformal_bh_contaminated_calib0.4,16,1,0.4,1325,182,0.16483516483516483,0.20266666666666666
our_conformal_bh_contaminated_calib0.4,17,1,0.4,1270,0,0.0,0.0
our_conformal_bh_contaminated_calib0.4,18,1,0.4,1286,0,0.0,0.0
our_conformal_bh_contaminated_calib0.4,19,1,0.4,1290,0,0.0,0.0
our_conformal_bh_contaminated_calib0.9,0,1,0.9,2794,71,0.08450704225352113,0.08666666666666667
our_conformal_bh_contaminated_calib0.9,1,1,0.9,2839,191,0.13089005235602094,0.22133333333333333
our_conformal_bh_contaminated_calib0.9,2,1,0.9,2910,90,0.06666666666666667,0.112
our_conformal_bh_contaminated_calib0.9,3,1,0.9,2900,86,0.03488372093023256,0.11066666666666666
our_conformal_bh_contaminated_calib0.9,4,1,0.9,2860,145,0.1310344827586207,0.168
our_conformal_bh_contaminated_calib0.9,5,1,0.9,2813,176,0.11931818181818182,0.20666666666666667
our_conformal_bh_contaminated_calib0.9,6,1,0.9,2886,128,0.0546875,0.16133333333333333
our_conformal_bh_contaminated_calib0.9,7,1,0.9,2908,101,0.04950495049504951,0.128
our_conformal_bh_contaminated_calib0.9,8,1,0.9,2867,256,0.16015625,0.2866666666666667
our_conformal_bh_contaminated_calib0.9,9,1,0.9,2848,0,0.0,0.0
our_conformal_bh_contaminated_calib0.9,10,1,0.9,2910,140,0.11428571428571428,0.16533333333333333
our_conformal_bh_contaminated_calib0.9,11,1,0.9,2972,91,0.06593406593406594,0.11333333333333333
our_conformal_bh_contaminated_calib0.9,12,1,0.9,2858,53,0.0,0.07066666666666667
our_conformal_bh_contaminated_calib0.9,13,1,0.9,2817,0,0.0,0.0
our_conformal_bh_contaminated_calib0.9,14,1,0.9,2800,143,0.07692307692307693,0.176
our_conformal_bh_contaminated_calib0.9,15,1,0.9,2911,99,0.08080808080808081,0.12133333333333333
our_conformal_bh_contaminated_calib0.9,16,1,0.9,2981,179,0.15083798882681565,0.20266666666666666
our_conformal_bh_contaminated_calib0.9,17,1,0.9,2858,136,0.08823529411764706,0.16533333333333333
our_conformal_bh_contaminated_calib0.9,18,1,0.9,2894,65,0.015384615384615385,0.08533333333333333
our_conformal_bh_contaminated_calib0.9,19,1,0.9,2903,53,0.07547169811320754,0.06533333333333333
ensemble_conformal_bh_contaminated,0,5,0.4,1242,152,0.13157894736842105,0.176
ensemble_conformal_bh_contaminated,1,5,0.4,1262,141,0.07801418439716312,0.17333333333333334
ensemble_conformal_bh_contaminated,2,5,0.4,1293,123,0.0975609756097561,0.148
ensemble_conformal_bh_contaminated,3,5,0.4,1289,0,0.0,0.0
ensemble_conformal_bh_contaminated,4,5,0.4,1271,0,0.0,0.0
ensemble_conformal_bh_contaminated,5,5,0.4,1250,0,0.0,0.0
ensemble_conformal_bh_contaminated,6,5,0.4,1283,134,0.08208955223880597,0.164
ensemble_conformal_bh_contaminated,7,5,0.4,1292,0,0.0,0.0
ensemble_conformal_bh_contaminated,8,5,0.4,1274,233,0.1630901287553648,0.26
ensemble_conformal_bh_contaminated,9,5,0.4,1266,129,0.13953488372093023,0.148
ensemble_conformal_bh_contaminated,10,5,0.4,1293,0,0.0,0.0
ensemble_conformal_bh_contaminated,11,5,0.4,1321,0,0.0,0.0
ensemble_conformal_bh_contaminated,12,5,0.4,1270,0,0.0,0.0
ensemble_conformal_bh_contaminated,13,5,0.4,1252,0,0.0,0.0
ensemble_conformal_bh_contaminated,14,5,0.4,1244,0,0.0,0.0
ensemble_conformal_bh_contaminated,15,5,0.4,1294,0,0.0,0.0
ensemble_conformal_bh_contaminated,16,5,0.4,1325,182,0.16483516483516483,0.20266666666666666
ensemble_conformal_bh_contaminated,17,5,0.4,1270,0,0.0,0.0
ensemble_conformal_bh_contaminated,18,5,0.4,1286,0,0.0,0.0
ensemble_conformal_bh_contaminated,19,5,0.4,1290,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,0,1,0.4,1242,119,0.11764705882352941,0.14
our_conformal_bh_adversarial_calib0.4,1,1,0.4,1262,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,2,1,0.4,1293,137,0.12408759124087591,0.16
our_conformal_bh_adversarial_calib0.4,3,1,0.4,1289,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,4,1,0.4,1271,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,5,1,0.4,1250,154,0.08441558441558442,0.188
our_conformal_bh_adversarial_calib0.4,6,1,0.4,1283,159,0.10062893081761007,0.19066666666666668
our_conformal_bh_adversarial_calib0.4,7,1,0.4,1292,142,0.07746478873239436,0.17466666666666666
our_conformal_bh_adversarial_calib0.4,8,1,0.4,1274,149,0.12080536912751678,0.17466666666666666
our_conformal_bh_adversarial_calib0.4,9,1,0.4,1266,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,10,1,0.4,1293,151,0.13245033112582782,0.17466666666666666
our_conformal_bh_adversarial_calib0.4,11,1,0.4,1321,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,12,1,0.4,1270,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,13,1,0.4,1252,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,14,1,0.4,1244,178,0.12921348314606743,0.20666666666666667
our_conformal_bh_adversarial_calib0.4,15,1,0.4,1294,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,16,1,0.4,1325,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,17,1,0.4,1270,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,18,1,0.4,1286,0,0.0,0.0
our_conformal_bh_adversarial_calib0.4,19,1,0.4,1290,120,0.15,0.136
our_conformal_bh_adversarial_calib0.9,0,1,0.9,2794,164,0.12804878048780488,0.19066666666666668
