dataset,detector,seed,strategy,alpha,n_calib,m_test,n_null,in_matched_frame,bh_min_rank,calib_frac_anomalous,calib_mean_exposure,calib_mean_degree,test_mean_degree,score_gap_cohens_d,ks_calib_vs_test,spearman_score_degree,spearman_score_exposure,spearman_score_exposure_p,gamma_t_lo,t_lo,gamma_hat,mean_p,ks_uniform,mean_p_null_p,n_discoveries,realized_fdr,power
tolokers,dominant_pygod,0,clean,0.1,648,4566,2000,True,70.35439137134051,0.0,0.0,5.597222222222222,68.491,-0.9750645635546301,0.4753950617283951,0.8999404034844494,-0.05623920293286292,6.834595097662466e-08,16.09344581440623,0.01541,2.84237962962963,0.20338135593220338,0.4608035439137134,0.0,1551,0.390715667311412,0.3682774746687451
tolokers,dominant_pygod,0,weighted,0.1,648,4566,2000,True,70.35439137134051,0.0,0.0,5.597222222222222,68.491,-0.9750645635546301,0.4753950617283951,0.8999404034844494,-0.05623920293286292,6.834595097662466e-08,15.476963011031797,0.01541,2.2294351851851855,0.3141676404604623,0.32415023112480745,0.0,1350,0.37407407407407406,0.3293063133281372
tolokers,dominant_pygod,0,random,0.1,648,4566,2000,True,70.35439137134051,0.0,0.30749867377175294,69.85802469135803,68.491,0.020931775188226115,0.025395061728395063,0.8999404034844494,-0.05623920293286292,6.834595097662466e-08,0.5191434133679429,0.01541,1.00977950310559,0.5043697996918336,0.0048520801232665445,0.6,144,0.006944444444444444,0.05572876071706937
tolokers,dominant_pygod,0,exposed_only,0.1,648,4566,2000,True,70.35439137134051,0.0,0.35325110269054155,79.15123456790124,68.491,0.09178536990798099,0.044253086419753083,0.8999404034844494,-0.05623920293286292,6.834595097662466e-08,0.5840363400389357,0.01541,0.9422719665271966,0.5255839753466871,-0.021258859784283546,0.97,127,0.0,0.0494933749025721
tolokers,dominant_pygod,0,true_contam_05,0.1,648,4566,2000,True,70.35439137134051,0.04938271604938271,0.28889843018617645,68.41358024691358,68.491,-0.008341420732713009,0.027444444444444445,0.8999404034844494,-0.05623920293286292,6.834595097662466e-08,0.5840363400389357,0.01541,1.0206340782122905,0.499728813559322,0.006466101694915294,0.46,0,0.0,0.0
tolokers,dominant_pygod,0,true_contam_10,0.1,648,4566,2000,True,70.35439137134051,0.10030864197530864,0.3248383395347583,76.7175925925926,68.491,0.053604328227434606,0.04321604938271605,0.8999404034844494,-0.05623920293286292,6.834595097662466e-08,0.16223231667748217,0.01541,1.033823717948718,0.5052842835130971,0.016260400616332826,0.64,0,0.0,0.0
tolokers,dominant_pygod,0,random_full,0.1,4000,4566,2000,False,11.412146963259184,0.0,0.31947911554845754,67.76325,68.491,-0.007799935219129185,0.015,0.8999404034844494,-0.05623920293286292,6.834595097662466e-08,0.2,0.0025,1.0309220613287906,0.4977071982004499,0.009073606598350381,0.34,156,0.01282051282051282,0.060015588464536244
tolokers,dominant_pygod,1,clean,0.1,630,4566,2000,True,72.36133122028527,0.0,0.0,5.806349206349206,64.7095,-0.9217108397106782,0.4474365079365079,0.898490972676699,-0.05713699403929158,4.211677931555295e-08,14.921135646687697,0.01585,2.710888535031847,0.21949920760697306,0.425688589540412,0.0,1489,0.38079247817327067,0.3593141075604053
tolokers,dominant_pygod,1,weighted,0.1,630,4566,2000,True,72.36133122028527,0.0,0.0,5.806349206349206,64.7095,-0.9217108397106782,0.4474365079365079,0.898490972676699,-0.05713699403929158,4.211677931555295e-08,14.290220820189276,0.01585,2.052673780487805,0.33909434647560777,0.27359508716323294,0.0,1320,0.3613636363636364,0.328526890101325
tolokers,dominant_pygod,1,random,0.1,630,4566,2000,True,72.36133122028527,0.0,0.321001651153075,72.1952380952381,64.7095,0.06445285536845666,0.05284920634920635,0.898490972676699,-0.05713699403929158,4.211677931555295e-08,0.6309148264984228,0.01585,0.9327076502732242,0.5198185419968304,-0.01823534072900157,0.935,129,0.0,0.050272798129384254
tolokers,dominant_pygod,1,exposed_only,0.1,630,4566,2000,True,72.36133122028527,0.0,0.3337676278535092,67.83174603174604,64.7095,0.0714705171865927,0.08050793650793651,0.898490972676699,-0.05713699403929158,4.211677931555295e-08,1.324921135646688,0.01585,0.9581851851851851,0.5350586370839936,-0.012311410459587974,1.0,165,0.03636363636363636,0.06196414653156664
tolokers,dominant_pygod,1,true_contam_05,0.1,630,4566,2000,True,72.36133122028527,0.050793650793650794,0.31856101861806646,60.696825396825396,64.7095,-0.07560227527714905,0.04036507936507937,0.898490972676699,-0.05713699403929158,4.211677931555295e-08,1.577287066246057,0.01585,1.12396875,0.4843407290015848,0.03143423137876383,0.13,148,0.02702702702702703,0.05611847233047545
tolokers,dominant_pygod,1,true_contam_10,0.1,630,4566,2000,True,72.36133122028527,0.1,0.3151161970660338,75.56984126984128,64.7095,0.025793744034535937,0.04146031746031746,0.898490972676699,-0.05713699403929158,4.211677931555295e-08,0.28391167192429023,0.01585,1.0042385620915033,0.4986117274167987,0.0020554675118859,0.475,0,0.0,0.0
tolokers,dominant_pygod,1,random_full,0.1,4000,4566,2000,False,11.412146963259184,0.0,0.32301931427589686,68.62775,64.7095,0.03940428784909126,0.04,0.898490972676699,-0.05713699403929158,4.211677931555295e-08,1.0,0.0025,0.9671628498727735,0.5139477630592353,-0.009676330917270715,0.99,165,0.03636363636363636,0.06196414653156664
tolokers,dominant_pygod,2,clean,0.1,630,4566,2000,True,72.36133122028527,0.0,0.0,5.719047619047619,66.6465,-0.8974710805557035,0.4572301587301587,0.8971253270678594,-0.05689477770216253,4.8027704186196956e-08,13.943217665615142,0.01585,2.6988312101910825,0.2244374009508716,0.42540808240887484,0.0,1478,0.37077131258457374,0.36243180046765394
tolokers,dominant_pygod,2,weighted,0.1,630,4566,2000,True,72.36133122028527,0.0,0.0,5.719047619047619,66.6465,-0.8974710805557035,0.4572301587301587,0.8971253270678594,-0.05689477770216253,4.8027704186196956e-08,13.8801261829653,0.01585,2.1843853503184714,0.3320208942566217,0.2958058637083994,0.0,1293,0.3534416086620263,0.32579890880748247
tolokers,dominant_pygod,2,random,0.1,630,4566,2000,True,72.36133122028527,0.0,0.31807828181398157,62.98412698412698,66.6465,-0.019141710596030866,0.026071428571428572,0.8971253270678594,-0.05689477770216253,4.8027704186196956e-08,1.2302839116719244,0.01585,1.0511610576923076,0.49902377179080826,0.01686450079239299,0.455,171,0.06432748538011696,0.06235385814497272
tolokers,dominant_pygod,2,exposed_only,0.1,630,4566,2000,True,72.36133122028527,0.0,0.33990836382224526,68.92063492063492,66.6465,0.08012511532764904,0.06601587301587301,0.8971253270678594,-0.05689477770216253,4.8027704186196956e-08,1.2302839116719244,0.01585,0.9593484162895929,0.5331941362916006,-0.01423771790808237,0.99,135,0.037037037037037035,0.05066250974279034
tolokers,dominant_pygod,2,true_contam_05,0.1,630,4566,2000,True,72.36133122028527,0.050793650793650794,0.33625205721140095,71.71587301587302,66.6465,0.057250355776521246,0.03480952380952381,0.8971253270678594,-0.05689477770216253,4.8027704186196956e-08,1.0094637223974765,0.01585,0.9876074918566775,0.515270998415214,-0.006029318541996842,0.865,93,0.0,0.0362431800467654
tolokers,dominant_pygod,2,true_contam_10,0.1,630,4566,2000,True,72.36133122028527,0.1,0.3211984468833522,77.61746031746031,66.6465,0.058738647871416784,0.03219047619047619,0.8971253270678594,-0.05689477770216253,4.8027704186196956e-08,0.28391167192429023,0.01585,0.9889711538461539,0.5075364500792393,-0.003983359746434212,0.7,0,0.0,0.0
tolokers,dominant_pygod,2,random_full,0.1,4000,4566,2000,False,11.412146963259184,0.0,0.31952091599329097,66.135,66.6465,0.0187706827409659,0.0215,0.8971253270678594,-0.05689477770216253,4.8027704186196956e-08,1.6,0.0025,0.9905623486682807,0.5080276180954761,-0.0038967758060485247,0.81,171,0.06432748538011696,0.06235385814497272
