dataset,detector,seed,strategy,alpha,n_calib,m_test,n_null,in_matched_frame,bh_min_rank,calib_frac_anomalous,calib_mean_exposure,calib_mean_degree,test_mean_degree,score_gap_cohens_d,ks_calib_vs_test,spearman_score_degree,spearman_score_exposure,spearman_score_exposure_p,gamma_t_lo,t_lo,gamma_hat,mean_p,ks_uniform,mean_p_null_p,n_discoveries,realized_fdr,power
weibo,gae,0,clean,0.1,1707,2347,2000,True,13.741217798594846,0.0,0.0,78.54130052724078,90.784,-0.1267381038479344,0.023659636789689513,-0.0894802592017508,0.0016617116529549995,0.8814409745129319,3.4188034188034186,0.00585,1.0302616279069767,0.5019455503512881,0.012189695550351265,0.57,77,0.44155844155844154,0.1239193083573487
weibo,gae,0,weighted,0.1,1707,2347,2000,True,13.741217798594846,0.0,0.0,78.54130052724078,90.784,-0.1267381038479344,0.023659636789689513,-0.0894802592017508,0.0016617116529549995,0.8814409745129319,3.4188034188034186,0.00585,1.0460236686390532,0.4983980886713763,0.01821545667447305,0.435,77,0.44155844155844154,0.1239193083573487
weibo,gae,0,random,0.1,1707,2347,2000,True,13.741217798594846,0.0,0.03171767103171251,84.1095489162273,90.784,-0.0475518395259175,0.032030462800234326,-0.0894802592017508,0.0016617116529549995,0.8814409745129319,1.3675213675213675,0.00585,1.033985465116279,0.4945178571428571,0.013689695550351266,0.235,0,0.0,0.0
weibo,gae,0,exposed_only,0.1,1707,2347,2000,True,13.741217798594846,0.0,0.11241444803547825,106.36555360281196,90.784,0.1151902695801201,0.06773198594024604,-0.0894802592017508,0.0016617116529549995,0.8814409745129319,0.42735042735042733,0.00585,1.0906346749226006,0.4786533957845433,0.03967096018735361,0.005,0,0.0,0.0
weibo,gae,0,true_contam_05,0.1,1707,2347,2000,True,13.741217798594846,0.04979496192149971,0.026053027368699785,86.68658465143527,90.784,0.029889833725068243,0.029138547158758056,-0.0894802592017508,0.0016617116529549995,0.8814409745129319,0.8547008547008547,0.00585,0.9820999999999999,0.5042198477751757,-0.007052693208430882,0.64,0,0.0,0.0
weibo,gae,0,true_contam_10,0.1,1707,2347,2000,True,13.741217798594846,0.10017574692442882,0.03361653820130769,85.0257762155829,90.784,0.1095170982490487,0.04302314001171646,-0.0894802592017508,0.0016617116529549995,0.8814409745129319,0.2564102564102564,0.00585,0.9867647058823529,0.5110316159250585,-0.005532786885245944,0.84,0,0.0,0.0
weibo,gae,0,random_full,0.1,4000,2347,2000,False,5.866033491627093,0.0,0.033393260293670804,83.5105,90.784,-0.03170657616972353,0.0245,-0.0894802592017508,0.0016617116529549995,0.8814409745129319,2.1999999999999997,0.0025,1.0545145748987856,0.49367945513621597,0.01984853786553359,0.205,15,0.2,0.0345821325648415
weibo,gae,1,clean,0.1,1755,2347,2000,True,13.365603644646923,0.0,0.0,80.99544159544159,88.1435,-0.09693708305051149,0.02494017094017094,-0.08045436339953405,0.005341207396140089,0.631661347397241,2.5483304042179262,0.00569,1.0583643410852714,0.49922807517084283,0.017150341685649217,0.48,22,0.3181818181818182,0.043227665706051875
weibo,gae,1,weighted,0.1,1755,2347,2000,True,13.365603644646923,0.0,0.0,80.99544159544159,88.1435,-0.09693708305051149,0.02494017094017094,-0.08045436339953405,0.005341207396140089,0.631661347397241,2.6362038664323375,0.00569,1.0878804780876494,0.4959333086982734,0.02512300683371299,0.365,22,0.3181818181818182,0.043227665706051875
weibo,gae,1,random,0.1,1755,2347,2000,True,13.365603644646923,0.0,0.029801015670835884,89.13333333333334,88.1435,-0.046948203961808786,0.020215099715099716,-0.08045436339953405,0.005341207396140089,0.631661347397241,1.40597539543058,0.00569,1.0391835803876854,0.49627847380410023,0.0195694760820046,0.365,18,0.2222222222222222,0.040345821325648415
weibo,gae,1,exposed_only,0.1,1755,2347,2000,True,13.365603644646923,0.0,0.10978518288087266,105.18119658119659,88.1435,0.07353897761204053,0.055094017094017095,-0.08045436339953405,0.005341207396140089,0.631661347397241,0.9666080843585237,0.00569,1.0894643545279383,0.4822286446469249,0.0395432801822323,0.045,0,0.0,0.0
weibo,gae,1,true_contam_05,0.1,1755,2347,2000,True,13.365603644646923,0.05014245014245014,0.03679320329374039,84.95612535612536,88.1435,-0.00029352183331562076,0.018475783475783474,-0.08045436339953405,0.005341207396140089,0.631661347397241,1.0544815465729351,0.00569,1.032541586073501,0.5002044419134396,0.009580865603644628,0.495,0,0.0,0.0
weibo,gae,1,true_contam_10,0.1,1755,2347,2000,True,13.365603644646923,0.10028490028490028,0.03232740835210886,86.04786324786325,88.1435,0.08558252722049169,0.04053703703703704,-0.08045436339953405,0.005341207396140089,0.631661347397241,0.4393673110720563,0.00569,0.95625311942959,0.5189165717539863,-0.013976082004555801,0.98,0,0.0,0.0
weibo,gae,1,random_full,0.1,4000,2347,2000,False,5.866033491627093,0.0,0.03266662063483406,88.43875,88.1435,-0.03176406302407469,0.016,-0.08045436339953405,0.005341207396140089,0.631661347397241,2.1999999999999997,0.0025,1.0384923534409516,0.5000736065983504,0.011323544113971518,0.49,19,0.2631578947368421,0.040345821325648415
