condition,seed,alpha,n_calib,m_test,m_1,pi_1,auroc,n_discoveries,realized_fdr,power,degree_match_ks_p
clean,0,0.1,2794,12206,750,0.061445190889726366,0.9999967411545624,839,0.10607866507747318,1.0,nan
clean,1,0.1,2839,12161,750,0.061672559822383025,0.9999948587620132,867,0.13494809688581316,1.0,nan
clean,2,0.1,2910,12090,750,0.062034739454094295,0.9999932980599647,871,0.13892078071182548,1.0,nan
clean,3,0.1,2900,12100,750,0.06198347107438017,0.9999963582966226,845,0.11242603550295859,1.0,nan
clean,4,0.1,2860,12140,750,0.06177924217462932,0.9999974246414984,834,0.10071942446043165,1.0,nan
clean,5,0.1,2813,12187,750,0.06154098629687372,0.999990323802862,874,0.14187643020594964,1.0,nan
clean,6,0.1,2886,12114,750,0.06191183754333829,0.9999975360788455,874,0.14187643020594964,1.0,nan
clean,7,0.1,2908,12092,750,0.06202447899437645,0.9999996473285135,820,0.08536585365853659,1.0,nan
clean,8,0.1,2867,12133,750,0.061814885024313856,0.9999983601276757,893,0.1601343784994401,1.0,nan
clean,9,0.1,2848,12152,750,0.061718235681369325,0.9999927498099749,872,0.13990825688073394,1.0,nan
clean,10,0.1,2910,12090,750,0.062034739454094295,0.9999975308641975,949,0.20969441517386722,1.0,nan
clean,11,0.1,2972,12028,750,0.06235450615231127,0.9999890051427558,865,0.1329479768786127,1.0,nan
clean,12,0.1,2858,12142,750,0.0617690660517213,0.999999531835206,831,0.09747292418772563,1.0,nan
clean,13,0.1,2817,12183,750,0.061561191824673726,0.9999968512201521,971,0.22760041194644695,1.0,nan
clean,14,0.1,2800,12200,750,0.06147540983606557,0.9999946433770015,814,0.07862407862407862,1.0,nan
clean,15,0.1,2911,12089,750,0.06203987095706841,0.9999972954699121,852,0.11971830985915492,1.0,nan
clean,16,0.1,2981,12019,750,0.062401198103003576,0.9999985801757033,854,0.12177985948477751,1.0,nan
clean,17,0.1,2858,12142,750,0.0617690660517213,0.999997425093633,892,0.1591928251121076,1.0,nan
clean,18,0.1,2894,12106,750,0.061952750702131174,0.9999985910531878,824,0.08980582524271845,1.0,nan
clean,19,0.1,2903,12097,750,0.06199884268826982,0.9999983549249435,868,0.1359447004608295,1.0,nan
contaminated,0,0.1,2794,12206,750,0.061445190889726366,0.9999944134078212,841,0.10820451843043995,1.0,nan
contaminated,1,0.1,2839,12161,750,0.061672559822383025,0.9999974293810067,842,0.10926365795724466,1.0,nan
contaminated,2,0.1,2910,12090,750,0.062034739454094295,0.9999925925925925,835,0.10179640718562874,1.0,nan
contaminated,3,0.1,2900,12100,750,0.06198347107438017,0.9999967107195301,824,0.08980582524271845,1.0,nan
contaminated,4,0.1,2860,12140,750,0.06177924217462932,0.9999975417032485,844,0.11137440758293839,1.0,nan
contaminated,5,0.1,2813,12187,750,0.06154098629687372,0.999990323802862,809,0.07292954264524104,1.0,nan
contaminated,6,0.1,2886,12114,750,0.06191183754333829,0.999990613633697,823,0.08869987849331713,1.0,nan
contaminated,7,0.1,2908,12092,750,0.06202447899437645,0.9999996473285135,835,0.10179640718562874,1.0,nan
contaminated,8,0.1,2867,12133,750,0.061814885024313856,0.9999983601276757,860,0.12790697674418605,1.0,nan
contaminated,9,0.1,2848,12152,750,0.061718235681369325,0.9999929836870725,790,0.05063291139240506,1.0,nan
contaminated,10,0.1,2910,12090,750,0.062034739454094295,0.9999976484420929,862,0.12993039443155452,1.0,nan
contaminated,11,0.1,2972,12028,750,0.06235450615231127,0.9999983448601998,778,0.03598971722365039,1.0,nan
contaminated,12,0.1,2858,12142,750,0.0617690660517213,0.9999994147940074,791,0.051833122629582805,1.0,nan
