condition,seed,r,n1_r,n0_r,n_r,c_r,bh_threshold_at_r,dagger_satisfied
clean,0,1,732,0,732,0.976,43.67084078711986,True
clean,0,2,749,6,755,0.9986666666666667,87.34168157423971,True
clean,0,3,749,6,755,0.9986666666666667,131.01252236135957,True
clean,0,4,749,10,759,0.9986666666666667,174.68336314847943,True
clean,0,5,750,12,762,1.0,218.3542039355993,True
clean,0,7,750,42,792,1.0,305.695885509839,True
clean,0,10,750,46,796,1.0,436.7084078711986,True
clean,0,14,750,60,810,1.0,611.391771019678,True
clean,0,20,750,92,842,1.0,873.4168157423971,False
clean,0,27,750,129,879,1.0,1179.112701252236,False
clean,0,38,750,153,903,1.0,1659.4919499105545,False
clean,0,53,750,230,980,1.0,2314.5545617173525,False
clean,0,74,750,317,1067,1.0,3231.642218246869,False
clean,0,102,750,450,1200,1.0,4454.425760286225,False
clean,0,143,750,713,1463,1.0,6244.930232558139,False
clean,0,198,750,1033,1783,1.0,8646.826475849732,False
clean,0,276,750,1445,2195,1.0,12053.15205724508,False
clean,0,384,750,1971,2721,1.0,16769.602862254025,False
clean,0,535,750,2626,3376,1.0,23363.899821109124,False
clean,0,745,750,3659,4409,1.0,32534.776386404297,False
clean,0,1037,750,4955,5705,1.0,45286.66189624329,False
clean,0,1443,750,6498,7248,1.0,63017.023255813954,False
clean,0,2008,750,8698,9448,1.0,87691.04830053667,False
clean,0,2795,750,11456,12206,1.0,122060.0,False
clean,1,1,749,18,767,0.9986666666666667,42.82042253521127,True
clean,1,2,750,31,781,1.0,85.64084507042254,True
clean,1,3,750,34,784,1.0,128.4612676056338,True
clean,1,4,750,46,796,1.0,171.2816901408451,True
clean,1,5,750,55,805,1.0,214.10211267605635,True
clean,1,7,750,68,818,1.0,299.7429577464789,True
clean,1,10,750,83,833,1.0,428.2042253521127,True
clean,1,14,750,83,833,1.0,599.4859154929578,True
clean,1,20,750,117,867,1.0,856.4084507042254,True
clean,1,27,750,169,919,1.0,1156.1514084507041,False
clean,1,38,750,225,975,1.0,1627.176056338028,False
clean,1,53,750,342,1092,1.0,2269.4823943661972,False
clean,1,74,750,444,1194,1.0,3168.711267605634,False
clean,1,103,750,577,1327,1.0,4410.5035211267605,False
clean,1,144,750,762,1512,1.0,6166.140845070423,False
clean,1,201,750,994,1744,1.0,8606.904929577466,False
clean,1,279,750,1369,2119,1.0,11946.897887323943,False
clean,1,389,750,1863,2613,1.0,16657.144366197186,False
clean,1,542,750,2515,3265,1.0,23208.669014084506,False
clean,1,755,750,3448,4198,1.0,32329.419014084506,False
clean,1,1051,750,4880,5630,1.0,45004.26408450704,False
clean,1,1464,750,6495,7245,1.0,62689.09859154929,False
clean,1,2039,750,8714,9464,1.0,87310.84154929577,False
clean,1,2840,750,11411,12161,1.0,121610.0,False
clean,2,1,744,3,747,0.992,41.53211954654758,True
clean,2,2,750,14,764,1.0,83.06423909309515,True
clean,2,3,750,26,776,1.0,124.59635863964273,True
clean,2,4,750,26,776,1.0,166.1284781861903,True
clean,2,5,750,26,776,1.0,207.6605977327379,True
clean,2,7,750,37,787,1.0,290.72483682583305,True
clean,2,10,750,47,797,1.0,415.3211954654758,True
clean,2,14,750,68,818,1.0,581.4496736516661,True
clean,2,20,750,121,871,1.0,830.6423909309516,True
clean,2,28,750,163,913,1.0,1162.8993473033322,False
clean,2,39,750,224,974,1.0,1619.7526623153556,False
clean,2,54,750,283,1033,1.0,2242.734455513569,False
clean,2,75,750,344,1094,1.0,3114.9089659910683,False
clean,2,105,750,502,1252,1.0,4360.872552387496,False
clean,2,146,750,660,1410,1.0,6063.689453795946,False
clean,2,204,750,918,1668,1.0,8472.552387495705,False
clean,2,284,750,1315,2065,1.0,11795.121951219513,False
clean,2,396,750,1804,2554,1.0,16446.719340432843,False
clean,2,553,750,2452,3202,1.0,22967.262109240808,False
clean,2,770,750,3340,4090,1.0,31979.732050841638,False
clean,2,1074,750,4597,5347,1.0,44605.4963929921,False
clean,2,1498,750,6379,7129,1.0,62215.11508072827,False
clean,2,2088,750,8602,9352,1.0,86719.06561319134,False
clean,2,2911,750,11340,12090,1.0,120900.0,False
clean,3,1,739,1,740,0.9853333333333333,41.709755256807995,True
clean,3,2,750,13,763,1.0,83.41951051361599,True
clean,3,3,750,14,764,1.0,125.129265770424,True
clean,3,4,750,28,778,1.0,166.83902102723198,True
clean,3,5,750,31,781,1.0,208.54877628403997,True
clean,3,7,750,34,784,1.0,291.968286797656,True
clean,3,10,750,50,800,1.0,417.09755256807995,True
clean,3,14,750,63,813,1.0,583.936573595312,True
clean,3,20,750,95,845,1.0,834.1951051361599,True
clean,3,28,750,115,865,1.0,1167.873147190624,False
clean,3,39,750,139,889,1.0,1626.680455015512,False
clean,3,54,750,194,944,1.0,2252.326783867632,False
clean,3,75,750,332,1082,1.0,3128.2316442605998,False
clean,3,105,750,489,1239,1.0,4379.52430196484,False
clean,3,146,750,733,1483,1.0,6089.624267493968,False
clean,3,203,750,1029,1779,1.0,8467.080317132024,False
clean,3,284,750,1366,2116,1.0,11845.570492933472,False
clean,3,395,750,1859,2609,1.0,16475.35332643916,False
clean,3,551,750,2616,3366,1.0,22982.075146501207,False
clean,3,768,750,3566,4316,1.0,32033.092037228544,False
clean,3,1071,750,4728,5478,1.0,44671.14788004136,False
clean,3,1493,750,6300,7050,1.0,62272.66459841434,False
clean,3,2081,750,8615,9365,1.0,86798.00068941744,False
clean,3,2901,750,11350,12100,1.0,121000.0,False
clean,4,1,750,8,758,1.0,42.432715833624606,True
clean,4,2,750,15,765,1.0,84.86543166724921,True
clean,4,3,750,15,765,1.0,127.29814750087382,True
clean,4,4,750,38,788,1.0,169.73086333449842,True
clean,4,5,750,38,788,1.0,212.16357916812302,True
clean,4,7,750,50,800,1.0,297.0290108353722,True
clean,4,10,750,52,802,1.0,424.32715833624604,True
clean,4,14,750,61,811,1.0,594.0580216707444,True
clean,4,20,750,87,837,1.0,848.6543166724921,False
clean,4,28,750,129,879,1.0,1188.1160433414889,False
clean,4,38,750,186,936,1.0,1612.443201677735,False
clean,4,53,750,221,971,1.0,2248.933939182104,False
clean,4,75,750,354,1104,1.0,3182.4536875218455,False
clean,4,104,750,509,1259,1.0,4413.002446696959,False
clean,4,145,750,660,1410,1.0,6152.743795875567,False
clean,4,202,750,936,1686,1.0,8571.40859839217,False
clean,4,281,750,1296,2046,1.0,11923.593149248514,False
clean,4,391,750,1832,2582,1.0,16591.191890947222,False
clean,4,545,750,2519,3269,1.0,23125.83012932541,False
clean,4,759,750,3315,4065,1.0,32206.43131772108,False
clean,4,1058,750,4529,5279,1.0,44893.81335197484,False
clean,4,1474,750,6202,6952,1.0,62545.82313876267,False
clean,4,2054,750,8661,9411,1.0,87156.79832226493,False
clean,4,2861,750,11390,12140,1.0,121400.0,False
clean,5,1,750,11,761,1.0,43.308457711442784,True
clean,5,2,750,17,767,1.0,86.61691542288557,True
clean,5,3,750,23,773,1.0,129.92537313432837,True
clean,5,4,750,26,776,1.0,173.23383084577114,True
clean,5,5,750,27,777,1.0,216.54228855721394,True
clean,5,7,750,30,780,1.0,303.1592039800995,True
clean,5,10,750,49,799,1.0,433.0845771144279,True
clean,5,14,750,89,839,1.0,606.318407960199,True
clean,5,20,750,124,874,1.0,866.1691542288557,True
clean,5,27,750,183,933,1.0,1169.3283582089553,False
clean,5,38,750,245,995,1.0,1645.721393034826,False
clean,5,53,750,331,1081,1.0,2295.3482587064677,False
clean,5,74,750,491,1241,1.0,3204.8258706467664,False
clean,5,103,750,603,1353,1.0,4460.771144278608,False
clean,5,143,750,799,1549,1.0,6193.109452736318,False
clean,5,199,750,994,1744,1.0,8618.383084577115,False
clean,5,278,750,1381,2131,1.0,12039.751243781095,False
clean,5,386,750,1870,2620,1.0,16717.064676616916,False
clean,5,538,750,2480,3230,1.0,23299.95024875622,False
clean,5,749,750,3369,4119,1.0,32438.034825870647,False
clean,5,1043,750,4705,5455,1.0,45170.72139303482,False
clean,5,1452,750,6334,7084,1.0,62883.880597014926,False
clean,5,2021,750,8424,9174,1.0,87526.39303482587,False
clean,5,2814,750,11437,12187,1.0,121870.0,False
clean,6,1,686,0,686,0.9146666666666666,41.96051264288189,True
clean,6,2,741,0,741,0.988,83.92102528576378,True
clean,6,3,748,6,754,0.9973333333333333,125.88153792864566,True
clean,6,4,750,7,757,1.0,167.84205057152755,True
clean,6,5,750,12,762,1.0,209.80256321440942,True
clean,6,7,750,29,779,1.0,293.72358850017315,True
clean,6,10,750,53,803,1.0,419.60512642881883,True
clean,6,14,750,91,841,1.0,587.4471770003463,True
clean,6,20,750,124,874,1.0,839.2102528576377,True
clean,6,28,750,158,908,1.0,1174.8943540006926,False
clean,6,39,750,211,961,1.0,1636.4599930723934,False
clean,6,54,750,259,1009,1.0,2265.867682715622,False
clean,6,75,750,352,1102,1.0,3147.038448216141,False
clean,6,104,750,480,1230,1.0,4363.893314859716,False
clean,6,145,750,691,1441,1.0,6084.274333217873,False
clean,6,203,750,923,1673,1.0,8517.984066505021,False
clean,6,283,750,1302,2052,1.0,11874.825077935573,False
clean,6,394,750,1832,2582,1.0,16532.441981295462,False
clean,6,549,750,2431,3181,1.0,23036.321440942153,False
clean,6,765,750,3349,4099,1.0,32099.792171804642,False
clean,6,1066,750,4576,5326,1.0,44729.90647731209,False
clean,6,1486,750,6185,6935,1.0,62353.32178732248,False
clean,6,2071,750,8539,9289,1.0,86900.22168340838,False
clean,6,2887,750,11364,12114,1.0,121140.0,False
clean,7,1,750,2,752,1.0,41.56754898590581,True
clean,7,2,750,6,756,1.0,83.13509797181162,True
clean,7,3,750,8,758,1.0,124.70264695771742,True
clean,7,4,750,22,772,1.0,166.27019594362324,True
clean,7,5,750,27,777,1.0,207.83774492952904,True
clean,7,7,750,29,779,1.0,290.97284290134064,True
clean,7,10,750,35,785,1.0,415.6754898590581,True
clean,7,14,750,45,795,1.0,581.9456858026813,True
clean,7,20,750,74,824,1.0,831.3509797181162,False
clean,7,28,750,120,870,1.0,1163.8913716053626,False
clean,7,39,750,174,924,1.0,1621.1344104503266,False
clean,7,54,750,232,982,1.0,2244.647645238914,False
clean,7,75,750,320,1070,1.0,3117.5661739429356,False
clean,7,105,750,485,1235,1.0,4364.59264352011,False
clean,7,146,750,651,1401,1.0,6068.862151942249,False
clean,7,204,750,916,1666,1.0,8479.779993124786,False
clean,7,284,750,1220,1970,1.0,11805.18391199725,False
clean,7,396,750,1753,2503,1.0,16460.7493984187,False
clean,7,552,750,2391,3141,1.0,22945.28704022001,False
clean,7,770,750,3152,3902,1.0,32007.01271914747,False
clean,7,1073,750,4515,5265,1.0,44601.98006187693,False
clean,7,1497,750,6167,6917,1.0,62226.620831901,False
clean,7,2087,750,8518,9268,1.0,86751.47473358542,False
clean,7,2909,750,11342,12092,1.0,120920.0,False
clean,8,1,750,29,779,1.0,42.3047419804742,True
clean,8,2,750,30,780,1.0,84.6094839609484,True
clean,8,3,750,38,788,1.0,126.91422594142259,True
clean,8,4,750,45,795,1.0,169.2189679218968,True
clean,8,5,750,53,803,1.0,211.523709902371,True
clean,8,7,750,60,810,1.0,296.1331938633194,True
clean,8,10,750,94,844,1.0,423.047419804742,True
clean,8,14,750,107,857,1.0,592.2663877266388,True
clean,8,20,750,140,890,1.0,846.094839609484,True
clean,8,28,750,180,930,1.0,1184.5327754532775,False
clean,8,38,750,228,978,1.0,1607.5801952580196,False
clean,8,54,750,280,1030,1.0,2284.456066945607,False
clean,8,75,750,341,1091,1.0,3172.855648535565,False
clean,8,104,750,480,1230,1.0,4399.693165969316,False
clean,8,145,750,696,1446,1.0,6134.187587168759,False
clean,8,202,750,1024,1774,1.0,8545.557880055789,False
clean,8,281,750,1419,2169,1.0,11887.63249651325,False
clean,8,392,750,1904,2654,1.0,16583.458856345886,False
clean,8,546,750,2573,3323,1.0,23098.38912133891,False
clean,8,761,750,3473,4223,1.0,32193.908647140863,False
clean,8,1060,750,4790,5540,1.0,44843.02649930265,False
clean,8,1477,750,6489,7239,1.0,62484.103905160395,False
clean,8,2058,750,8755,9505,1.0,87063.1589958159,False
clean,8,2868,750,11383,12133,1.0,121330.0,False
clean,9,1,749,5,754,0.9986666666666667,42.65356265356265,True
clean,9,2,749,7,756,0.9986666666666667,85.3071253071253,True
clean,9,3,749,10,759,0.9986666666666667,127.96068796068796,True
clean,9,4,750,19,769,1.0,170.6142506142506,True
clean,9,5,750,25,775,1.0,213.26781326781327,True
clean,9,7,750,48,798,1.0,298.5749385749386,True
clean,9,10,750,69,819,1.0,426.53562653562653,True
clean,9,14,750,73,823,1.0,597.1498771498772,True
clean,9,20,750,122,872,1.0,853.0712530712531,True
clean,9,28,750,168,918,1.0,1194.2997542997543,False
clean,9,38,750,220,970,1.0,1620.8353808353809,False
clean,9,53,750,294,1044,1.0,2260.6388206388206,False
clean,9,74,750,405,1155,1.0,3156.3636363636365,False
clean,9,104,750,514,1264,1.0,4435.970515970516,False
clean,9,144,750,725,1475,1.0,6142.1130221130215,False
clean,9,201,750,1008,1758,1.0,8573.366093366094,False
clean,9,280,750,1414,2164,1.0,11942.997542997542,False
clean,9,390,750,1972,2722,1.0,16634.889434889432,False
clean,9,543,750,2721,3471,1.0,23160.884520884523,False
clean,9,757,750,3675,4425,1.0,32288.74692874693,False
clean,9,1054,750,4868,5618,1.0,44956.85503685504,False
clean,9,1468,750,6575,7325,1.0,62615.42997542997,False
clean,9,2045,750,8750,9500,1.0,87226.53562653562,False
clean,9,2849,750,11402,12152,1.0,121520.0,False
clean,10,1,747,1,748,0.996,41.53211954654758,True
clean,10,2,749,6,755,0.9986666666666667,83.06423909309515,True
clean,10,3,750,21,771,1.0,124.59635863964273,True
clean,10,4,750,43,793,1.0,166.1284781861903,True
clean,10,5,750,49,799,1.0,207.6605977327379,True
clean,10,7,750,116,866,1.0,290.72483682583305,True
clean,10,10,750,133,883,1.0,415.3211954654758,True
clean,10,14,750,164,914,1.0,581.4496736516661,True
clean,10,20,750,195,945,1.0,830.6423909309516,True
clean,10,28,750,222,972,1.0,1162.8993473033322,False
clean,10,39,750,288,1038,1.0,1619.7526623153556,False
clean,10,54,750,385,1135,1.0,2242.734455513569,False
clean,10,75,750,481,1231,1.0,3114.9089659910683,False
clean,10,105,750,588,1338,1.0,4360.872552387496,False
clean,10,146,750,815,1565,1.0,6063.689453795946,False
clean,10,204,750,1084,1834,1.0,8472.552387495705,False
clean,10,284,750,1368,2118,1.0,11795.121951219513,False
