dataset,detector,seed,beta,alpha,n_calib,m_test,n_null,spearman_score_degree,n_discoveries,realized_fdr,power,gamma_hat,gamma_at_bh,mean_p,ks_uniform,mean_p_null_p,q_is_monotone,q_kendall_tau,gamma_t0.03731,n_below_t0.03731,gamma_t0.0522,n_below_t0.0522,gamma_t0.07304,n_below_t0.07304,gamma_t0.10218,n_below_t0.10218,gamma_t0.14295,n_below_t0.14295,gamma_t0.2,n_below_t0.2,gamma_t_lo,t_lo
amazon,dominant_pygod,0,-0.5,0.1,267,5821,5000,0.9342689015839943,3546,0.9108855047941342,0.3848964677222899,3.369490909090909,10.60452904681331,0.1223313432835821,0.5848,0.0,True,-0.9211323729436766,15.641919056553203,2918,11.68199233716475,3049,8.962212486308871,3273,6.776277157956547,3462,5.189227002448409,3709,3.951,3951,15.641919056553203,0.03731
amazon,dominant_pygod,0,0.0,0.1,267,5821,5000,0.917662252220074,3426,0.9030939871570345,0.4043848964677223,3.3329454545454547,10.513820198482195,0.13135746268656717,0.5745313432835821,0.0,True,-0.9211323729436766,15.792012865183594,2946,11.605363984674328,3029,8.923877327491788,3259,6.776277157956547,3462,5.130465197621547,3667,3.932,3932,15.792012865183594,0.03731
amazon,dominant_pygod,0,0.5,0.1,267,5821,5000,0.8834915443457668,3460,0.8696531791907515,0.5493300852618758,3.1494060606060605,10.124502312138729,0.15401268656716421,0.5350119402985074,0.0,True,-0.9211323729436766,14.467971053336905,2699,11.283524904214557,2945,8.496714129244252,3103,6.355451164611469,3247,4.825463448758307,3449,3.759,3759,14.467971053336905,0.03731
amazon,dominant_pygod,0,0.75,0.1,267,5821,5000,0.8470843220436693,2734,0.865764447695684,0.4470158343483557,3.0543878787878787,10.079229700073151,0.17994850746268656,0.5059313432835821,0.0,True,-0.9211323729436766,11.535781291878852,2152,9.084291187739463,2371,7.664293537787514,2799,5.825014679976511,2976,4.53305351521511,3240,3.6209999999999996,3621,11.535781291878852,0.03731
amazon,dominant_pygod,0,1.0,0.1,267,5821,5000,0.7752259835041992,0,0.0,0.0,2.8684121212121214,nan,0.22116865671641794,0.46013134328358213,0.0,True,-0.9211323729436766,4.674350040203699,872,6.363984674329501,1661,5.457283680175247,1993,4.619299275787825,2360,4.041972717733473,2889,3.272,3272,4.674350040203699,0.03731
amazon,dominant_pygod,0,1.25,0.1,267,5821,5000,0.6425112732899494,0,0.0,0.0,2.6134060606060605,nan,0.2827298507462686,0.4140179104477612,0.0,True,-0.9211323729436766,0.1179308496381667,22,0.7547892720306513,197,0.9255202628696605,338,1.5971814445096888,816,3.031829310947884,2167,2.812,2812,0.1179308496381667,0.03731
amazon,dominant_pygod,0,1.5,0.1,267,5821,5000,0.4796421276062351,0,0.0,0.0,2.0186816901408453,nan,0.35612089552238807,0.31551044776119397,0.0,True,-0.9211323729436766,0.07504690431519699,14,0.10727969348659003,28,0.1067907995618839,39,0.1663730671364259,85,0.5624344176285415,402,1.6489999999999998,1649,0.07504690431519699,0.03731
amazon,dominant_pygod,0,2.0,0.1,267,5821,5000,-0.02313802577776727,0,0.0,0.0,0.6876,nan,0.5872149253731344,-0.1562,1.0,True,-0.9211323729436766,0.07504690431519699,14,0.09195402298850573,24,0.09036144578313254,33,0.11156782149148561,57,0.11892270024484086,85,0.159,159,0.07504690431519699,0.03731
amazon,dominant_pygod,0,2.5,0.1,267,5821,5000,-0.6102678646340524,0,0.0,0.0,0.28412030075187966,nan,0.7902380597014926,-0.2094686567164179,1.0,True,-0.9211323729436766,0.06432591798445456,12,0.07662835249042145,20,0.09036144578313254,33,0.09590917987864551,49,0.09793634137810424,70,0.10099999999999999,101,0.06432591798445456,0.03731
amazon,dominant_pygod,0,3.0,0.1,267,5821,5000,-0.8456180672075602,0,0.0,0.0,0.17807603305785122,nan,0.8546179104477611,-0.21486865671641792,1.0,True,-0.9211323729436766,0.05360493165371214,10,0.07279693486590037,19,0.08214676889375686,30,0.08416519866901545,43,0.09653725078698847,69,0.08999999999999998,90,0.05360493165371214,0.03731
amazon,dominant_pygod,1,-0.5,0.1,267,5821,5000,0.9341928399535459,3529,0.9084726551431,0.3934226552984166,3.341878787878788,10.57643865117597,0.1288455223880597,0.5767313432835821,0.0,True,-0.9211323729436766,15.81345483784508,2950,11.582375478927203,3023,8.874589266155532,3241,6.842826384811118,3496,5.1276670164393146,3665,3.9,3900,15.81345483784508,0.03731
amazon,dominant_pygod,1,0.0,0.1,267,5821,5000,0.917625096986629,3488,0.8970756880733946,0.43727161997563946,3.2322424242424246,10.443755160550458,0.14072164179104477,0.5518,0.0,True,-0.9211323729436766,15.545430179576519,2900,11.64750957854406,3040,8.732201533406354,3189,6.7234292425132125,3435,5.049317943336831,3609,3.8779999999999997,3878,15.545430179576519,0.03731
