dataset,detector,seed,beta,alpha,n_calib,m_test,n_null,spearman_score_degree,n_discoveries,realized_fdr,power,gamma_hat,gamma_at_bh,mean_p,ks_uniform,mean_p_null_p,q_is_monotone,q_kendall_tau,gamma_t0.001,n_below_t0.001,gamma_t0.002,n_below_t0.002,gamma_t0.005,n_below_t0.005,gamma_t0.01,n_below_t0.01,gamma_t0.02,n_below_t0.02,gamma_t0.05,n_below_t0.05
amazon,dominant_pygod,0,-0.5,0.1,267,5821,5000,0.9342688307559237,3546,0.9108855047941342,0.3848964677222899,3.369490909090909,10.60452904681331,0.12232835820895525,0.5848,0.0,True,-0.9211323729436766,0.0,0,0.0,0,81.88,2047,42.38,2119,27.08,2708,12.196,3049
amazon,dominant_pygod,0,-0.25,0.1,267,5821,5000,0.9269866254646882,3391,0.9112356237098201,0.36662606577344703,3.368678787878788,10.608605131229725,0.12621417910447763,0.583331343283582,0.0,True,-0.9211323729436766,0.0,0,0.0,0,80.88,2022,42.44,2122,26.419999999999998,2642,12.188,3047
amazon,dominant_pygod,0,0.0,0.1,267,5821,5000,0.9176619599852482,3426,0.9030939871570345,0.4043848964677223,3.3329454545454547,10.513820198482195,0.13135522388059703,0.5745313432835821,0.0,True,-0.9211323729436766,0.0,0,0.0,0,80.0,2000,42.36,2118,25.75,2575,12.116,3029
amazon,dominant_pygod,0,0.25,0.1,267,5821,5000,0.9043826286796177,3443,0.8934069125762416,0.4470158343483557,3.264727272727273,10.401043276212604,0.13932164179104478,0.5588,0.0,True,-0.9211323729436766,0.0,0,0.0,0,78.08,1952,42.32,2116,26.290000000000003,2629,12.012,3003
amazon,dominant_pygod,0,0.5,0.1,267,5821,5000,0.8834900633567561,3460,0.8696531791907515,0.5493300852618758,3.1494060606060605,10.124502312138729,0.15401119402985075,0.5350119402985074,0.0,True,-0.9211323729436766,0.0,0,0.0,0,76.03999999999999,1901,42.559999999999995,2128,22.91,2291,11.78,2945
amazon,dominant_pygod,0,0.75,0.1,267,5821,5000,0.8470817239026227,2734,0.865764447695684,0.4470158343483557,3.0543878787878787,10.079229700073151,0.17994477611940296,0.5059313432835821,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.76,19,24.88,1244,18.33,1833,9.484,2371
amazon,dominant_pygod,0,1.0,0.1,267,5821,5000,0.7752167628797082,0,0.0,0.0,2.8684121212121214,nan,0.22116791044776118,0.46013134328358213,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,0.0,0,0.72,72,6.643999999999999,1661
amazon,dominant_pygod,0,1.25,0.1,267,5821,5000,0.6424929988891417,0,0.0,0.0,2.6134060606060605,nan,0.28272089552238805,0.4140179104477612,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,0.0,0,0.05999999999999999,6,0.7879999999999999,197
amazon,dominant_pygod,0,1.5,0.1,267,5821,5000,0.47961494194853005,0,0.0,0.0,2.0186816901408453,nan,0.3561097014925373,0.31551044776119397,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,0.0,0,0.05999999999999999,6,0.11199999999999999,28
amazon,dominant_pygod,1,-0.5,0.1,267,5821,5000,0.9341914539338814,3529,0.9084726551431,0.3934226552984166,3.341878787878788,10.57643865117597,0.12884328358208955,0.5767313432835821,0.0,True,-0.9211323729436766,0.0,0,0.0,0,83.04,2076,45.22,2261,26.77,2677,12.092,3023
amazon,dominant_pygod,1,-0.25,0.1,267,5821,5000,0.926920401611242,3420,0.9052631578947369,0.3946406820950061,3.306145454545455,10.539073684210525,0.13392089552238806,0.569868656716418,0.0,True,-0.9211323729436766,0.0,0,0.0,0,82.64,2066,45.6,2280,26.06,2606,12.136,3034
amazon,dominant_pygod,1,0.0,0.1,267,5821,5000,0.9176229663529851,3488,0.8970756880733946,0.43727161997563946,3.2322424242424246,10.443755160550458,0.14072089552238806,0.5518,0.0,True,-0.9211323729436766,0.0,0,0.0,0,81.52,2038,46.0,2300,25.569999999999997,2557,12.159999999999998,3040
amazon,dominant_pygod,1,0.25,0.1,267,5821,5000,0.9042505811502332,3443,0.8875980249782167,0.4713763702801462,3.2086909090909095,10.333416206796398,0.15097462686567165,0.5439313432835822,0.0,True,-0.9211323729436766,0.0,0,0.0,0,72.08,1802,40.019999999999996,2001,23.97,2397,11.692,2923
amazon,dominant_pygod,1,0.5,0.1,267,5821,5000,0.8831388215360582,3300,0.8721212121212121,0.5140073081607796,3.077939393939394,10.153235151515151,0.1674679104477612,0.5197432835820895,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.8,20,39.62,1981,22.52,2252,11.18,2795
amazon,dominant_pygod,1,0.75,0.1,267,5821,5000,0.8469209803968559,2589,0.8690614136732329,0.41291108404384896,2.969927272727273,10.117612977983777,0.1940507462686567,0.48513134328358215,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,2.16,108,15.379999999999999,1538,9.379999999999999,2345
amazon,dominant_pygod,1,1.0,0.1,267,5821,5000,0.7765203268108933,0,0.0,0.0,2.8107515151515154,nan,0.23480597014925375,0.44593134328358214,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,0.0,0,0.52,52,6.319999999999999,1580
amazon,dominant_pygod,1,1.25,0.1,267,5821,5000,0.6464493698308097,0,0.0,0.0,2.549248484848485,nan,0.2971753731343284,0.3912865671641791,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,0.0,0,0.02,2,0.728,182
amazon,dominant_pygod,1,1.5,0.1,267,5821,5000,0.4858374292302346,0,0.0,0.0,1.9102790697674419,nan,0.37268880597014925,0.2922597014925373,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.13199999999999998,33
amazon,dominant_pygod,2,-0.5,0.1,267,5821,5000,0.9348255157626523,3420,0.9114035087719298,0.3690621193666261,3.3240121212121214,10.610559649122806,0.1284686567164179,0.5723313432835822,0.0,True,-0.9211323729436766,0.0,0,0.0,0,81.12,2028,42.36,2118,26.81,2681,11.975999999999999,2994
amazon,dominant_pygod,2,-0.25,0.1,267,5821,5000,0.9278038067099299,3315,0.9110105580693816,0.35931790499390986,3.326448484848485,10.605984917043742,0.1326134328358209,0.576,0.0,True,-0.9211323729436766,0.0,0,0.0,0,80.28,2007,42.32,2116,26.340000000000003,2634,11.972,2993
amazon,dominant_pygod,2,0.0,0.1,267,5821,5000,0.9188506587579252,3346,0.9031679617453676,0.3946406820950061,3.279345454545455,10.51468141063957,0.13824552238805968,0.561331343283582,0.0,True,-0.9211323729436766,0.0,0,0.0,0,79.2,1980,42.24,2112,25.819999999999997,2582,11.843999999999998,2961
amazon,dominant_pygod,2,0.25,0.1,267,5821,5000,0.9061133992570466,3346,0.8936043036461446,0.4336175395858709,3.245236363636364,10.403341303048414,0.14640970149253732,0.5529313432835821,0.0,True,-0.9211323729436766,0.0,0,0.0,0,77.68,1942,42.099999999999994,2105,26.35,2635,11.632,2908
amazon,dominant_pygod,2,0.5,0.1,267,5821,5000,0.8861137501723528,3382,0.8704908338261383,0.5334957369062119,3.103927272727273,10.134254287403902,0.16085522388059703,0.5274746268656716,0.0,True,-0.9211323729436766,0.0,0,0.0,0,76.0,1900,42.120000000000005,2106,25.430000000000003,2543,11.591999999999999,2898
amazon,dominant_pygod,2,0.75,0.1,267,5821,5000,0.8514368428982778,2629,0.8733358691517688,0.4056029232643118,3.009721212121212,10.167376188664889,0.1868410447761194,0.49493134328358207,0.0,True,-0.9211323729436766,0.0,0,0.0,0,47.68,1192,24.14,1207,18.43,1843,9.624,2406
amazon,dominant_pygod,2,1.0,0.1,267,5821,5000,0.7840817026268384,0,0.0,0.0,2.8221212121212123,nan,0.22912910447761195,0.4516,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,0.05999999999999999,3,1.5699999999999998,157,7.068,1767
amazon,dominant_pygod,2,1.25,0.1,267,5821,5000,0.6590007209053275,0,0.0,0.0,2.5768606060606065,nan,0.29214850746268656,0.39414925373134335,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,0.0,0,0.05,5,0.8599999999999999,215
amazon,dominant_pygod,2,1.5,0.1,267,5821,5000,0.49845313908877076,0,0.0,0.0,1.960122222222222,nan,0.36680522388059705,0.2963791044776119,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,0.0,0,0.04,4,0.12399999999999999,31
amazon,dominant_pygod,3,-0.5,0.1,267,5821,5000,0.9345128871692729,3569,0.9097786494816475,0.392204628501827,3.3556848484848487,10.591643037265339,0.12577462686567165,0.5801313432835822,0.0,True,-0.9211323729436766,0.0,0,0.0,0,90.03999999999999,2251,48.66,2433,27.08,2708,12.664,3166
amazon,dominant_pygod,3,-0.25,0.1,267,5821,5000,0.9272492655287194,3581,0.9033789444289305,0.42143727161997563,3.345939393939394,10.517137671041608,0.1303044776119403,0.577731343283582,0.0,True,-0.9211323729436766,0.0,0,0.0,0,89.96,2249,49.08,2454,26.429999999999996,2643,12.312,3078
amazon,dominant_pygod,3,0.0,0.1,267,5821,5000,0.9179953459670911,3607,0.8954810091488772,0.4591961023142509,3.2964,10.425189908511229,0.1360768656716418,0.565531343283582,0.0,True,-0.9211323729436766,0.0,0,0.0,0,90.0,2250,49.84,2492,25.709999999999997,2571,12.223999999999998,3056
amazon,dominant_pygod,3,0.25,0.1,267,5821,5000,0.9048174077512879,3531,0.8875672613990371,0.4835566382460414,3.2338666666666667,10.33305805720759,0.14475,0.5501313432835822,0.0,True,-0.9211323729436766,0.0,0,0.0,0,90.24,2256,48.16,2408,26.119999999999997,2612,11.975999999999999,2994
amazon,dominant_pygod,3,0.5,0.1,267,5821,5000,0.8840308178987487,3479,0.8631790744466801,0.5797807551766139,3.1477818181818185,10.049130784708248,0.16023059701492537,0.528931343283582,0.0,True,-0.9211323729436766,0.0,0,0.0,0,87.72,2193,45.08,2254,25.929999999999996,2593,11.208,2802
amazon,dominant_pygod,3,0.75,0.1,267,5821,5000,0.8476655216549095,2709,0.8722775932078257,0.42143727161997563,2.9918545454545455,10.155055740125507,0.18695746268656716,0.4905313432835821,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.4799999999999999,12,22.06,1103,20.21,2021,9.612,2403
amazon,dominant_pygod,3,1.0,0.1,267,5821,5000,0.7758058077821155,0,0.0,0.0,2.8213090909090908,nan,0.22937089552238804,0.44873731343283585,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,0.0,0,0.33,33,6.3999999999999995,1600
amazon,dominant_pygod,3,1.25,0.1,267,5821,5000,0.6407126870739464,0,0.0,0.0,2.5736121212121215,nan,0.2920582089552239,0.39261791044776123,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,0.0,0,0.029999999999999995,3,0.6639999999999999,166
amazon,dominant_pygod,3,1.5,0.1,267,5821,5000,0.47417383916111594,0,0.0,0.0,1.958716049382716,nan,0.36684626865671643,0.2943791044776119,0.0,True,-0.9211323729436766,0.0,0,0.0,0,0.0,0,0.0,0,0.02,2,0.108,27
amazon,dominant_pygod,4,-0.5,0.1,267,5821,5000,0.9352752972616762,3491,0.9132053852764251,0.3690621193666261,3.361369696969697,10.63153709538814,0.12624850746268657,0.581531343283582,0.0,True,-0.9211323729436766,0.0,0,0.0,0,82.08,2052,43.68,2184,27.38,2738,11.999999999999998,3000
