condition,seed,alpha,n_calib,n_discoveries,realized_fdr,power
clean,0,0.1,2794,48,0.0625,0.06
clean,1,0.1,2839,204,0.1568627450980392,0.22933333333333333
clean,2,0.1,2910,176,0.14772727272727273,0.2
clean,3,0.1,2900,111,0.09009009009009009,0.13466666666666666
clean,4,0.1,2860,46,0.043478260869565216,0.058666666666666666
clean,5,0.1,2813,217,0.15668202764976957,0.244
clean,6,0.1,2886,0,0.0,0.0
clean,7,0.1,2908,135,0.05925925925925926,0.16933333333333334
clean,8,0.1,2867,268,0.16791044776119404,0.29733333333333334
clean,9,0.1,2848,109,0.09174311926605505,0.132
clean,10,0.1,2910,211,0.16587677725118483,0.23466666666666666
clean,11,0.1,2972,90,0.05555555555555555,0.11333333333333333
clean,12,0.1,2858,179,0.1005586592178771,0.21466666666666667
clean,13,0.1,2817,159,0.18867924528301888,0.172
clean,14,0.1,2800,72,0.013888888888888888,0.09466666666666666
clean,15,0.1,2911,212,0.14622641509433962,0.24133333333333334
clean,16,0.1,2981,297,0.23905723905723905,0.30133333333333334
clean,17,0.1,2858,108,0.07407407407407407,0.13333333333333333
clean,18,0.1,2894,106,0.05660377358490566,0.13333333333333333
clean,19,0.1,2903,47,0.06382978723404255,0.058666666666666666
clean,20,0.1,2944,281,0.19217081850533807,0.30266666666666664
clean,21,0.1,2840,106,0.08490566037735849,0.12933333333333333
clean,22,0.1,2745,117,0.08547008547008547,0.14266666666666666
clean,23,0.1,2826,173,0.11560693641618497,0.204
clean,24,0.1,2927,208,0.10096153846153846,0.24933333333333332
clean,25,0.1,2918,79,0.0759493670886076,0.09733333333333333
clean,26,0.1,2852,92,0.043478260869565216,0.11733333333333333
clean,27,0.1,2922,51,0.0,0.068
clean,28,0.1,2963,122,0.08196721311475409,0.14933333333333335
clean,29,0.1,2878,101,0.04950495049504951,0.128
clean,30,0.1,2796,61,0.01639344262295082,0.08
clean,31,0.1,2848,180,0.13333333333333333,0.208
clean,32,0.1,2866,56,0.03571428571428571,0.072
clean,33,0.1,2908,277,0.18772563176895307,0.3
clean,34,0.1,2814,56,0.0,0.07466666666666667
clean,35,0.1,2907,56,0.0,0.07466666666666667
clean,36,0.1,2873,0,0.0,0.0
clean,37,0.1,2855,148,0.10135135135135136,0.17733333333333334
clean,38,0.1,2879,204,0.16176470588235295,0.228
clean,39,0.1,2940,0,0.0,0.0
contaminated,0,0.1,2794,71,0.08450704225352113,0.08666666666666667
contaminated,1,0.1,2839,191,0.13089005235602094,0.22133333333333333
contaminated,2,0.1,2910,90,0.06666666666666667,0.112
contaminated,3,0.1,2900,86,0.03488372093023256,0.11066666666666666
contaminated,4,0.1,2860,145,0.1310344827586207,0.168
contaminated,5,0.1,2813,176,0.11931818181818182,0.20666666666666667
contaminated,6,0.1,2886,128,0.0546875,0.16133333333333333
contaminated,7,0.1,2908,101,0.04950495049504951,0.128
contaminated,8,0.1,2867,256,0.16015625,0.2866666666666667
contaminated,9,0.1,2848,0,0.0,0.0
contaminated,10,0.1,2910,140,0.11428571428571428,0.16533333333333333
contaminated,11,0.1,2972,91,0.06593406593406594,0.11333333333333333
contaminated,12,0.1,2858,53,0.0,0.07066666666666667
contaminated,13,0.1,2817,0,0.0,0.0
contaminated,14,0.1,2800,143,0.07692307692307693,0.176
contaminated,15,0.1,2911,99,0.08080808080808081,0.12133333333333333
contaminated,16,0.1,2981,179,0.15083798882681565,0.20266666666666666
contaminated,17,0.1,2858,136,0.08823529411764706,0.16533333333333333
contaminated,18,0.1,2894,65,0.015384615384615385,0.08533333333333333
contaminated,19,0.1,2903,53,0.07547169811320754,0.06533333333333333
contaminated,20,0.1,2944,0,0.0,0.0
contaminated,21,0.1,2840,59,0.05084745762711865,0.07466666666666667
contaminated,22,0.1,2745,112,0.08035714285714286,0.13733333333333334
contaminated,23,0.1,2826,126,0.07936507936507936,0.15466666666666667
contaminated,24,0.1,2927,139,0.04316546762589928,0.17733333333333334
contaminated,25,0.1,2918,69,0.07246376811594203,0.08533333333333333
contaminated,26,0.1,2852,96,0.052083333333333336,0.12133333333333333
contaminated,27,0.1,2922,146,0.1232876712328767,0.17066666666666666
contaminated,28,0.1,2963,143,0.11188811188811189,0.16933333333333334
contaminated,29,0.1,2878,199,0.135678391959799,0.22933333333333333
contaminated,30,0.1,2796,233,0.1630901287553648,0.26
contaminated,31,0.1,2848,148,0.08108108108108109,0.18133333333333335
contaminated,32,0.1,2866,0,0.0,0.0
contaminated,33,0.1,2908,297,0.20202020202020202,0.316
contaminated,34,0.1,2814,145,0.1310344827586207,0.168
contaminated,35,0.1,2907,101,0.07920792079207921,0.124
contaminated,36,0.1,2873,145,0.11724137931034483,0.17066666666666666
contaminated,37,0.1,2855,0,0.0,0.0
contaminated,38,0.1,2879,102,0.058823529411764705,0.128
contaminated,39,0.1,2940,179,0.13966480446927373,0.20533333333333334
adversarial,0,0.1,2794,164,0.12804878048780488,0.19066666666666668
adversarial,1,0.1,2839,0,0.0,0.0
adversarial,2,0.1,2910,135,0.1111111111111111,0.16
adversarial,3,0.1,2900,86,0.03488372093023256,0.11066666666666666
adversarial,4,0.1,2860,162,0.15432098765432098,0.18266666666666667
adversarial,5,0.1,2813,163,0.09815950920245399,0.196
adversarial,6,0.1,2886,168,0.1130952380952381,0.19866666666666666
adversarial,7,0.1,2908,143,0.06993006993006994,0.17733333333333334
adversarial,8,0.1,2867,226,0.13716814159292035,0.26
adversarial,9,0.1,2848,89,0.056179775280898875,0.112
adversarial,10,0.1,2910,128,0.109375,0.152
adversarial,11,0.1,2972,134,0.1417910447761194,0.15333333333333332
adversarial,12,0.1,2858,130,0.07692307692307693,0.16
adversarial,13,0.1,2817,0,0.0,0.0
adversarial,14,0.1,2800,177,0.12429378531073447,0.20666666666666667
adversarial,15,0.1,2911,93,0.06451612903225806,0.116
adversarial,16,0.1,2981,126,0.07936507936507936,0.15466666666666667
adversarial,17,0.1,2858,0,0.0,0.0
adversarial,18,0.1,2894,191,0.14659685863874344,0.21733333333333332
adversarial,19,0.1,2903,134,0.14925373134328357,0.152
adversarial,20,0.1,2944,0,0.0,0.0
adversarial,21,0.1,2840,96,0.07291666666666667,0.11866666666666667
adversarial,22,0.1,2745,225,0.1511111111111111,0.25466666666666665
adversarial,23,0.1,2826,120,0.075,0.148
adversarial,24,0.1,2927,152,0.046052631578947366,0.19333333333333333
