condition,seed,n_calib,n_discoveries,realized_fdr,power
clean,0,236,0,0.0,0.0
clean,1,236,0,0.0,0.0
clean,2,236,0,0.0,0.0
clean,3,236,0,0.0,0.0
clean,4,236,0,0.0,0.0
clean,5,236,0,0.0,0.0
clean,6,236,0,0.0,0.0
clean,7,236,0,0.0,0.0
clean,8,236,0,0.0,0.0
clean,9,236,0,0.0,0.0
clean,10,236,0,0.0,0.0
clean,11,236,0,0.0,0.0
clean,12,236,0,0.0,0.0
clean,13,236,0,0.0,0.0
clean,14,236,0,0.0,0.0
clean,15,236,0,0.0,0.0
clean,16,236,0,0.0,0.0
clean,17,236,0,0.0,0.0
clean,18,236,0,0.0,0.0
clean,19,236,0,0.0,0.0
contaminated,0,4000,79,0.13924050632911392,0.0828258221680877
contaminated,1,4000,68,0.07352941176470588,0.07673568818514007
contaminated,2,4000,62,0.03225806451612903,0.0730816077953715
contaminated,3,4000,63,0.031746031746031744,0.07429963459196103
contaminated,4,4000,62,0.016129032258064516,0.07429963459196103
contaminated,5,4000,68,0.07352941176470588,0.07673568818514007
contaminated,6,4000,74,0.12162162162162163,0.07917174177831912
contaminated,7,4000,63,0.031746031746031744,0.07429963459196103
contaminated,8,4000,67,0.05970149253731343,0.07673568818514007
contaminated,9,4000,63,0.031746031746031744,0.07429963459196103
contaminated,10,4000,63,0.031746031746031744,0.07429963459196103
contaminated,11,4000,67,0.05970149253731343,0.07673568818514007
contaminated,12,4000,62,0.03225806451612903,0.0730816077953715
contaminated,13,4000,82,0.14634146341463414,0.08526187576126674
contaminated,14,4000,68,0.058823529411764705,0.0779537149817296
contaminated,15,4000,73,0.1095890410958904,0.07917174177831912
contaminated,16,4000,64,0.046875,0.07429963459196103
contaminated,17,4000,65,0.06153846153846154,0.07429963459196103
contaminated,18,4000,60,0.0,0.0730816077953715
contaminated,19,4000,61,0.01639344262295082,0.0730816077953715
adversarial,0,4000,60,0.0,0.0730816077953715
adversarial,1,4000,60,0.0,0.0730816077953715
adversarial,2,4000,60,0.0,0.0730816077953715
adversarial,3,4000,60,0.0,0.0730816077953715
adversarial,4,4000,60,0.0,0.0730816077953715
adversarial,5,4000,60,0.0,0.0730816077953715
adversarial,6,4000,60,0.0,0.0730816077953715
adversarial,7,4000,60,0.0,0.0730816077953715
adversarial,8,4000,60,0.0,0.0730816077953715
adversarial,9,4000,60,0.0,0.0730816077953715
adversarial,10,4000,60,0.0,0.0730816077953715
adversarial,11,4000,60,0.0,0.0730816077953715
adversarial,12,4000,60,0.0,0.0730816077953715
adversarial,13,4000,60,0.0,0.0730816077953715
adversarial,14,4000,60,0.0,0.0730816077953715
adversarial,15,4000,60,0.0,0.0730816077953715
adversarial,16,4000,60,0.0,0.0730816077953715
adversarial,17,4000,60,0.0,0.0730816077953715
adversarial,18,4000,60,0.0,0.0730816077953715
adversarial,19,4000,60,0.0,0.0730816077953715
