condition,seed,n_calib,n_discoveries,realized_fdr,power
clean,0,786,0,0.0,0.0
clean,1,786,0,0.0,0.0
clean,2,786,0,0.0,0.0
clean,3,786,0,0.0,0.0
clean,4,786,0,0.0,0.0
clean,5,786,0,0.0,0.0
clean,6,786,0,0.0,0.0
clean,7,786,0,0.0,0.0
clean,8,786,0,0.0,0.0
clean,9,786,0,0.0,0.0
clean,10,786,0,0.0,0.0
clean,11,786,0,0.0,0.0
clean,12,786,0,0.0,0.0
clean,13,786,0,0.0,0.0
clean,14,786,0,0.0,0.0
clean,15,786,0,0.0,0.0
clean,16,786,0,0.0,0.0
clean,17,786,0,0.0,0.0
clean,18,786,0,0.0,0.0
clean,19,786,0,0.0,0.0
contaminated,0,4000,21,0.047619047619047616,0.00779423226812159
contaminated,1,4000,20,0.0,0.00779423226812159
contaminated,2,4000,21,0.047619047619047616,0.00779423226812159
contaminated,3,4000,20,0.0,0.00779423226812159
contaminated,4,4000,22,0.09090909090909091,0.00779423226812159
contaminated,5,4000,20,0.0,0.00779423226812159
contaminated,6,4000,21,0.047619047619047616,0.00779423226812159
contaminated,7,4000,20,0.05,0.0074045206547155105
contaminated,8,4000,20,0.0,0.00779423226812159
contaminated,9,4000,23,0.13043478260869565,0.00779423226812159
contaminated,10,4000,20,0.0,0.00779423226812159
contaminated,11,4000,22,0.09090909090909091,0.00779423226812159
contaminated,12,4000,21,0.047619047619047616,0.00779423226812159
contaminated,13,4000,20,0.0,0.00779423226812159
contaminated,14,4000,20,0.0,0.00779423226812159
contaminated,15,4000,20,0.0,0.00779423226812159
contaminated,16,4000,20,0.0,0.00779423226812159
contaminated,17,4000,20,0.0,0.00779423226812159
contaminated,18,4000,23,0.13043478260869565,0.00779423226812159
contaminated,19,4000,20,0.0,0.00779423226812159
adversarial,0,4000,21,0.047619047619047616,0.00779423226812159
adversarial,1,4000,21,0.047619047619047616,0.00779423226812159
adversarial,2,4000,21,0.047619047619047616,0.00779423226812159
adversarial,3,4000,21,0.047619047619047616,0.00779423226812159
adversarial,4,4000,21,0.047619047619047616,0.00779423226812159
adversarial,5,4000,21,0.047619047619047616,0.00779423226812159
adversarial,6,4000,21,0.047619047619047616,0.00779423226812159
adversarial,7,4000,19,0.0,0.0074045206547155105
adversarial,8,4000,21,0.047619047619047616,0.00779423226812159
adversarial,9,4000,21,0.047619047619047616,0.00779423226812159
adversarial,10,4000,21,0.047619047619047616,0.00779423226812159
adversarial,11,4000,21,0.047619047619047616,0.00779423226812159
adversarial,12,4000,21,0.047619047619047616,0.00779423226812159
adversarial,13,4000,21,0.047619047619047616,0.00779423226812159
adversarial,14,4000,21,0.047619047619047616,0.00779423226812159
adversarial,15,4000,21,0.047619047619047616,0.00779423226812159
adversarial,16,4000,21,0.047619047619047616,0.00779423226812159
adversarial,17,4000,21,0.047619047619047616,0.00779423226812159
adversarial,18,4000,21,0.047619047619047616,0.00779423226812159
adversarial,19,4000,20,0.0,0.00779423226812159
