condition,seed,n_calib,n_discoveries,realized_fdr,power
clean,0,926,279,0.010752688172043012,0.04133592930957017
clean,1,928,282,0.03546099290780142,0.040736857870301034
clean,2,925,262,0.026717557251908396,0.03819080425340722
clean,3,928,280,0.02142857142857143,0.0410363935899356
clean,4,925,257,0.007782101167315175,0.03819080425340722
clean,5,926,277,0.018050541516245487,0.040736857870301034
clean,6,929,278,0.017985611510791366,0.040886625730118316
clean,7,926,280,0.025,0.040886625730118316
clean,8,928,281,0.03202846975088968,0.040736857870301034
clean,9,924,261,0.0,0.03908941141231092
clean,10,925,255,0.0,0.03819080425340722
clean,11,930,281,0.014234875444839857,0.04148569716938745
clean,12,925,258,0.007751937984496124,0.0383405721132245
clean,13,927,287,0.05226480836236934,0.040736857870301034
clean,14,926,282,0.03546099290780142,0.040736857870301034
clean,15,925,256,0.00390625,0.03819080425340722
clean,16,925,256,0.00390625,0.03819080425340722
clean,17,925,259,0.015444015444015444,0.03819080425340722
clean,18,929,292,0.030821917808219176,0.04238430432829115
clean,19,925,255,0.0,0.03819080425340722
contaminated,0,4000,318,0.03773584905660377,0.04582896510408866
contaminated,1,4000,311,0.06430868167202572,0.04358244720682941
contaminated,2,4000,284,0.03873239436619718,0.040886625730118316
contaminated,3,4000,332,0.05421686746987952,0.04702710798262693
contaminated,4,4000,293,0.023890784982935155,0.042833607907743
contaminated,5,4000,334,0.0688622754491018,0.04657780440317508
contaminated,6,4000,327,0.04892966360856269,0.04657780440317508
contaminated,7,4000,326,0.05828220858895705,0.04597873296390594
contaminated,8,4000,341,0.07917888563049853,0.04702710798262693
contaminated,9,4000,296,0.030405405405405407,0.04298337576756028
contaminated,10,4000,322,0.046583850931677016,0.04597873296390594
contaminated,11,4000,296,0.013513513513513514,0.0437322150666467
contaminated,12,4000,292,0.0410958904109589,0.041935000748839296
contaminated,13,4000,301,0.03986710963455149,0.04328291148719485
contaminated,14,4000,323,0.04953560371517028,0.04597873296390594
contaminated,15,4000,334,0.0658682634730539,0.04672757226299236
contaminated,16,4000,280,0.025,0.040886625730118316
contaminated,17,4000,294,0.034013605442176874,0.04253407218810843
contaminated,18,4000,294,0.02040816326530612,0.043133143627377565
contaminated,19,4000,313,0.054313099041533544,0.04433128650591583
adversarial,0,4000,309,0.05501618122977346,0.0437322150666467
adversarial,1,4000,304,0.04276315789473684,0.04358244720682941
adversarial,2,4000,304,0.05592105263157895,0.04298337576756028
adversarial,3,4000,301,0.029900332225913623,0.0437322150666467
adversarial,4,4000,299,0.04013377926421405,0.04298337576756028
adversarial,5,4000,300,0.043333333333333335,0.04298337576756028
adversarial,6,4000,304,0.046052631578947366,0.04343267934701213
adversarial,7,4000,304,0.046052631578947366,0.04343267934701213
adversarial,8,4000,298,0.03691275167785235,0.04298337576756028
adversarial,9,4000,305,0.04918032786885246,0.04343267934701213
adversarial,10,4000,297,0.03367003367003367,0.04298337576756028
adversarial,11,4000,301,0.026578073089700997,0.04388198292646398
adversarial,12,4000,304,0.049342105263157895,0.04328291148719485
adversarial,13,4000,303,0.0462046204620462,0.04328291148719485
adversarial,14,4000,298,0.03691275167785235,0.04298337576756028
adversarial,15,4000,297,0.03367003367003367,0.04298337576756028
adversarial,16,4000,292,0.0273972602739726,0.04253407218810843
adversarial,17,4000,300,0.043333333333333335,0.04298337576756028
adversarial,18,4000,306,0.049019607843137254,0.04358244720682941
adversarial,19,4000,297,0.030303030303030304,0.043133143627377565
