dataset,detector,seed,alpha,degree_norm,n_calib,n_null,m_test,n_discoveries,realized_fdr,power,spearman_score_degree,spearman_p,min_rank_used,gamma_hat,gamma_at_bh,mean_p,ks_uniform,n_sim,q_kendall_tau,q_kendall_p,q_is_monotone,q_first_bin,q_last_bin,gamma_hat_null_mean,gamma_hat_null_p,gamma_at_bh_null_mean,gamma_at_bh_null_p,mean_p_null_mean,mean_p_null_p,ks_uniform_null_mean,ks_uniform_null_p,gamma_t0.001,n_below_t0.001,gamma_t0.002,n_below_t0.002,gamma_t0.005,n_below_t0.005,gamma_t0.01,n_below_t0.01,gamma_t0.02,n_below_t0.02,gamma_t0.05,n_below_t0.05
weibo,cola,0,0.1,off,5606,2371,2718,6,0.0,0.01729106628242075,0.03409542596585539,0.0022057146166465586,1401,1.1210692801172057,0.0,0.4956238424930818,0.0574361129145296,200,-0.018181818181818184,1.0,False,0.4009216589861751,0.49333333333333335,1.026789368478027,0.005,0.7546815689582453,1.0,0.5001003001535181,0.27,0.009135692061731895,0.0,2.108814846056516,5,1.2652889076339098,6,1.2652889076339098,15,1.3918177983973008,33,1.033319274567693,49,0.9953606073386756,118
weibo,cola,1,0.1,off,5605,2372,2719,0,0.0,0.0,-0.018311048401110402,0.10025905811579713,1401,1.145971357704537,nan,0.49454398413167283,0.07233471846293327,200,-0.018181818181818184,1.0,False,0.402457757296467,0.5022222222222222,1.0254149668106245,0.005,nan,nan,0.5007009225540692,0.195,0.00849314288653629,0.0,2.529510961214165,6,2.1079258010118043,10,1.6020236087689712,19,1.1382799325463744,27,0.927487352445194,44,1.0623946037099492,126
weibo,cola,2,0.1,off,5608,2369,2716,5,0.2,0.011527377521613832,-0.01083567559105516,0.3307736003601024,1402,1.0993063446154787,2.2929506120726044,0.5074790477614634,0.04537745788009845,200,-0.018181818181818184,1.0,False,0.39938556067588327,0.5051851851851852,1.0237761219126906,0.03,0.9057154917686787,0.29,0.5010725044573107,0.81,0.008033555189787626,0.0,1.2663571127057829,3,1.6884761502743773,8,1.2663571127057829,15,0.9286618826509077,22,0.9497678345293372,45,0.9033347403967918,107
weibo,cola,3,0.1,off,5608,2369,2716,0,0.0,0.0,0.007665409711288749,0.4914532147301498,1402,1.1202681384652693,nan,0.502065854633763,0.05684579018478786,200,-0.018181818181818184,1.0,False,0.3978494623655914,0.49925925925925924,1.0238801681589387,0.005,nan,nan,0.50072425850904,0.605,0.008035369646909355,0.0,0.0,0,1.055297593921486,5,0.9286618826509077,11,1.2663571127057829,30,1.181933305192064,56,1.105951878429717,131
weibo,cola,4,0.1,off,5612,2365,2712,0,0.0,0.0,0.016033863002077944,0.15010213915253642,1403,1.1948273109467298,nan,0.4853615643840993,0.09173434216627141,200,-0.018181818181818184,1.0,False,0.3978494623655914,0.49777777777777776,1.0288749188936075,0.0,nan,nan,0.49943722610114166,0.025,0.009832351958549866,0.0,1.2684989429175475,3,1.0570824524312896,5,1.522198731501057,18,1.3953488372093024,33,1.1839323467230445,56,1.099365750528541,130
weibo,ocgnn,0,0.1,off,5617,2360,2707,0,0.0,0.0,0.12823527999185796,6.790875475267313e-31,1404,0.9704643089316473,nan,0.554765704665995,-0.013295792579541499,200,-0.018181818181818184,1.0,False,0.402457757296467,0.5022222222222222,1.027011743135692,0.96,nan,nan,0.50009226887245,1.0,0.009182931225902215,0.97,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0423728813559322,5
weibo,ocgnn,1,0.1,off,5640,2337,2684,141,0.46099290780141844,0.21902017291066284,-0.2329997988553928,8.624806476010913e-100,1410,1.2325676672220252,5.294415766106148,0.5262454717307882,0.05820496173220441,200,-0.018181818181818184,1.0,False,0.3932411674347158,0.49777777777777776,1.0248941179202626,0.0,0.9933138502717612,0.0,0.5008261360051345,1.0,0.008327142034330987,0.0,2.139495079161318,5,3.851091142490372,18,5.477107402652974,64,4.193410355156183,98,4.022250748823278,188,2.5417201540436456,297
weibo,ocgnn,2,0.1,off,5599,2378,2725,14,0.0,0.040345821325648415,-0.20798893538006594,1.856527201781529e-79,1399,0.9877436491315751,0.0,0.5526031779406464,-0.005922443830349622,200,-0.018181818181818184,1.0,False,0.4009216589861751,0.5081481481481481,1.0238010612915993,0.87,0.6548119668388801,1.0,0.5010985799891866,1.0,0.008021213054187189,0.9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.10933557611438183,13
weibo,ocgnn,3,0.1,off,5608,2369,2716,12,0.0,0.0345821325648415,-0.2167835911850234,2.552148266157696e-86,1402,0.9468836528908481,0.0,0.5537510909508109,-0.0224293541383056,200,-0.018181818181818184,1.0,False,0.3932411674347158,0.49777777777777776,1.0238801681589387,0.99,0.7929787533417756,1.0,0.50072425850904,1.0,0.008035369646909355,0.995,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.08442380751371888,10
weibo,ocgnn,4,0.1,off,5636,2341,2688,39,0.20512820512820512,0.0893371757925072,-0.2053911460283361,1.7239993614011332e-77,1409,0.9129164375017912,2.3553379555088227,0.5709884128155819,-0.043518608401180436,200,-0.018181818181818184,1.0,False,0.39477726574500765,0.4888888888888889,1.028412310242544,1.0,0.9436072684257221,0.04,0.4995012301631596,1.0,0.009724791203418374,1.0,1.7086715079026058,4,2.1358393848782575,10,0.8543357539513029,10,0.6407518154634771,15,0.36309269542930367,17,0.14523707817172146,17
weibo,dominant_pygod,0,0.1,off,5640,2337,2684,8,0.0,0.023054755043227664,0.44547852125065746,0.0,1410,1.3027555482721682,0.0,0.47636978697668375,0.07567546943161799,200,-0.018181818181818184,1.0,False,0.402457757296467,0.49333333333333335,1.0273705168563443,0.0,0.5383504492939666,1.0,0.5000195949075997,0.0,0.009331694330668015,0.0,1.7115960633290543,4,1.2836970474967906,6,0.6846384253316218,8,2.310654685494223,54,2.524604193410355,118,2.4390243902439024,285
