p_an,seed,n_calib,mean_calib_exposure,n_discoveries,realized_fdr,power
0.002,0,2794,0.04723350585138005,164,0.12804878048780488,0.19066666666666668
0.002,1,2794,0.046174740883157685,0,0.0,0.0
0.002,2,2794,0.04633208278592275,135,0.1111111111111111,0.16
0.002,3,2794,0.04643668457390524,0,0.0,0.0
0.002,4,2794,0.046688010495913444,162,0.15432098765432098,0.18266666666666667
0.002,5,2794,0.04673006750323378,163,0.09815950920245399,0.196
0.002,6,2794,0.046747598394835735,157,0.08917197452229299,0.19066666666666668
0.002,7,2794,0.046490556581796495,143,0.06993006993006994,0.17733333333333334
0.002,8,2794,0.04654529139073612,226,0.13716814159292035,0.26
0.002,9,2794,0.046443480394943275,89,0.056179775280898875,0.112
0.002,10,2794,0.04690921157284392,47,0.02127659574468085,0.06133333333333333
0.002,11,2794,0.046368449794026434,134,0.1417910447761194,0.15333333333333332
0.002,12,2794,0.04642518769925311,112,0.05357142857142857,0.14133333333333334
0.002,13,2794,0.04643549326400741,0,0.0,0.0
0.002,14,2794,0.04696176947553761,177,0.12429378531073447,0.20666666666666667
0.002,15,2794,0.04599971664657252,93,0.06451612903225806,0.116
0.002,16,2794,0.04704828621391447,126,0.07936507936507936,0.15466666666666667
0.002,17,2794,0.0467463486140639,0,0.0,0.0
0.002,18,2794,0.04671470972092195,191,0.14659685863874344,0.21733333333333332
0.002,19,2794,0.04652686902729785,134,0.14925373134328357,0.152
0.005,0,2794,0.08805565208930852,135,0.1259259259259259,0.15733333333333333
0.005,1,2794,0.08710244205832178,66,0.06060606060606061,0.08266666666666667
0.005,2,2794,0.08759231953084784,103,0.07766990291262135,0.12666666666666668
0.005,3,2794,0.08766672111287688,84,0.023809523809523808,0.10933333333333334
0.005,4,2794,0.08797327021992199,113,0.08849557522123894,0.13733333333333334
0.005,5,2794,0.08820946554309655,132,0.17424242424242425,0.14533333333333334
0.005,6,2794,0.08765039836565598,107,0.08411214953271028,0.13066666666666665
0.005,7,2794,0.08774283915515117,91,0.054945054945054944,0.11466666666666667
0.005,8,2794,0.08741309500138712,98,0.11224489795918367,0.116
0.005,9,2794,0.08774842080232502,93,0.07526881720430108,0.11466666666666667
0.005,10,2794,0.08779807024546506,183,0.15846994535519127,0.20533333333333334
0.005,11,2794,0.0873734738355356,76,0.09210526315789473,0.092
0.005,12,2794,0.08760970655264563,141,0.14184397163120568,0.16133333333333333
0.005,13,2794,0.08778218283753843,61,0.01639344262295082,0.08
0.005,14,2794,0.08830322464926497,0,0.0,0.0
0.005,15,2794,0.086858475134925,188,0.13829787234042554,0.216
0.005,16,2794,0.0877308242815838,0,0.0,0.0
0.005,17,2794,0.08762315928468677,44,0.06818181818181818,0.05466666666666667
0.005,18,2794,0.08707227165984589,47,0.02127659574468085,0.06133333333333333
0.005,19,2794,0.08711338272950125,271,0.2656826568265683,0.2653333333333333
0.01,0,2794,0.14306228730958165,0,0.0,0.0
0.01,1,2794,0.14338284929807774,51,0.0196078431372549,0.06666666666666667
