feature_shift,p_aa,seed,strategy,auroc,n_calib,m_test,gamma_t_lo,t_lo,mean_p,n_discoveries,realized_fdr,power
1.0,0.005,0,clean,0.08737076023391813,2689,2750,2.0161290322580645,0.00372,0.4751368029739777,0,0.0,0.0
1.0,0.005,0,random,0.08737076023391813,2689,2750,1.075268817204301,0.00372,0.49868754646840147,0,0.0,0.0
1.0,0.005,1,clean,0.0827618245614035,2753,2750,1.7906336088154269,0.00363,0.4797694262890342,0,0.0,0.0
1.0,0.005,1,random,0.0827618245614035,2753,2750,1.5151515151515151,0.00363,0.5043411401597676,0,0.0,0.0
1.0,0.005,2,clean,0.08318690058479532,2650,2750,0.7957559681697614,0.00377,0.47888796680497925,0,0.0,0.0
1.0,0.005,2,random,0.08318690058479532,2650,2750,0.6631299734748011,0.00377,0.49948755186721994,0,0.0,0.0
1.0,0.005,3,clean,0.08262091228070176,2677,2750,1.4745308310991958,0.00373,0.4767070575056012,0,0.0,0.0
1.0,0.005,3,random,0.08262091228070176,2677,2750,1.4745308310991958,0.00373,0.5000539581777446,0,0.0,0.0
1.0,0.005,4,clean,0.06062624561403509,2618,2750,0.6544502617801047,0.00382,0.46431844215349366,0,0.0,0.0
1.0,0.005,4,random,0.06062624561403509,2618,2750,0.5235602094240838,0.00382,0.49639786177930506,0,0.0,0.0
1.0,0.01,0,clean,0.1030442105263158,2722,2750,1.2261580381471389,0.00367,0.473214469335292,0,0.0,0.0
1.0,0.01,0,random,0.1030442105263158,2722,2750,0.9536784741144414,0.00367,0.5033499816378993,0,0.0,0.0
1.0,0.01,1,clean,0.11632701754385964,2761,2750,1.2430939226519335,0.00362,0.46733834178131795,0,0.0,0.0
1.0,0.01,1,random,0.11632701754385964,2761,2750,0.8287292817679558,0.00362,0.49331173062997824,0,0.0,0.0
1.0,0.01,2,clean,0.09845913450292397,2730,2750,0.546448087431694,0.00366,0.47067575979494686,0,0.0,0.0
1.0,0.01,2,random,0.09845913450292397,2730,2750,1.9125683060109289,0.00366,0.5078557305016478,0,0.0,0.0
1.0,0.01,3,clean,0.10347293567251462,2650,2750,0.5305039787798409,0.00377,0.47229592606563564,0,0.0,0.0
1.0,0.01,3,random,0.10347293567251462,2650,2750,0.3978779840848807,0.00377,0.4975529988683515,0,0.0,0.0
1.0,0.01,4,clean,0.09755574269005848,2711,2750,1.2195121951219512,0.00369,0.48521976401179945,0,0.0,0.0
1.0,0.01,4,random,0.09755574269005848,2711,2750,1.084010840108401,0.00369,0.51529203539823,0,0.0,0.0
1.0,0.02,0,clean,0.06881019883040936,2657,2750,1.3297872340425532,0.00376,0.4631805869074492,0,0.0,0.0
1.0,0.02,0,random,0.06881019883040936,2657,2750,1.3297872340425532,0.00376,0.49595410082769004,0,0.0,0.0
1.0,0.02,1,clean,0.06116659649122807,2737,2750,2.054794520547945,0.00365,0.4760073046018993,0,0.0,0.0
1.0,0.02,1,random,0.06116659649122807,2737,2750,0.9589041095890412,0.00365,0.5122289992695398,0,0.0,0.0
1.0,0.02,2,clean,0.07301398830409357,2671,2750,1.3368983957219251,0.00374,0.48136470808383236,0,0.0,0.0
1.0,0.02,2,random,0.07301398830409357,2671,2750,1.2032085561497325,0.00374,0.5078824850299402,0,0.0,0.0
1.0,0.02,3,clean,0.06880673684210527,2690,2750,2.150537634408602,0.00372,0.47867855815681903,0,0.0,0.0
1.0,0.02,3,random,0.06880673684210527,2690,2750,1.8817204301075268,0.00372,0.502054812337421,0,0.0,0.0
1.0,0.02,4,clean,0.05888533333333333,2720,2750,1.2228260869565215,0.00368,0.4709768467475193,0,0.0,0.0
1.0,0.02,4,random,0.05888533333333333,2720,2750,0.6793478260869565,0.00368,0.4951521499448732,0,0.0,0.0
1.0,0.05,0,clean,0.33268341520467837,2772,2750,0.8310249307479225,0.00361,0.4727908402452218,0,0.0,0.0
1.0,0.05,0,random,0.33268341520467837,2772,2750,0.8310249307479225,0.00361,0.515303101334295,0,0.0,0.0
1.0,0.05,1,clean,0.33948070175438594,2715,2750,1.0869565217391304,0.00368,0.45754970544919,0,0.0,0.0
1.0,0.05,1,random,0.33948070175438594,2715,2750,1.0869565217391304,0.00368,0.4847128129602356,0,0.0,0.0
1.0,0.05,2,clean,0.3380217076023392,2637,2750,0.9234828496042217,0.00379,0.48307543593631547,0,0.0,0.0
1.0,0.05,2,random,0.3380217076023392,2637,2750,0.5277044854881267,0.00379,0.5232619408642911,0,0.0,0.0
1.0,0.05,3,clean,0.31702811695906435,2697,2750,0.8086253369272237,0.00371,0.4736836545589325,0,0.0,0.0
1.0,0.05,3,random,0.31702811695906435,2697,2750,1.0781671159029649,0.00371,0.49340066716085995,0,0.0,0.0
1.0,0.05,4,clean,0.34114994152046785,2683,2750,1.0723860589812333,0.00373,0.46448304769001486,0,0.0,0.0
1.0,0.05,4,random,0.34114994152046785,2683,2750,0.5361930294906166,0.00373,0.5040769374068554,0,0.0,0.0
1.0,0.1,0,clean,0.8542404678362573,2698,2750,0.8086253369272237,0.00371,0.4756545016672842,203,0.09359605911330049,0.24533333333333332
1.0,0.1,0,random,0.8542404678362573,2698,2750,0.6738544474393531,0.00371,0.5037019266394961,189,0.06878306878306878,0.23466666666666666
1.0,0.1,1,clean,0.862905918128655,2777,2750,1.1111111111111112,0.0036,0.4742658387329014,191,0.05235602094240838,0.24133333333333334
1.0,0.1,1,random,0.862905918128655,2777,2750,0.8333333333333334,0.0036,0.49122552195824337,201,0.05472636815920398,0.25333333333333335
1.0,0.1,2,clean,0.8655462923976608,2744,2750,1.9230769230769231,0.00364,0.4721047358834244,249,0.10040160642570281,0.2986666666666667
1.0,0.1,2,random,0.8655462923976608,2744,2750,1.510989010989011,0.00364,0.4966387978142076,224,0.08928571428571429,0.272
1.0,0.1,3,clean,0.864573567251462,2700,2750,1.0810810810810811,0.0037,0.4709868567197334,190,0.10526315789473684,0.22666666666666666
1.0,0.1,3,random,0.864573567251462,2700,2750,0.8108108108108107,0.0037,0.4909329877823028,190,0.10526315789473684,0.22666666666666666
1.0,0.1,4,clean,0.8512918830409357,2729,2750,1.7759562841530054,0.00366,0.47247179487179486,236,0.1271186440677966,0.27466666666666667
1.0,0.1,4,random,0.8512918830409357,2729,2750,1.5027322404371584,0.00366,0.4975639194139194,200,0.075,0.24666666666666667
1.0,0.3,0,clean,0.9999954152046784,2643,2750,0.6613756613756614,0.00378,0.46002987897125563,829,0.09529553679131483,1.0
1.0,0.3,0,random,0.9999954152046784,2643,2750,0.6613756613756614,0.00378,0.49468097579425113,821,0.08647990255785627,1.0
1.0,0.3,1,clean,0.9999957894736842,2729,2750,1.092896174863388,0.00366,0.48123553113553114,848,0.11556603773584906,1.0
1.0,0.3,1,random,0.9999957894736842,2729,2750,0.6830601092896175,0.00366,0.5101441391941393,817,0.08200734394124846,1.0
1.0,0.3,2,clean,0.9999941052631579,2783,2750,1.6713091922005572,0.00359,0.47047934626436777,817,0.08200734394124846,1.0
1.0,0.3,2,random,0.9999941052631579,2783,2750,0.8356545961002786,0.00359,0.4996963002873563,807,0.07063197026022305,1.0
